sno,Year,Month,Population_Avg_Income,Population_Avg_Age,County
64,2014,4,99168.44519,34.8758415,Cook County
65,2014,5,95000.6349,34.49863468,Cook County
66,2014,6,95016.27809,34.46633955,Cook County
67,2014,7,95931.49054,35.83267652,Cook County
68,2014,8,99371.70817,33.53946505,Cook County
69,2014,9,95230.22477,33.27137097,Cook County
70,2014,10,96847.66982,36.29618309,Cook County
71,2014,11,96966.67922,35.91820471,Cook County
72,2014,12,98039.42884,36.27437122,Cook County
73,2015,1,97930.14528,35.30918317,Cook County
74,2015,2,97117.98423,36.89490649,Cook County
75,2015,3,98888.62304,35.78010803,Cook County
76,2015,4,97184.64479,34.22598227,Cook County
77,2015,5,97138.78174,35.95664446,Cook County
78,2015,6,96366.96765,35.13124377,Cook County
79,2015,7,96751.94499,35.78558438,Cook County
80,2015,8,96350.23747,34.43407686,Cook County
81,2015,9,97001.35653,34.18259608,Cook County
82,2015,10,95681.79713,36.15904622,Cook County
83,2015,11,95306.07295,34.50211819,Cook County
84,2015,12,99125.18652,34.02793282,Cook County
85,2016,1,96695.12471,36.14781293,Cook County
86,2016,2,98469.98358,35.62793821,Cook County
87,2016,3,99417.76591,33.92000132,Cook County
88,2016,4,99180.63386,36.3665967,Cook County
89,2016,5,99363.12055,33.16684412,Cook County
90,2016,6,97729.73046,35.48633902,Cook County
91,2016,7,97090.08908,33.57373173,Cook County
92,2016,8,98142.63806,33.61629475,Cook County
93,2016,9,95517.90077,36.70786563,Cook County
94,2016,10,99332.86364,33.1941939,Cook County
95,2016,11,95393.93498,35.13874661,Cook County
96,2016,12,97207.89345,33.9395808,Cook County
97,2017,1,98189.63959,35.83122373,Cook County
98,2017,2,96884.84487,35.91845076,Cook County
99,2017,3,97892.40782,36.48132853,Cook County
100,2017,4,99435.35677,35.95585293,Cook County
101,2017,5,95224.20416,34.40968811,Cook County
102,2017,6,96341.42396,34.29325054,Cook County
103,2017,7,95708.90342,33.02911835,Cook County
104,2017,8,98453.50216,35.61209701,Cook County
105,2017,9,96808.68185,34.04457489,Cook County
106,2017,10,99868.38362,33.81444559,Cook County
107,2017,11,98020.07654,35.65409108,Cook County
108,2017,12,97277.5185,35.88829971,Cook County
