"condition","clicks"
"control",7
"control",4
"treatment",17
"treatment",5
"control",8
"control",5
"control",11
"treatment",12
"control",10
"control",5
"treatment",12
"control",2
"treatment",6
"control",2
"control",9
"treatment",10
"control",7
"control",10
"control",5
"control",7
"treatment",12
"control",5
"treatment",0
"treatment",13
"treatment",8
"treatment",5
"control",11
"treatment",13
"treatment",17
"control",7
"control",6
"control",7
"control",1
"treatment",14
"control",7
"treatment",9
"control",7
"control",7
"treatment",15
"control",7
"control",7
"control",10
"treatment",12
"treatment",7
"control",7
"control",6
"treatment",13
"control",13
"treatment",13
"control",11
"control",3
"treatment",5
"control",13
"treatment",12
"control",5
"treatment",9
"treatment",8
"control",9
"control",10
"control",7
"control",8
"control",10
"control",8
"control",12
"control",7
"treatment",3
"control",10
"control",10
"treatment",16
"treatment",5
"treatment",8
"control",12
"control",13
"treatment",13
"treatment",11
"control",5
"treatment",8
"treatment",16
"treatment",14
"control",7
"control",9
"control",10
"control",8
"control",5
"control",9
"treatment",8
"control",5
"treatment",4
"control",10
"control",7
"control",5
"control",7
"control",6
"control",10
"control",6
"control",6
"control",5
"treatment",16
"treatment",10
"treatment",6
"treatment",5
"treatment",7
"control",6
"treatment",12
"treatment",17
"control",11
"treatment",11
"treatment",7
"treatment",10
"treatment",4
"control",8
"treatment",17
"control",13
"treatment",7
"control",6
"control",8
"control",6
"control",6
"treatment",4
"control",8
"treatment",8
"treatment",8
"control",7
"control",7
"control",6
"control",11
"control",12
"treatment",6
"treatment",6
"control",4
"control",12
"control",9
"control",8
"control",6
"control",8
"control",9
"control",7
"control",13
"control",6
"treatment",13
"treatment",6
"control",9
"treatment",14
"treatment",5
"treatment",6
"treatment",1
"control",7
"treatment",8
"treatment",5
"control",7
"treatment",10
"control",10
"control",6
"treatment",18
"control",6
"treatment",12
"control",10
"treatment",10
"treatment",13
"control",9
"control",8
"treatment",13
"treatment",8
"treatment",10
"treatment",4
"treatment",15
"control",15
"control",11
"treatment",7
"treatment",16
"control",10
"control",12
"control",8
"treatment",15
"control",8
"control",9
"treatment",9
"treatment",10
"treatment",10
"control",11
"treatment",12
"control",12
"control",6
"control",3
"treatment",15
"treatment",17
"control",8
"treatment",9
"control",13
"control",8
"treatment",13
"treatment",5
"control",7
"treatment",17
"control",6
"treatment",9
"control",11
"treatment",8
"treatment",7
"control",5
"control",7
"control",11
"control",15
"control",6
"control",13
"control",7
"treatment",15
"control",11
"treatment",13
"treatment",9
"treatment",9
"control",11
"treatment",12
"control",8
"control",7
"control",7
"control",10
"control",8
"treatment",12
"treatment",9
"treatment",12
"treatment",8
"treatment",7
"control",12
"treatment",13
"control",8
"control",8
"control",6
"control",8
"control",6
"control",4
"treatment",8
"treatment",7
"control",7
"treatment",10
"control",10
"treatment",15
"control",11
"treatment",14
"treatment",10
"control",8
"treatment",5
"treatment",18
"treatment",16
"control",7
"control",6
"control",8
"treatment",12
"control",8
"treatment",13
"control",1
"control",8
"control",13
"control",4
"treatment",2
"treatment",6
"treatment",14
"control",12
"treatment",7
"control",8
"treatment",15
"treatment",18
"control",2
"treatment",9
"control",15
"control",9
"control",5
"control",7
"control",10
"treatment",12
"control",10
"control",7
"control",10
"control",14
"treatment",10
"control",8
"treatment",10
"control",13
"treatment",15
"treatment",8
"control",11
"control",6
"control",7
"control",12
"control",11
"control",10
"control",7
"control",5
"control",7
"treatment",17
"treatment",6
"control",8
"treatment",13
"control",14
"control",6
"control",5
"treatment",6
"treatment",3
"control",10
"treatment",17
"control",11
"control",16
"control",5
"treatment",17
"treatment",8
"treatment",12
"control",8
"treatment",9
"control",12
"treatment",16
"treatment",10
"treatment",14
"treatment",10
"treatment",10
"control",9
"control",12
"control",9
"control",5
"treatment",9
"treatment",14
"control",7
"control",4
"treatment",5
"control",7
"control",7
"treatment",5
"control",8
"control",12
"control",2
"treatment",8
"control",9
"treatment",13
"treatment",12
"treatment",11
"treatment",8
"control",4
"control",4
"control",8
"control",2
"treatment",17
"control",7
"treatment",13
"control",10
"control",8
"treatment",12
"treatment",9
"treatment",12
"control",7
"treatment",9
"control",8
"control",5
"treatment",13
"treatment",11
"control",11
"treatment",12
"control",15
"treatment",13
"treatment",14
"control",12
"control",2
"control",6
"control",7
"treatment",8
"treatment",11
"control",12
"control",10
"treatment",2
"control",13
"control",9
"control",10
"control",8
"treatment",13
"control",6
"treatment",8
"treatment",5
