"pros","cons","advice","rating","organization"
"I got to work for Cedar straight out of college after completing my Masters. I admit the ride was high octane but worth every bit of it. It did help me to expand my knowledge on several domains in a very short period of time.This journey has helped me to transform myself as a professional who will be able to handle high pressure situations with ease.","A bit of guidance for new joiners would be great","Resource allocation could be more eased out.","4.0","Cedar Management Consulting"
"Exposure to good projects, interaction with higher management , friendly and supportive higher management ,good professional, remuneration and opportunities for learning. Very early in ones career you get to work on complex and high value projects making you a through technical at Cedar. It is difficult to get this kind of a growth and exposure in any other top consulting firm in a short span.","Lack of sustained planning during mandates","Need employee engagement programs for keeping the spirits high also need to conduct technical sessions for employees including higher management","4.0","Cedar Management Consulting"
"I started my career as normal trainee in cedar and i have been with cedar almost for 2 years and learnt more than which i could get from other Organization within short span. Still as trainee, i been trained as pro. i am getting so much explore on strategy building and personal development things. This is correct place for one who wants to improve their career in all kind of forms. i promote","Lack of sustained planning during mandates.","1. Hire more people.2. Average resources per project should be increased for higher efficiency.","5.0","Cedar Management Consulting"
"Great place to gain insights, knowledge on various aspects of strategic consulting. Early client interaction & overall exposure.","Work life balance, tight deadlines","Trust & Empower employees","4.0","Cedar Management Consulting"
"Exposure to good projects, helpful colleagues, professional, brand, remuneration and mentors. Very early in ones career you get to work on complex and high value projects making you a through consultant at Cedar. It is difficult to get this kind of a growth and exposure in any other top consulting firm.","Tight deadlines, long hours at client site","Need employee engagement programs for keeping the spirits high","4.0","Cedar Management Consulting"
"Interesting projects; Encourages entrepreneurial approach; Plenty of opportunities for self development and growth","Demanding nature of work with poor work life balance",,"3.0","Cedar Management Consulting"
"Get some exposure to client facing role.","Horrible Management,Really cannot understand A of Analytics and started Cypress Analytics division.No vision at all...","Management is already doing job of advising others, no point in advising them.","1.0","Cedar Management Consulting"
"Work is very good than but not precise.","There may be regional politicsPeople working there are good in English communication not technicallySenior management treated employees as slavesLack of cultureWeekends work","Waste of time to tell something","1.0","Cedar Management Consulting"
"Good projects to work on, autonomy some times given.","Bad management style, zero work life balance, no respect for individuals","No point.","1.0","Cedar Management Consulting"
"Your work is valued, and used. Lots of importance given to interns. Treated like full-time employees. Great learning experience for students.","Too strict on dress code. Need to be a little more understanding. Compensation can also be a little higher, since interns are made to work as hard as full-time employees.","Your internship program is great. You could try offering interns a chance to select the industry they want to do their project in.","5.0","Cedar Management Consulting"
"Opportunities to work on projects across multiple industries early on in your career, Fast progression through the company , Opportunity for client interactions , Good Team to work with.","Long working hours, Short deadlines, Lack of organization during projects, Limited team size, lack of timely information availability during projects.","Appropriate Project Staffing, Realistic Deadlines, Clarity in Goals setting & Expectations, more employ engagement sessions, more knowledge sharing & mentoring expected.","4.0","Cedar Management Consulting"
"Good learning experienceSmall firm with lot of projectsUnderstaffing results in more responsibilities at lower levels as well","Usually work over weekendsNo pay for work over weekends / leaves (compensation off)","none","3.0","Cedar Management Consulting"
"Good company to start your career with - the brand name and the knowledge gained give a good kick start to anyone looking for a career in this industryOpportunity to learn the nuances of consulting early on in your careerGives full responsibility on a projectSmart and affable set of colleaguesAppraisals/promotions solely driven by performance","Mismanaged projects in terms of timelines. Most of the work ends up happening when the deadline of the project is nearing.No work life balance","Consider hiring more people and managing projects better so that the work is better spaced out.","4.0","Cedar Management Consulting"
"For starters, I spent nine long and personally fulfilling years at Cedar. The exposure, learning and opportunities provided were invaluable. Cedar provides its employees an opportunity to work across diverse industries and sectors, across its full practice offering and provides opportunity for travel and project work across multiple countries. It also grooms and provides exposure for client interaction at CEO and Board level. All of this truly broadens one's perspective and is immensely enriching and satisfying. Personally, I was provided an opportunity to execute projects across 15 countries over my nine years at Cedar and have gained knowledge, exposure and expertise across diverse sectors such as Energy, Manufacturing, Retail, Real Estate, Education, BFSI and Government to name just a few. Another very strong plus of Cedar is that one cannot ever be part of an organization that is as apolitical as Cedar is. One of the reasons is that employee growth and rewards are based on pure meritocracy in the organization. Also, Cedar has an open and transparent culture with everyone on first name basis and no barriers of communication across hierarchical levels. All in all a super place to work for those with a good mind and a passion for learning.","No negatives in particular. Like any other consulting firm, Cedar is not for those seeking a 9-5 job nor for those averse to travel.","Many ex-employees have gained tremendously from Cedar and have reached great heights in their professional careers. Forming an alumni association to get them on a common platform would be a great idea.","5.0","Cedar Management Consulting"
"1. Quality of Work2. Colleagues have been extremely helpful","Agree with all the negative reviews mentioned below. The company is all about lies, lies and more lies. Staff across all levels are treated with utter disrespect. The so called stories of growing from Associate to Director level is limited to just 1 person and everyone at Cedar knows that happened. So called claims of having offices around the world and 500 staff are pure plain lies. If the Asian Banker gets to know the facts, the awards will be scrapped!","Please pay employees what they deserve","1.0","Cedar Management Consulting"
"Any pros mentioned in the earlier reviews is nothing but damage control by the senior management","A long list. In a nutshell, life without a job is still better than spending yr precious years @ Cedar","Save mankind and shut shop","1.0","Cedar Management Consulting"
"lots of learning for consultant","long working hours for consultant","open culture","2.0","Cedar Management Consulting"
"Good learning, good assortment of work.","High work load & pressure (but then that's to be expected being in consulting.","Empathy, and not to take people's weekend time for granted.","3.0","Cedar Management Consulting"
"I worked at Cedar for 10 years+. Quite an interesting journey from Associate to Director! Great learning experience across 15 industries & 40+ clients. Worked across US, UK, ME & Asia geographies. Great experience and professional interaction to cherrish","Sorry you have to work hard!Self Motivated! Quality has no excuse","Give more thought independence","4.0","Cedar Management Consulting"
"I could not write one even if I tried very hard and be charitable.","1. Poor in career opportunity. You can hustle, play politics and get by2. Poor in compensation. Pays way below market rates.3. No work life balance. You are expected to work 24X7.4. Senior Management - Incompetent. Yells at people.5. Culture & Values - Yes man culture. Most senior / long tenure personnel are yes men.6. Values? What are they? This company does not understand values.7. Family managed, unprofessional organisation","Forget it. Wont waste my breath","1.0","Cedar Management Consulting"
"Quick growth, interaction with senior management at client level","You are treated as slaveYou are supposed to be on the job 24*7*365Bosses think nothing wrong in asking you ""Why are you eating?"" at 11 PM when they jolly well know you haven't had anything to eat the whole dayYou are supposed to act as a chauffeur to senior managersManagement lies effortlessly to everyone: the clients, managers, employees..Employees are made to sign bonds amounting to 5000 USD; this is not communicated during interviews or even at joining... just a clause is inserted into your contract..There is no induction.. You are simply left to figure out things on your own","No use","1.0","Cedar Management Consulting"
"None 1. Dubai is a great city to live in","Only showoffs, all false commitmentsIf PMI would come n check the project planning, PMI will shut their business.","Shut the business with immediate effect","1.0","Cedar Management Consulting"
"Clearly an environment that encourages learning. Team from good reputed schools and employers, good opportunity to learn from fellow team members. Opportunity to work across industries, across geographies (international) and different kinds of consulting work","Work intensity is high - but that is part of the learning. Also most projects require high travel intensity, which can be difficult at times.","Make the traveling part of the job more fun for the consultants - encourage them to visit places, have team get togethers and build more bonding. Its good for the company","4.0","Cedar Management Consulting"
"If you are the Type A personality you can get along for a while","Eventually you will figure that you have been had","Shut the business. You are not good at running a professional company","1.0","Cedar Management Consulting"
"Diverse solutions, exposure to UAE and other ME markets","Long hours, bad culture, bad compensation","Pay people well and recruit more people","1.0","Cedar Management Consulting"
"Trust you and your workOpportunity to work with Sr. Management at Client siteTravelling...for those who enjoy it.Proper guidence at Sr. Management level.","Long projects on Short committmentsLong working hoursTrying to be 200% right, when 1005 is fine..","Take care of your Current Employee..they will give you better future...","3.0","Cedar Management Consulting"
"Very interesting consulting projects. Opportunity to travel. Seniors (Managers, Directors) very approachable. Tremendous learning opportunities. Projects not only in Banking or IT but across multiple sectors","Challenging deadlines. At times we deliver more than what is expected (its actually a good thing). Travel (but no consulting assignment is without travel)","Keep up the excellent client work","4.0","Cedar Management Consulting"
"They have done good projects in UAE","1) Lacks maturity & professionalism at director level2) There are no processes and guidelines in place3) Employees are considered / treated as slaves","Shut down, think for a while and restart .The firm needs a complete makeover","1.0","Cedar Management Consulting"
"I think opportunity to good work has been told enuf. One more is that it will irreversibily change your personality. You will become cunning, political, sharp, protective (of ur work) and fast learner.","Agree with all the cons below. No point repeating. Except as above, no one has talked about what it will do to your family life - u will start treating ur family in same way as ur seniors treat u ... and u cant avoid it when u r living and breathing ur work 24x7. There is a lot wrong with this firm, and everything to do with its owner and senior management.","Only wayout is to shut or sell out - whole sr mgmt team +owner needs to be changed.","1.0","Cedar Management Consulting"
"Exposure across various consulting verticals, industriesOpportunity to climb the corporate ladder quicklyOpportunity to deal with CXO level personalities if you prove your worth","One man showHigh handed treatmentUtter disrespect & disregard for employeesFalse/ hollow promisesLack of maturity in majority decisionsNever ready to listen to employeesIrrational & post mortem suggestionsNo planning what so everWorking weekends a rule rather than an exceptionAdhoc policies mostly inconvenient to employeesStaffing resources on projects with limited/ no experience on the sector/ vertical with 5* expectations in returnEmployees blamed for anything that goes wrong in a project or in the firmAppraisals and promotions are not performance drivenPoor salary with no opportunity to negotiateHigh employee turnover rate","Doesn't matter","2.0","Cedar Management Consulting"
"The quality of engagements are good, you can get significant client exposure pretty early in your consulting career, you do some real good problem solving at times and learn some of the consulting nuances (how to design decks, manage clients, dress, survive on less sleep, multitask etc.)","I think it was one of the best decisions I made, to quit. I slogged, I learnt and when things started to get ugly I left.The culture pretty much gets driven by the founder, MD who somehow feels that his employees are his slaves and that's the culture driven throughout the company. Most of the other directors behave such because they are also being treated such. (They don't have a partnership model, so you might give your life to the company but you will still end up being at best a director but not a partner). There are some surprising things which I have seen here. Your boss calling at 3:30 AM in the morning to create and finalize a proposal by 7:00 AM just because he could not get the time to do it in the last 2 days. Getting yelled at just because your boss is unable to manage his work and someone has to be shouted at. Being made to do your boss' son's college assignment????? wow!!I can ramble on, but this organization is only advisable if you don't have too much of self respect.","You have not been able to significantly grow the topline / team size since years. Maybe there is something wrong in your strategy, right?Please try and make strategy work for yourself, first.","1.0","Cedar Management Consulting"
"1. Dubai is a great city to live in2. Consultants learn a lot during their tenure at Cedar","1. Senior Management doesn't know how to run the firm, lead the employees and treat their employees2. A yelling manager is what they think it takes to get work done. They don't even know the meaning of the word 'respect'3. Most other consulting firms make their employees work hard and most of their employees don't mind it. Here, they make you work hard and treat you like dirt4. They lie, lie, lie and then they lie even more (to the client, employees and probably to their families as well5. They promise the client a consultant's full time on the job and make the consultant work on 3 or 4 such projects. Why? Please refer to point 46.Senior Management takes a time management session and the session starts 6 hours late!! Even trains in India do better than that7. They state that they don't fire anyone and they fired at least 2 consultants in the last 1 year. Not that firing is a crime, but why lie about it?8. After a four hour review of a document, most times they find 7 synonym changes to be done, 2 commas to be added and 4 full stops to be removed so as to meet the so-called 'standard format'. Adding anything valuable is not seen from senior management in most cases9. A document is reviewed by a manager and he changes everything about it. His manager reviews it and he changes everything again. At the end of all these reviews, it turns out sometimes that the original produced by the consultant has been the final output. All of the changes have been given so that they can show their 'value add'10. Most of the senior management have done their MBAs from relatively unknown colleges OR claim to have an MBA even though what they have done is not an MBA (Why? Did you forget to refer to point 4 above? They can't even change jobs and therefore the treatment of consultants as dirt (as they feel threatened)11. They compare themselves to top tier consulting firms and pay 1/3rd salaries. Half the top-tier consulting firms don't even know that this firm exists (so much for comparison)12. Bonuses are typically paid a few months late in order to make consultants stick with them for those many months. How cheap...13. Can someone please tell them that a 2 day Harvard course doesn't mean a Harvard MBA and not tell clients that they studied at Harvard. Some old fellow at Harvard might have a heart attack reading this line. May god bless his soul14. I have at least 100+ more Cons to add, but it is better to leave it at this and summarize in a few words 'NOT QUITTING IMMEDIATELY IS A HUGE MISTAKE'","Close shop as running it is not helping anyone but fill your pockets","1.0","Cedar Management Consulting"
"1. Quick Promotions2. Greater Responsibilities3. Consulting projects (Though mainly in IT Consulting)","Numerous downsides, a few of them as below:1. Employees are treated like slaves2. No concept of work life balance3. Working on weekends and public holidays is expected4. Senior Management shouts at employees like they don't have any respect5. No employee welfare6. Senior Management boasts false things about own company in front of clients just to show off7. The company tries to save money for petty things even at the cost of high discomfort to the employees8. Approx. 50% attrition rate, which the company tries to control by asking the employees to sign 1 year contract when they join (financial value attached)9. No operations or negligible presence outside Middle East10. Very poor project planning (the company tries to grab projects by committing short timelines, e.g. a project which would ideally take 10 months would be committed for 6-7 months and low price just to get the project, and then employees are overburdened to complete the project on time)11. Senior Management is very Rude12. The company saves money by asking the employees to join in India office and then they are usually assigned to Middle East projects (forever) with very poor daily allowance. This is done so that the company does not have to pay salary in Dirhams (which would be much high and as per Labour Ministry standards)","Useless to give any advice to such management. There cannot be a worse company to work for than this.","1.0","Cedar Management Consulting"
"The only positive reason to join Cedar would be the opportunity to learn a lot in a short span of time.","Horrible management.Employees are treated like dirt.No respect given by the management to consultants.The culture is to instill fear in the employees and make them feel incompetentAbsolutely no work life balance.No praise given by management. People strive to find faults in the work done by consultants.Worse aspect is the way senior management shouts at consultants and bullies them.","Start treating your employees with respect.Give positive reinforcement.Give people work life balance.","1.0","Cedar Management Consulting"
"Customer value is important in all projects. Culture is friendly and allows experimentation","Training to consultants and process improvements",,"5.0","Zinnov Management Consulting"
"Learning opportunities, flexibility, growth, challenging environment","Aggressive deadlines, travel, small teams,",,"5.0","Zinnov Management Consulting"
"Free lunchFreedom in work (you are given almost complete independence in the way you do your work, which is not always a good thing)","No efforts taken to upskill the employees. All you do is create excel files and ppts based on Google search. No adoption to changes happening in the world while they claim to be advisors of digital transformation. Chances are you don't find any jobs outside once you get in here.You end up slogging for hours altogether and chances are that your efforts go unrecognizedHikes are pathetic and recent management changes have been making it worse.HR policies are there for the organization's sake and not for employees. You work late, there is no means of recognition. You come to office late next day, you are penalised.","Needs to undergo major organizational change to upskill employees and implement processes to recognize all good performers.","1.0","Zinnov Management Consulting"
"Good exposure to the ecosystem.Open culture, managers are very approachableOffice is in a good location in Bangalore","Not many measures put in place for employee satisfactionJunior level employees are not treated like people, but as ""resources""No process or structure put in place for any type of work","Need to make sure you take care of your employees. have proper training in place for upskilling not just for namesake.","2.0","Zinnov Management Consulting"
"Good Package provided for the employees considering their performance & skillsets.","No better cooperation between employers & employees",,"4.0","Zinnov Management Consulting"
"Flexi work environment and timingSenior management is easily approachableExposure to client side from the very beginingGood talent is appreciated from time to timeOther perks of consulting industry - Free lunches, Reimbursements etc","Analytical tools and software are not used, which could have made employees more productiveDuring project delivery it gets really hectic","Need to expand its client portfolio from other industry verticals","4.0","Zinnov Management Consulting"
"Pay and Benefits are goodLunch and Snacks are provided","Growth Opportunities are very less. Not a good company to learn more.Politics play a major roleSenior Management does not take any initiative to retain good talent.Tough to get in but getting fired is very easy by the senior management.No firm HR Policies, rules are made and decided by senior management.","Try retaining good employees by internally referring them rather than firing them on the basis of under performance.Build strong framework for work, so that employees can rely on it.Try appreciating employees work rather then demotivating them each day.Face the reality(competition) rather then blaming employee for low performance.Build strong HR policies for the benefits of employees.","3.0","Zinnov Management Consulting"
"Provides free lunch and evening snacks","Too much work pressure, if you fail to give more than 12 hours, you become a bad performer.No proper rules and regulations - things depends solely on discretion of the senior management and HRNo extra-curricular activities for employees. In the name of entertainment, they have one TT table where lots of people have to be in a queue to get a chance to play and a TV placed in the cafeteria.Growth opportunities are there only for those who can be in the good books of the management.",,"1.0","Zinnov Management Consulting"
"The top management is experienced and have been entrepreneurs themselves. This gets percolated to employees at all levels as hardworking folks who show initiative get recognized. As a boutique consulting firm, there is a lot of visibility and quality work gets rewarded. Although there are various designations, there is no hierarchy per say. Anyone with a worthy idea/ solution can take it forward if it adds value to the org/customer.I have seen the diversity of projects and clients grow over the last 12 months, which is a reflection that the organization is heading in the right direction.If you are asking for work-life balance i.e a 9 - 6 job, this is not the place. In fact, Management Consulting as a profession doesn't give you that and Zinnov is no different (at least for consulting roles).","It has the cons of any small organization. Yes, there is no pool table, (there is a TT table though), no XBox 360, fancy work desks, clear-cut processes and other such things.The learning and exposure offsets these shortcomings though. Priorities!!",,"5.0","Zinnov Management Consulting"
"Flexible working time and Very good work culture.","As this is not a design based company, very less chance to grow for people in such profession.","Allow more ways to grow an employee.","3.0","Zinnov Management Consulting"
"Young workforce, growing firm, free lunch and snacks","Pathetic work environment, lack of focus, extremely poor processes. Projects are of poor quality and is only google search. No growth.","Build a vision and mission - high time already","1.0","Zinnov Management Consulting"
"You get freedom to work and good opportunities to learn.","sometimes it gets too hectic.",,"5.0","Zinnov Management Consulting"
"Diverse set of projectsCombination of research and consulting projectsCompetes with global consulting firms","Lack of trainingLack regular communication from management teamNiche focus","Increase communication with consultants and analysts","4.0","Zinnov Management Consulting"
"Friendly, Easy, Cultured, Good enviromnent, Exposure","less work/life balance, nil, nil, nil, nil","Management is doing good. No comments","5.0","Zinnov Management Consulting"
"The top management of the company is extremely knowledgeable and accessible. This probably creates the best environment to learn.Also, the company has a great recognition process for top performers in the company and is consistently awarding good performance.","There are no cons except to focus more on more diversity in hiring.","No advice to management. They do what is required of them and then some. :)","5.0","Zinnov Management Consulting"
"Only one, that too for flexible timings.","Few seniors exploited in the past and also exploiting currently juniors (in both physical and mental form), and always management has suppressed it, instead of taking action against seniors. All of your growth, salaries, benefits, etc. depend on your manager. Neither in place any employer ethics nor any employee welfare, just running behind money and projects. If you want to grow non-ethically, this is best company I have ever seen in my life time.Coming to other benefits they provide, none are not actually great as they claim. Few are Conjusted Office, Not enough toilets, old IT team, not useful HR team etc.","Seniors are exploiting innocent juniors physically and mentally. Money can be earned later.","1.0","Zinnov Management Consulting"
"If u have a good business idea company is flexible enough to lead and implement the ideaFriendly senior management","Very hesitant to usebl technology.. still stuck in excel analysisNo growth opportunitiesEmployee having good visibility with senior management can grow",,"1.0","Zinnov Management Consulting"
"- Good for freshers who are looking at entry level consulting work. (but)- Good projects, good clientele, lots of opportunities (but)- Lots of flexibility, satisfactory pay (but)","But -- Extremely low level consulting, most of it is market research so no learning on that front.- Zero flexibility, this organization wont change, no matter ho bright an idea you have, they will stick to their paleolithic frameworks and work habits.- A very brutal murder of your social life be prepared to work, work and work.- 'Non Conventional way' to get data, be prepare to lie to get work done.- Zero technical skills - still stuck with MS Excel, that too extremely basic.- No training, No skill development just get it done - any way possible.","Hire smarter people, ""Senior Consultant"" is more than a job title. Make sure you're not stuck with national level rejetcs.","1.0","Zinnov Management Consulting"
"Good work, Good people, Loads of Learning and Opportunities","Low transparency (not deliberate I believe), growth path and vision not very clear.","Add few processes, send mass mailers to all stating what is going on, what do we plan to do as a company and why.","4.0","Zinnov Management Consulting"
"Good work - compete with big three consulting firms in many cases. The senior leadership is great to work with. The work is exciting and you are always pushed to deliver the best. High level of ownership given to junior employees as well","1. Mid level managers are not that good. The mid level leadership is quite average for a fast growth company2. Salary is low and vary a lot for the same designation and totally unrelated to performance.3. Hires from MBA are not the best and create limited value add but get paid well. This discourages non- MBAs to stick around","Company needs to create a culture.","3.0","Zinnov Management Consulting"
"Zeal in work and cultureSmall company with open door policyGood place to start your career with, get to work with multiple managers at a time","Work life balance can be screwed at times, rest could not find any","people leave their bosses not the company","3.0","Zinnov Management Consulting"
"Great place to learn, great business exposure","Long working hours, average compensation",,"3.0","Zinnov Management Consulting"
"- People get to work on a variety of projects ranging from a random customer query to working directly with the CEO- Ownership in work- Flexible work culture","- Senior leadership movement has created a large gap- No defined training or grooming period- Restricted financial growth for lower and middle management","Zinnov employees used to share a good rapport with senior management which is not the same now. Would be great if this gap is filled.","4.0","Zinnov Management Consulting"
"> Flexible working hours> Senior Management is very supportive> Overall management of the company is good - employee friendly","> Pay less to analysts",,"4.0","Zinnov Management Consulting"
"Great work culture, great colleagues, interesting projects","work life balance is affected due to undue expectation from the clients","better work-life management","4.0","Zinnov Management Consulting"
"Great Senior Management.Employee FriendlyHuge Learning ExperienceIn depth research","Increase in pay for middle and lower management",,"5.0","Zinnov Management Consulting"
"- Zinnov provides a lot of scope for learning and your skills never go unrecognised (provided you have them)- Opportunities to work with the CEO are a treat- Flexible work culture- Good rapport with Senior management and staff- Freedom in work","No defined work profile or career path","Keep it up and running!","4.0","Zinnov Management Consulting"
"Learning Oppurtunities, Flexible hours,open door policy","No training/grooming period, work-life balance",,"3.0","Zinnov Management Consulting"
"Good SalaryGives you freedom to be creativeFlexi time","A lot of variation in the kind of workNo fixed manager","Management should treat each and every employee the same","4.0","Zinnov Management Consulting"
"Early client exposure, good to learn basics of consulting, good growth prospects for graduates","Low to Mid end consulting. Senior Management seems to be content with getting that kind of work. It also has to do with delivery capability of senior management. Apart from the CEO, no one seems capable of delivering a high end consulting projectSenior management apathy towards employee work life balance. Zinnov unlike its earlier days now functions as 3-4 separate groups with lots of differentiation in terms of benefitsSenior Management now has a 'do it my way or the highway' kind of monopolistic attitude. A lot of it stems from the fact that the the founders have a 'no questions asked' approach towards senior management. Delhi office is particularly bad in that respect with people opting to switch to Bangalore.","Apathy towards employees with keep you where you are.HR policies in particular needs to be the same for all, irrespective of the designation.","3.0","Zinnov Management Consulting"
"1) Awesome work enviornment. Unlike big consulting firms, you are not stuck at the BoP for long. your work is not limited by your position. Lot of scope of ownership and responsibilities provided you show potential and interest.2) Opportunity to work in a wide spectrum of projects, ranging across industries and types. you are not limited to a particular vertical or service offerings.3) Carrier growth is fast, employees have got promoted in annual cycles provided they show capability.4) Friendly, chilled out work place, no one asks questions regarding your work timings as long as you do your work, people know each other, and easy share of knowledge between various teams.","Well defined carrier path is missing for employees.Though things have started looking up after the entry of new HR director, still more scope for improvement.","Work more on HR policiesShould have a well defined career pathBangalore office is becoming a little cramped.","4.0","Zinnov Management Consulting"
"Get to read a lot. so lots of information","apart from learning from ceo, you won't learn anything from the managers",,"3.0","Zinnov Management Consulting"
"Work Culture, Well Paying, Rapport, Senior Management Interaction, Open Door Policies, Client facing","Limited in thought process, politics, stagnant","It could have been so much more had the management paid a little more attention to the employees apart from paying them.","4.0","Zinnov Management Consulting"
"Informal climate, Good peer to peer learning","Individual professional growth not in focus",,"3.0","Zinnov Management Consulting"
"Cares for employeeshope it helps me complete the form","Low-end consulting, largely KPO work","Overall good, keep it up.","3.0","Zinnov Management Consulting"
"Probably the best for an undergraduate to get into, if one is looking at making a career in Management ConsultingOrganization gives you a lot of liberty to do things as you want , innovation and creativity is encouraged highly.Flexibility in terms of work timings and working from home option means one has ample opportunity to create work balance with personal lifePeople around are mostly from tier-1 engineering and B schools making it an excellent place to learn and compete.Highly recommended for people looking to get a start in management consulting since not many organizations gives this chance without a degree from a top B school","Consulting assignments at time are accompanied with frustrating market researchIf one does not have an idea why management consulting then probably it is not a good place to work at because you end up doing less of consulting and more of research then, which is not the idea exactly.","Inculcate strong culture towards consulting rather than research, research needs to be a backend of consulting .Operating on tight deadlines and limited resources would be detrimental for the organization.","5.0","Zinnov Management Consulting"
"It is good for undergrads. However for experienced people it might not be the right place. Very entrepreneurial and you can take as much of work as you want. Gives you a good insight into what management consulting is exactly about","Work life imbalance. People struggle to get a work life balance. But then people at work become your close friends.","Should focus on hiring more MBA's and looking at various other industry experts. May be from Ivy leagues and other univs","4.0","Zinnov Management Consulting"
"Amazing job that makes you feel wonderful when you go home!","Contract work could end at any point",,"5.0","Mancon"
"Fabulous healthcare and 401K benefits","none noted at this time",,"5.0","Mancon"
"Good salary; the company cares about their employees and supports them","No cons from my perspectiveSide note: Glassdoor.com should extend work years on this survey. I worked for Mancini in the late 90s so my work year on here is inaccurate and can't be fixed.",,"5.0","Mancon"
"Laid back, decent pay, full benefits","very far from anywhere, moral is very low",,"3.0","Mancon"
"Decent pay, friendly management, set schedule","No overtime available, can be laid off at any given time, no upward mobility. Medical should not be mandatory especially when 90% of your employees are veterans and have their own medical through the VA or tricare","See cons","1.0","Mancon"
"little to no supervision from managers.","low pay for the kind of technical work you are performing. no upward movement, promotions, or pay raises.","increase pay and/or allow more upward mobility.","1.0","Mancon"
"Management structure, pay, benefits, staff","Mundane, contract work, jury duty unpaid,",,"3.0","Mancon"
"Company offered good pay, benefits with sick leave, vacation package , bereavement payAnd compensates experience and education","Company is a stickler on accuracy, will not accept any errors i.e. time sheets, vacation requests and sick.leave forms",,"4.0","Mancon"
"Respectable salary for a government contract","wages may change for every bid",,"5.0","Mancon"
"good company to work for if your hourly","Company micro manages, supervisors not able to do their jobs.",,"1.0","Mancon"
"The pay would have been decent, had they not fired me for a sick kid.","I moved across the country for the position for Computer Specialist at ManCon. Two weeks after I started, I was fired because my daughter was sick. I lost tens of thousands of dollars, due to moving costs, and lost wages. I had been gainfully employed before accepting the position with ManCon, and left that position for this one. I am now living in a homeless shelter with my three children, because the management at this company has ZERO compassion.Additionally, during my time there, it was made clear that you are not allowed to take breaks, nor make or take personal phone calls during your break. I was followed into the break room and told that the cameras are used to track people throughout the day to ensure they're not taking breaks. Pretty creepy, to be honest.","Don't ever hire someone from out of state again. Please. You literally destroyed my life. We have been homeless for about six months now, due to your lack of understanding or compassion. I moved my family across the country for this job, and you fired me with no remorse because my child was sick. That was incredibly heartless and cruel.","1.0","Mancon"
"No onsite corporate manager. DoD GS civilian supervises contractors. Hires prior Navy who were in finance ratings such as DK's PS's and PN's.","The pay is low and should be between $ 23-25 per hour for the type of specialized job that is being done. They only reason employees receive benefits are because of unionized collective bargaining agreements.","raise pay to at least $ 23 per hour.","3.0","Mancon"
"Good Job placement for new comers","No movement once placed in a position.",,"3.0","Mancon"
"They are a great team to be associated with. They always have your back. Mike Snyder was a great supervisor. You can call on any of them day or night, if they don't know the answer (which doesn't happen often) they will find out and get back with ASAP.","There are no cons that I know of.","Be careful of the contracts you take on. Make sure there is always an out when the contract becomes an unmanageable account.","5.0","Mancon"
