"EMP_Engagement_1","EMP_Engagement_2","EMP_Engagement_3","EMP_Engagement_4","EMP_Engagement_5","average_weekly_hours"
3,3,2,3,3,20
NA,2,3,3,2,18
3,2,2,2,2,29
2,3,4,2,3,15
3,2,3,3,3,21
3,3,3,3,3,33
2,2,2,4,4,23
2,3,2,NA,3,20
2,3,3,3,3,26
3,2,2,2,2,31
2,3,3,1,3,33
3,3,2,3,2,16
2,3,2,3,2,23
3,3,3,3,3,15
3,3,2,2,4,36
3,3,3,3,2,15
3,2,2,2,2,16
3,3,3,2,2,21
2,2,3,2,2,29
3,3,3,2,2,28
3,2,2,2,3,28
3,2,NA,3,2,28
NA,3,3,2,3,32
2,2,2,3,3,20
NA,3,2,2,2,24
2,NA,3,3,2,26
3,2,2,2,3,25
2,2,3,3,NA,20
3,2,2,3,3,25
3,2,3,2,2,32
2,2,2,2,2,31
3,2,2,2,3,25
2,2,3,NA,2,28
3,2,2,2,2,15
2,2,3,3,2,22
3,2,2,3,3,31
3,2,2,2,2,22
3,3,2,2,2,15
2,3,3,3,2,23
3,3,2,3,2,35
2,3,NA,2,3,34
3,3,2,3,3,27
3,2,2,2,3,15
2,3,2,3,3,34
3,3,2,2,2,15
NA,2,2,2,2,17
3,NA,1,3,3,37
3,2,2,2,3,NA
2,3,3,4,2,30
3,3,3,1,3,27
2,2,2,3,2,32
2,2,3,2,NA,24
3,2,NA,3,2,25
3,3,3,3,NA,15
2,3,2,2,3,19
3,2,3,2,2,NA
3,3,2,2,3,23
1,2,2,2,3,15
3,NA,3,3,2,24
3,2,2,2,3,NA
3,3,2,3,4,15
3,3,3,2,2,19
2,3,2,3,2,21
NA,3,2,2,3,20
3,2,2,3,3,27
NA,2,2,3,2,26
3,2,2,3,2,31
3,2,3,3,2,31
3,NA,2,3,4,37
2,2,2,3,3,27
2,2,NA,3,1,20
2,2,3,2,3,22
3,2,3,3,4,38
4,3,3,2,3,19
1,3,2,3,2,34
3,2,2,NA,3,24
3,2,3,NA,4,15
2,2,2,3,3,24
3,2,3,NA,2,24
3,2,2,2,4,31
2,2,3,3,2,34
NA,3,2,3,3,20
3,3,3,2,3,26
2,3,3,3,3,16
NA,2,2,3,3,21
3,2,NA,3,4,43
2,3,3,2,2,31
3,2,4,3,4,23
2,2,3,2,3,27
3,3,3,3,NA,29
3,NA,3,3,3,22
3,3,2,3,2,15
2,2,1,3,3,20
2,2,2,3,3,15
2,4,3,3,3,20
2,2,3,3,3,23
1,2,3,2,2,15
NA,2,3,3,3,17
3,3,3,2,3,17
3,2,3,2,3,15
3,2,3,3,3,33
3,2,2,3,2,20
3,2,3,2,3,25
3,2,3,2,3,29
3,NA,2,3,2,34
3,3,2,3,3,20
3,3,2,3,2,24
2,3,3,2,3,22
2,2,2,3,2,19
2,2,2,3,2,18
2,3,2,3,2,30
3,2,2,3,2,18
2,2,3,4,2,20
3,2,3,3,3,37
3,2,2,2,3,47
2,3,2,3,2,28
2,1,1,4,2,30
3,2,3,2,4,46
3,2,3,2,3,30
2,3,3,NA,2,34
2,2,2,NA,3,26
2,2,2,2,2,18
2,2,2,3,2,23
3,2,3,2,2,29
3,2,NA,2,4,36
4,2,1,3,2,23
NA,3,3,2,3,21
3,2,3,2,3,27
2,2,2,2,3,23
3,3,3,2,3,20
2,4,3,3,4,41
2,3,2,3,NA,22
3,3,3,3,3,18
NA,3,2,2,3,37
2,3,3,3,2,32
2,3,2,2,2,27
2,2,2,2,3,18
3,2,2,3,2,15
3,3,2,2,3,NA
2,NA,2,3,2,25
2,4,3,2,3,20
3,3,3,2,3,22
2,2,3,2,2,15
3,1,2,3,NA,28
NA,3,2,3,3,21
2,2,3,NA,3,34
2,3,2,2,4,23
2,2,3,3,3,27
2,2,2,3,2,15
2,2,2,3,2,NA
2,NA,3,2,2,21
2,2,2,NA,2,26
2,2,2,2,4,39
2,2,3,3,2,20
2,3,2,2,4,40
2,2,3,NA,3,28
2,3,2,3,2,26
3,2,3,3,2,15
3,3,3,2,3,19
3,2,3,2,2,24
3,3,3,2,2,15
3,2,2,3,2,33
3,3,3,3,NA,37
2,2,2,2,3,21
2,2,2,3,3,27
3,3,3,NA,2,28
3,NA,3,2,2,20
2,3,2,2,4,40
2,2,2,2,3,26
2,1,4,3,2,25
NA,4,3,2,2,33
2,3,2,2,3,32
2,2,3,4,4,44
2,2,2,2,3,23
3,2,2,3,2,29
3,2,2,3,3,16
2,2,3,3,NA,22
2,2,2,3,4,28
3,2,3,2,2,15
2,2,3,2,3,29
2,2,2,2,3,27
2,3,1,3,2,32
3,2,2,2,2,21
3,2,3,3,4,38
2,2,2,NA,3,21
2,2,2,3,3,30
3,2,2,3,3,NA
2,2,2,3,3,33
2,3,2,NA,3,22
3,2,2,3,3,26
2,3,2,2,4,40
NA,2,3,3,2,27
2,3,3,1,3,23
2,3,2,2,2,28
1,2,2,2,2,29
3,2,3,2,2,31
2,2,2,3,2,35
3,3,3,2,2,17
3,NA,2,2,3,32
2,4,3,3,3,18
3,3,2,2,3,28
3,3,3,2,3,18
3,3,3,3,3,22
2,3,2,2,2,19
3,2,2,3,3,34
2,3,3,NA,2,20
2,3,2,2,2,29
3,2,3,3,NA,29
2,1,3,2,3,24
3,3,3,1,2,22
3,2,3,3,2,20
1,3,NA,3,2,22
3,3,2,3,3,31
3,3,2,3,3,16
3,3,3,3,2,28
3,2,3,4,3,31
3,2,2,2,3,18
2,3,3,3,3,24
NA,3,3,2,2,19
3,2,3,3,2,24
3,2,NA,3,4,30
3,3,3,NA,3,16
2,2,2,2,3,22
3,NA,3,3,3,25
3,NA,3,2,2,15
3,2,NA,2,3,31
3,3,2,3,3,24
2,3,2,2,3,24
3,3,3,2,2,15
3,3,2,3,3,27
2,2,3,3,3,25
2,2,2,1,4,26
3,3,2,3,4,38
2,2,4,2,3,15
3,2,2,3,2,22
3,3,2,3,3,28
2,3,3,2,4,15
2,3,3,2,3,20
3,NA,3,3,3,15
2,3,3,4,4,37
3,3,2,3,3,39
3,2,2,NA,3,26
2,3,3,2,4,37
2,3,3,2,3,19
2,2,2,3,2,28
3,3,3,3,2,28
1,2,NA,3,2,15
2,2,2,3,2,18
3,2,3,3,2,22
2,3,2,3,4,36
2,3,2,2,4,18
2,2,2,3,1,16
3,3,3,3,3,NA
3,2,3,3,3,24
3,NA,2,3,3,25
3,3,4,3,NA,16
2,2,3,3,2,15
NA,2,3,2,2,23
3,2,2,3,2,18
3,3,2,3,3,30
2,2,2,2,NA,36
3,2,3,NA,3,30
3,NA,2,2,3,25
3,2,2,3,2,30
3,3,2,2,2,17
3,2,2,3,3,19
3,2,3,2,3,16
3,2,2,NA,3,18
2,3,3,2,2,21
2,2,3,3,2,30
2,3,3,2,3,15
3,2,2,2,3,28
3,2,2,2,3,36
4,2,3,3,2,21
3,3,2,2,3,35
3,3,3,3,3,20
2,2,3,3,3,22
3,2,2,2,2,15
2,3,3,2,2,27
3,3,3,2,2,28
1,2,1,3,1,17
2,NA,3,2,3,31
4,2,2,3,3,26
2,2,2,3,4,39
2,3,2,3,2,32
2,2,2,2,3,30
2,3,2,2,3,20
2,3,2,2,3,NA
3,NA,3,3,2,28
4,NA,2,3,2,27
NA,3,2,3,3,22
3,2,2,2,3,23
3,3,3,3,3,22
2,2,3,2,2,29
3,3,2,3,1,28
3,3,3,2,3,25
2,3,3,2,2,21
2,2,2,3,2,29
2,2,1,2,3,19
3,3,3,3,2,27
3,2,3,2,3,39
3,NA,1,3,3,20
3,3,2,4,3,45
2,3,3,1,3,32
2,3,NA,2,4,41
3,2,2,NA,2,29
2,2,3,2,2,20
3,3,3,2,3,26
3,3,2,2,3,23
NA,3,3,3,3,33
3,2,2,3,2,26
3,2,3,3,3,30
3,3,2,3,2,34
2,3,2,2,1,15
2,2,2,3,3,15
NA,3,2,2,4,23
2,3,2,3,3,40
3,3,3,3,3,24
2,3,2,3,2,27
3,2,3,2,3,22
2,2,3,3,3,22
3,2,3,2,2,28
3,2,NA,3,3,38
2,2,NA,2,2,28
2,3,3,3,2,35
3,3,2,3,3,19
2,2,2,2,3,30
2,3,2,3,2,21
3,3,3,3,2,NA
3,2,3,2,3,22
2,2,3,NA,2,29
3,2,3,2,3,16
3,4,2,3,2,24
3,3,3,3,2,18
3,3,2,3,3,15
3,3,NA,2,2,25
3,2,2,2,3,27
2,3,2,3,3,26
3,2,2,2,3,NA
3,3,2,2,4,18
2,2,3,2,2,27
2,3,2,3,2,24
2,NA,3,2,2,25
2,3,3,2,1,15
2,2,2,2,3,16
3,2,2,3,2,27
2,2,NA,3,3,15
2,2,3,2,3,22
2,3,3,2,2,25
3,3,2,3,2,22
2,2,3,3,2,35
4,3,3,2,3,37
2,3,2,3,4,41
3,3,2,3,3,29
2,2,2,2,3,40
2,NA,3,3,3,41
2,2,2,3,3,15
3,3,2,2,3,27
2,NA,2,2,4,41
3,2,3,2,2,26
2,2,2,3,NA,32
2,2,3,3,3,41
3,2,NA,2,4,43
3,3,2,2,3,17
2,3,2,3,3,28
3,3,3,2,3,37
3,2,3,3,2,28
3,3,2,2,2,26
2,2,2,3,2,31
3,2,3,3,3,28
3,4,3,2,3,37
3,2,2,3,3,26
2,3,3,3,3,25
3,2,3,2,3,24
2,3,2,2,4,36
3,3,3,3,4,38
2,2,2,3,3,40
2,2,3,3,4,37
3,3,2,2,3,19
3,3,2,3,2,31
2,2,3,3,2,15
3,2,3,3,3,33
2,3,2,2,3,27
2,2,3,2,3,28
2,3,2,3,3,35
2,2,3,2,2,24
3,1,2,3,3,34
2,2,3,3,2,16
3,2,3,2,3,26
3,3,2,3,2,18
3,2,3,2,3,26
2,2,3,3,3,19
3,2,3,2,3,20
3,3,3,3,2,29
2,NA,2,2,3,27
3,3,2,1,3,31
2,3,3,3,2,15
2,3,2,2,2,35
3,3,2,3,2,28
3,2,3,3,3,30
2,1,3,3,3,42
2,2,4,3,3,16
3,NA,3,3,2,15
2,3,2,3,3,15
1,3,1,4,3,26
2,2,2,2,4,38
2,2,2,2,2,25
2,3,3,2,3,28
2,2,2,3,3,27
NA,2,3,3,3,26
2,3,2,3,2,24
3,2,2,2,3,15
2,2,3,2,3,22
3,2,2,3,3,30
4,3,3,3,2,22
NA,3,3,3,2,25
2,2,3,3,2,20
3,3,3,3,3,15
2,2,3,3,2,22
2,2,2,3,3,30
3,3,3,3,2,29
2,3,2,3,2,27
3,3,2,1,3,36
2,NA,3,2,1,15
4,2,3,3,3,30
2,3,3,3,NA,22
4,3,3,3,2,32
2,3,2,3,3,24
2,2,2,3,4,27
2,NA,2,2,2,23
3,3,3,3,2,15
3,2,2,2,2,19
3,NA,3,2,2,17
3,3,3,3,2,32
2,2,3,NA,2,30
3,3,3,2,3,28
3,3,2,3,2,45
1,NA,3,3,3,22
2,2,2,2,2,15
3,2,3,2,3,23
2,3,2,2,3,NA
3,2,3,3,3,27
2,2,2,3,3,37
2,1,2,3,2,22
3,3,2,2,2,33
2,3,2,3,NA,28
3,3,2,3,3,24
3,2,2,3,3,NA
2,2,3,2,3,43
3,3,3,3,2,31
3,2,3,1,3,34
2,2,2,2,NA,23
3,3,3,3,2,25
2,3,3,2,3,32
3,2,2,3,3,27
3,3,3,2,3,31
2,2,3,3,3,41
3,2,4,3,2,28
3,2,3,3,4,40
3,2,3,4,3,15
NA,3,2,4,3,23
3,3,3,3,2,27
2,3,3,4,3,28
2,3,2,2,2,29
2,2,3,2,2,18
3,2,2,2,2,31
2,3,2,2,2,32
3,3,3,3,3,35
2,2,2,2,3,24
3,2,2,2,2,18
3,2,3,NA,4,30
3,2,3,2,2,21
2,3,2,3,3,22
NA,3,2,2,3,15
3,2,1,2,3,20
NA,2,2,2,2,25
2,3,3,3,3,43
2,3,1,3,NA,30
2,2,3,3,4,37
3,2,2,4,2,15
3,2,2,3,3,29
3,2,2,3,2,29
2,2,2,2,3,15
2,3,3,3,3,21
3,3,2,3,2,32
3,3,3,2,2,15
3,2,2,2,2,32
3,1,2,3,3,20
3,2,4,2,3,23
3,2,2,3,3,30
3,2,4,3,3,23
2,2,2,2,3,16
2,3,3,2,NA,25
2,2,3,NA,2,34
3,3,2,2,2,29
3,2,3,2,2,28
3,3,3,2,2,26
3,2,3,2,3,35
3,2,2,3,3,NA
3,2,3,2,2,19
2,2,2,2,2,28
3,2,4,NA,2,15
2,2,2,1,3,30
NA,3,4,3,2,24
2,2,3,3,2,22
2,2,2,2,2,22
NA,2,2,2,2,32
NA,3,3,2,2,22
3,3,4,1,4,19
2,2,2,2,3,29
2,3,2,2,2,17
2,2,2,2,2,23
2,2,2,3,2,25
NA,2,3,3,3,25
2,3,3,3,3,21
2,3,2,3,2,NA
2,3,3,3,3,27
NA,2,3,2,2,35
3,2,3,2,2,33
2,2,3,NA,2,27
NA,3,3,2,3,21
2,2,2,NA,2,15
2,NA,3,3,3,25
3,NA,2,2,4,40
3,3,3,3,3,42
2,3,2,2,2,35
3,3,NA,3,2,15
3,2,3,2,3,38
3,3,3,3,NA,38
2,3,2,2,3,15
2,2,2,2,3,27
3,2,2,2,2,24
3,2,2,3,2,24
NA,2,3,3,3,22
2,NA,2,2,1,31
3,2,3,2,3,19
NA,3,3,3,3,15
3,3,2,2,3,31
2,3,2,3,4,40
2,3,2,2,3,32
3,2,3,3,3,19
2,2,2,3,2,24
2,2,2,3,3,20
2,3,2,2,3,16
2,2,2,3,3,22
3,NA,3,3,2,23
2,2,3,2,3,30
2,3,2,3,3,20
3,3,2,2,3,34
3,3,2,3,3,22
NA,3,3,2,3,21
3,3,3,3,4,43
3,2,2,2,1,28
2,3,2,3,2,26
3,NA,3,3,3,25
2,2,2,3,2,24
4,3,3,2,4,NA
NA,2,3,3,2,24
2,2,3,3,3,24
NA,3,3,2,3,22
3,3,2,3,1,16
2,NA,3,3,3,23
2,2,3,3,3,42
2,3,2,2,2,28
2,2,2,2,3,26
2,2,3,3,3,20
3,3,3,1,2,21
2,3,3,2,2,21
3,2,3,2,2,25
3,2,3,4,3,18
3,2,1,3,2,15
2,2,2,3,2,29
3,3,3,2,3,32
3,1,2,2,3,19
3,2,NA,2,3,17
3,3,3,3,4,36
3,2,2,2,3,28
3,2,2,3,4,43
3,2,3,3,2,29
NA,2,3,2,3,35
3,2,2,2,2,30
3,2,2,3,3,34
3,NA,3,3,3,27
2,2,2,3,2,30
2,2,2,2,2,15
3,2,3,2,3,23
3,2,2,2,4,37
2,2,3,3,2,17
3,2,2,3,NA,33
3,3,NA,1,2,23
3,4,3,2,3,NA
3,2,2,3,3,24
3,3,3,3,3,33
3,3,2,NA,3,15
3,2,3,NA,2,18
2,3,3,3,3,18
3,3,2,2,3,21
3,2,NA,3,3,23
2,3,2,2,2,34
3,3,2,3,3,29
3,2,2,2,2,29
2,3,2,2,2,NA
3,3,3,2,3,15
2,3,2,3,3,29
2,2,3,2,NA,36
3,NA,2,3,3,28
2,3,3,2,3,24
2,3,2,2,3,39
3,2,3,3,3,18
2,3,2,3,3,16
3,2,3,3,3,28
4,NA,2,2,3,15
2,2,3,3,2,19
NA,2,3,3,4,37
2,2,2,2,3,NA
3,1,2,2,2,21
3,3,3,2,3,23
3,2,2,3,3,31
1,3,3,2,2,23
3,2,2,2,3,28
2,2,2,2,NA,34
2,3,2,3,2,24
2,NA,2,2,2,15
2,2,2,2,3,18
3,2,3,2,3,27
3,4,2,3,NA,17
2,1,3,3,3,21
3,3,3,2,3,20
3,NA,2,2,2,26
3,3,3,2,3,38
2,3,3,3,3,35
2,2,3,NA,3,24
2,2,3,2,NA,15
2,2,2,3,2,NA
3,3,2,4,2,19
2,3,2,3,3,24
2,3,2,2,2,33
NA,2,2,3,1,25
2,2,3,2,2,NA
3,2,2,3,3,20
3,2,3,2,4,37
NA,3,2,1,3,18
3,2,3,3,2,26
3,3,3,3,4,38
NA,3,3,3,2,30
3,2,2,3,2,32
3,3,2,3,3,39
2,2,2,3,2,NA
3,2,3,2,3,23
2,2,2,3,2,16
3,2,3,NA,4,37
2,3,NA,2,2,23
3,3,3,3,2,25
3,3,2,3,2,30
2,3,NA,2,2,19
3,2,3,2,3,19
2,NA,3,3,2,30
NA,3,3,3,3,33
1,3,NA,3,2,21
2,NA,2,2,2,15
2,3,2,3,2,21
3,3,3,3,2,25
2,2,2,2,3,15
2,3,3,NA,3,29
3,3,2,2,NA,15
2,2,2,3,3,22
3,2,2,3,2,28
3,2,3,3,3,19
4,3,2,3,4,41
3,3,2,2,3,26
3,2,3,2,2,23
3,2,2,3,2,15
2,3,2,3,3,32
2,2,2,3,2,32
3,3,3,3,4,41
3,2,3,2,2,29
3,3,2,NA,3,21
2,2,NA,3,2,23
2,2,3,2,3,NA
3,3,3,NA,3,33
3,3,4,3,2,19
3,2,3,3,3,23
1,3,3,2,3,38
3,3,3,3,3,34
3,2,2,3,2,34
2,3,2,3,3,22
1,3,NA,2,2,28
4,3,2,3,2,20
3,4,3,4,3,27
3,4,2,2,3,29
NA,2,3,3,2,22
2,NA,3,2,3,16
3,3,2,3,3,20
2,3,3,3,2,33
3,2,2,3,3,15
2,2,3,3,3,21
3,3,2,3,2,19
2,2,2,2,3,37
3,1,2,3,2,NA
3,3,2,2,3,32
2,3,3,3,4,26
1,2,2,2,3,29
4,3,2,3,2,35
1,3,3,2,2,26
2,3,2,3,3,31
3,2,3,2,2,15
3,2,3,3,2,32
3,3,2,2,3,46
3,NA,2,2,3,30
1,3,3,2,4,15
3,2,2,NA,3,21
NA,3,3,3,2,15
3,3,3,3,3,NA
3,2,3,1,4,39
2,3,3,3,3,15
3,3,2,2,2,25
3,2,2,3,3,19
3,3,3,3,2,21
3,3,2,2,2,33
2,2,3,4,3,34
NA,2,3,4,2,20
3,2,3,3,2,34
3,3,2,2,3,15
2,2,2,3,3,34
2,4,3,2,2,21
4,3,2,2,2,17
2,2,3,2,3,27
2,2,NA,3,3,24
2,2,3,2,3,33
3,3,3,2,2,21
2,NA,2,2,3,23
3,3,3,3,3,28
3,3,3,3,2,24
3,3,2,2,3,38
2,3,3,3,2,23
3,2,3,3,2,25
3,NA,2,3,2,19
2,3,2,2,2,34
3,2,2,2,2,16
2,3,2,1,NA,22
3,NA,3,3,2,29
3,2,1,3,3,23
3,3,2,NA,2,31
3,NA,2,2,3,28
3,3,3,3,2,32
2,3,2,2,3,22
3,2,3,NA,3,29
2,4,2,3,3,NA
3,2,NA,2,2,25
4,3,2,2,3,22
2,2,3,1,3,25
3,2,2,2,2,18
3,2,3,2,3,29
2,2,3,3,2,15
2,2,2,3,3,34
2,3,3,3,2,18
3,2,3,2,2,15
3,2,4,3,3,50
2,2,2,3,3,25
NA,2,2,2,3,28
2,3,NA,3,5,42
3,3,2,3,3,33
2,2,3,3,3,34
2,3,3,2,2,24
2,2,2,2,3,NA
2,2,3,3,3,27
NA,3,3,2,2,17
2,2,3,3,3,29
3,2,2,2,3,17
3,NA,3,2,3,25
NA,2,3,2,2,22
3,2,3,2,2,27
3,2,3,NA,3,15
2,2,4,3,3,NA
3,NA,2,2,3,19
2,3,3,4,2,19
2,2,3,2,2,NA
2,2,2,NA,3,19
2,3,3,2,3,25
3,3,2,2,3,15
2,3,2,3,3,19
2,2,3,3,3,32
3,3,2,3,3,32
3,3,3,2,3,15
2,0,3,2,3,18
2,3,3,2,3,21
3,2,2,2,2,15
2,3,3,2,2,26
2,2,2,1,3,18
3,2,2,2,2,20
3,2,3,3,3,34
2,2,3,2,2,31
2,3,2,2,2,18
2,2,3,3,2,23
3,3,3,4,3,NA
3,3,NA,3,2,21
3,3,2,2,3,24
2,3,2,2,3,36
3,3,2,2,3,19
3,2,2,3,3,20
3,2,2,3,2,35
2,3,2,3,2,19
3,3,3,3,3,29
2,2,3,3,NA,22
3,2,2,3,2,24
2,3,3,2,3,23
3,2,3,2,2,27
2,1,3,3,3,15
NA,3,2,2,1,27
2,3,2,2,3,21
2,2,2,NA,4,25
2,1,3,2,3,31
2,2,3,3,3,24
2,3,2,2,2,18
3,2,NA,2,3,30
2,2,3,3,3,16
2,3,2,3,3,15
3,2,2,2,3,36
3,2,3,3,3,34
3,2,2,2,2,24
3,3,3,2,2,15
3,2,2,3,5,37
3,2,3,3,3,23
2,2,2,3,3,21
3,2,2,2,3,41
2,3,3,3,3,27
2,NA,2,3,2,15
NA,3,2,3,3,29
3,3,3,3,3,34
2,2,2,2,3,31
3,3,3,3,2,29
3,3,2,3,4,36
3,2,3,2,NA,24
2,4,3,2,3,26
2,3,3,2,3,21
3,3,3,2,3,21
3,2,3,3,2,NA
3,3,2,3,2,20
1,3,2,2,3,20
3,3,2,2,2,29
2,2,3,2,2,26
3,NA,2,4,3,18
2,3,4,2,3,22
3,1,3,2,NA,24
1,3,2,2,3,22
2,2,3,2,2,16
2,3,3,3,3,15
3,4,2,2,3,34
2,3,2,NA,3,24
2,3,2,1,3,15
3,2,3,2,3,25
2,2,2,3,2,15
2,3,3,2,3,15
2,3,3,2,3,NA
NA,3,2,3,2,30
2,2,3,2,2,32
3,3,2,2,3,22
2,2,3,NA,4,44
3,3,3,2,2,21
2,3,2,3,3,23
3,2,2,2,NA,29
2,2,3,NA,3,31
2,3,3,2,2,32
2,2,4,2,3,15
3,3,3,2,3,30
2,NA,3,3,2,15
1,2,2,3,4,41
2,2,3,2,3,20
2,3,2,2,2,32
3,2,3,2,3,46
3,3,2,1,3,28
2,4,2,2,3,18
2,2,3,2,2,15
3,NA,2,2,3,27
3,2,3,3,2,22
2,3,3,2,3,20
3,2,3,2,NA,23
3,2,3,2,3,34
2,2,2,2,3,15
2,2,2,2,2,31
3,3,2,NA,3,27
2,3,3,3,1,24
2,2,3,2,2,23
3,2,2,2,3,NA
2,3,3,2,2,27
3,3,2,2,3,27
3,2,3,3,2,30
NA,2,2,3,3,15
3,3,2,3,3,15
2,3,2,2,3,24
3,3,2,3,4,32
3,2,2,2,3,21
2,2,2,3,2,31
2,3,2,2,2,NA
2,2,NA,3,2,24
3,3,2,3,3,NA
3,3,NA,2,3,19
3,2,2,NA,2,24
2,2,3,3,3,20
3,2,3,3,3,29
3,3,3,3,3,23
3,2,3,3,2,23
3,2,3,3,3,16
3,2,2,1,2,16
3,3,3,NA,3,15
3,2,2,2,2,30
4,3,4,3,2,15
3,1,3,3,NA,26
2,3,2,3,3,32
2,3,3,2,3,37
3,4,3,1,3,24
2,2,2,2,3,15
3,3,2,2,3,21
3,3,3,3,2,29
3,3,3,3,2,23
3,3,2,2,3,20
3,2,3,2,3,24
3,3,1,3,2,31
3,3,3,2,3,18
2,3,2,2,4,36
3,3,2,3,4,46
2,2,NA,3,2,35
3,3,2,4,2,25
2,3,1,2,3,NA
4,3,3,2,2,23
2,2,2,2,2,28
3,3,3,3,3,32
3,2,3,2,2,34
3,3,2,2,2,18
3,2,2,2,2,23
2,2,NA,2,3,40
3,3,2,3,3,34
2,3,2,3,2,28
3,3,2,3,2,25
2,2,2,3,3,35
2,3,2,3,2,25
2,3,2,3,2,38
3,3,3,2,3,22
4,2,2,2,2,25
2,2,3,3,2,NA
3,3,3,3,2,25
3,3,3,4,2,18
2,3,2,3,3,15
3,3,2,2,2,38
3,2,3,4,1,20
3,2,3,3,2,17
2,3,3,3,2,28
2,2,3,3,2,26
3,2,2,2,2,15
3,3,2,3,3,22
3,3,2,3,2,32
3,2,3,2,3,33
3,2,4,2,3,23
3,3,3,2,2,20
2,3,3,3,2,27
2,NA,2,3,2,32
NA,2,2,2,3,29
1,3,2,NA,1,15
2,2,3,3,3,22
3,3,2,3,3,22
NA,2,3,3,2,25
2,2,2,2,4,37
3,2,3,4,2,18
2,3,2,3,4,38
3,2,2,3,2,NA
3,2,3,2,2,20
2,3,4,3,3,19
2,3,2,NA,3,15
2,3,3,2,2,15
3,3,3,2,2,NA
2,2,3,2,3,15
2,2,2,2,3,29
2,NA,3,3,2,18
3,2,3,2,2,NA
3,2,3,2,2,31
3,3,2,2,4,38
3,2,2,2,3,30
NA,3,1,3,3,38
3,3,2,3,3,31
3,2,3,3,2,26
3,3,3,2,3,23
