"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure"
"82","P839A","Ethics","V5401Z",5,4,7,6,6,6,5,54043,2
"83","H946W","R&D","V4859W",5,1,6,6,6,2,3,65175,8
"84","B812C","R&D","V4859W",1,5,3,2,3,7,6,48015,4
"85","M212O","R&D","X8503X",1,5,3,2,3,6,7,56113,1
"86","Q749K","Finance","V1626X",2,2,3,3,4,4,4,67022,5
"87","R467Y","R&D","X2508W",3,3,4,4,4,4,4,45140,1
"88","Y510M","R&D","X8503X",3,1,4,4,4,2,2,84352,6
"89","H582D","Finance","Z5440X",2,2,4,3,3,4,4,52693,6
"90","J836U","DSI","Y7924Z",4,1,6,6,6,2,3,54069,0
"91","C993P","R&D","X8503X",1,5,3,2,2,6,6,48435,3
"92","S109W","R&D","X8503X",4,4,6,6,6,5,NA,51089,3
"93","L400F","Ethics","V5401Z",2,4,4,4,3,6,6,65029,3
"94","C655F","R&D","V4203Y",1,1,3,3,2,3,3,123431,2
"95","J423I","R&D","W6837Y",3,5,4,6,4,7,7,59034,5
"96","U728N","R&D","V4203Y",4,3,7,5,5,4,4,59069,1
"97","M925Y","R&D","X8503X",1,1,3,2,2,2,2,58210,2
"98","M207R","Finance","Z5440X",1,5,2,3,3,7,7,50158,5
"99","O159N","Finance","W7052V",4,5,5,5,6,7,6,49418,5
"100","Z858C","Health","X3361V",4,3,6,4,6,5,NA,52226,1
"101","G806A","R&D","V4859W",1,5,3,2,2,7,7,149055,5
"102","N611D","R&D","X2508W",4,1,5,6,5,2,NA,55422,7
"103","A866O","Ethics","V1748V",3,1,4,4,4,3,3,68557,5
"104","T690J","R&D","V4203Y",1,4,3,3,2,5,6,83569,8
"105","E119J","Health","V3988Z",4,1,6,5,5,3,2,102154,5
"106","D498G","DSI","Y7924Z",1,2,3,3,2,3,3,47063,6
"107","I591D","R&D","X8503X",4,4,5,6,6,5,7,52369,7
"108","R513P","R&D","X8503X",5,4,6,6,6,6,6,53725,7
"109","Q465T","R&D","V4859W",3,4,5,4,4,6,6,75315,8
"110","H433I","Finance","Z4040W",1,3,2,3,2,5,5,88200,2
"111","J288J","Finance","Z4040W",4,1,7,6,5,2,2,52883,2
"112","Q596E","R&D","W6837Y",3,2,4,5,4,3,3,51821,5
"113","V621N","Finance","Z5440X",5,1,7,7,6,3,2,78070,8
"114","W901F","Health","Y9874X",4,2,5,5,6,5,3,45685,2
"115","S610M","Finance","V1626X",2,3,4,4,3,4,5,69134,9
"116","C365F","Finance","Z5080X",5,3,6,7,7,4,4,53204,3
"117","D230N","Ethics","V1748V",4,1,6,6,5,3,2,54475,1
"118","Q606G","R&D","V4859W",4,3,7,5,6,4,4,79637,4
"119","I476Y","R&D","W6837Y",4,2,5,5,5,3,4,97506,7
"120","R371K","Finance","W7052V",3,4,5,5,4,6,6,166780,9
"121","Z751K","Health","Y9874X",4,1,5,6,5,3,3,46235,5
"122","Y233P","Finance","V1626X",5,3,6,6,6,4,4,93826,9
"123","X203R","R&D","X2508W",1,3,2,2,3,5,5,103548,10
"124","C135G","Finance","Z4040W",3,2,4,4,5,3,4,45028,6
"125","N363W","Finance","W7052V",5,1,6,6,5,2,2,48141,6
"126","V285G","R&D","X8503X",2,3,3,3,3,5,5,47200,0
"127","T583Z","DSI","Y7924Z",1,1,3,2,3,3,2,59206,0
"128","O569U","Finance","V1626X",1,2,3,3,4,3,4,47253,1
"129","W378W","Health","Y9874X",2,1,3,3,3,2,2,56196,0
"130","C625Y","Health","Y9874X",4,5,5,6,6,6,NA,56449,3
"131","N898J","Finance","Z5440X",1,3,3,2,3,6,5,70738,6
"132","J164K","Finance","Z5080X",1,1,3,3,3,2,2,54078,4
"133","S840N","Finance","Z4040W",3,4,5,4,4,5,4,70460,10
"134","C250X","Health","X3361V",4,3,5,5,6,5,5,48078,7
"135","A688J","Health","Y9874X",2,1,3,3,3,2,3,65097,7
"136","B915E","Finance","W7052V",1,4,2,2,2,6,4,46019,1
"137","F160B","R&D","W6837Y",2,5,3,4,3,6,7,130670,7
"138","M671F","Health","Y9874X",3,4,5,4,4,7,6,56756,2
"139","F634Q","R&D","W6837Y",1,2,3,3,3,4,4,50372,3
"140","F293M","Health","V3988Z",5,3,7,6,6,4,5,53677,6
"141","Z310P","Health","Y9874X",3,1,5,4,4,2,2,47751,4
"142","Y659U","Health","Y9874X",2,2,4,3,3,3,4,49514,6
"143","N305D","R&D","V4859W",5,1,7,7,7,3,3,78630,9
"144","A224O","DSI","Y7924Z",1,3,3,3,3,5,5,67487,8
"145","L852M","Finance","Z4040W",4,1,5,5,6,3,2,55932,5
"146","P831I","R&D","V4203Y",1,1,3,2,3,3,NA,49147,6
"147","M800M","Finance","Z4040W",3,5,5,5,5,6,7,55589,6
"148","Q347N","Health","X3361V",3,4,4,5,5,6,5,45255,6
"149","D469A","Finance","Z5440X",1,1,2,3,2,2,2,53417,0
"150","Z895X","Finance","Z4040W",5,2,6,6,6,4,3,137833,4
"151","S386Y","Health","V3988Z",4,5,6,6,6,7,NA,116823,1
"152","R956O","Ethics","V1748V",1,2,3,3,3,3,3,58099,2
"153","D385Q","R&D","X8503X",2,1,2,3,4,2,2,47115,1
"154","D350R","Ethics","V1748V",1,2,2,3,2,3,4,136205,2
"155","C804M","R&D","V4859W",4,2,5,6,5,3,3,53477,5
"156","K690H","R&D","X8503X",5,3,7,7,6,5,5,111167,2
"157","P530X","Finance","Z5440X",3,5,4,5,4,7,7,109222,0
"158","W682H","Finance","Z5080X",1,1,3,2,3,3,2,95808,3
"159","G561K","R&D","X8503X",3,2,5,4,5,3,3,54921,5
"160","I233N","R&D","X2508W",2,3,4,4,3,5,4,53605,1
"161","U125U","Finance","Z5080X",2,5,4,4,4,7,6,47712,2
"162","G157V","Ethics","W4935V",1,1,2,3,2,3,3,58256,4
"163","G752V","R&D","V4859W",5,5,6,7,6,6,NA,59020,1
"164","U985F","Finance","Z4040W",3,2,5,4,4,4,3,54817,5
"165","S863Q","Ethics","V1748V",2,4,4,4,4,6,5,56688,1
"166","O301Z","R&D","V4203Y",4,2,5,6,6,3,4,48432,5
"167","G132K","Finance","V1626X",3,3,5,4,5,5,4,85414,10
"168","I614Y","Health","Y9874X",1,3,3,2,2,5,5,51039,1
"169","B678E","Finance","Z4040W",4,5,6,5,6,6,NA,53621,6
"170","E845S","Finance","Z4040W",3,5,5,3,5,5,7,73604,8
"171","T791W","Finance","Z4040W",1,2,3,2,3,3,4,57722,0
"172","B108T","Finance","Z5080X",3,1,3,3,5,3,2,45465,4
"173","Z296Y","R&D","V4203Y",3,1,4,4,5,2,4,82029,8
"174","V482X","DSI","Y7924Z",1,2,2,2,2,3,4,78038,8
"175","T107L","R&D","X8503X",5,3,6,7,7,5,4,70273,1
"176","S475L","Finance","Z5440X",1,2,2,2,2,4,3,102742,6
"177","W533W","R&D","W6837Y",1,2,2,2,2,3,3,45707,6
"178","W334C","R&D","V4203Y",1,2,2,2,2,3,5,59276,7
"179","X440F","R&D","V4859W",4,3,6,6,5,4,4,67322,3
"180","P835K","Ethics","V1748V",2,4,3,3,4,6,5,164546,9
"181","N240H","R&D","V4859W",4,4,6,6,6,7,6,50590,2
"182","H482S","Ethics","W4935V",4,3,6,6,5,5,5,80877,9
"183","L237O","Ethics","V1748V",2,1,4,3,3,3,3,58958,1
"184","L893M","Ethics","W4935V",3,2,4,5,4,4,3,46671,1
"185","T846V","R&D","X2508W",1,2,3,2,3,4,4,74649,5
"186","N976Q","Finance","Z4040W",4,2,5,6,5,3,4,77971,10
"187","N837O","Finance","Z5440X",3,3,4,4,4,5,4,134319,6
"188","E241X","Finance","V1626X",3,2,5,5,5,4,4,57408,6
"189","T129R","R&D","W6837Y",2,4,4,3,4,6,6,70312,8
"190","R876C","Health","V3988Z",3,4,5,4,4,6,6,58046,0
"191","P909F","Finance","Z5440X",4,1,5,5,4,2,2,83142,10
"192","R263O","Health","Y9874X",3,3,4,5,5,5,NA,52385,0
"193","G918L","R&D","X2508W",3,2,5,5,4,3,4,82362,8
"194","L856P","Finance","Z5440X",5,4,7,6,6,5,NA,70311,8
"195","C685U","Ethics","V5401Z",1,1,2,3,3,2,2,68884,10
"196","V922V","Finance","W7052V",3,5,5,5,4,6,7,82478,8
"197","B825J","Ethics","V5401Z",3,4,5,5,4,6,5,127605,3
"198","Q335N","Finance","Z5440X",3,4,5,4,5,5,6,55289,7
"199","S672F","Finance","W7052V",3,3,5,5,4,5,5,48498,7
"200","A363G","Finance","V1626X",3,3,5,4,4,4,4,102749,2
"201","K515N","Finance","W7052V",4,2,5,7,5,4,4,124689,7
"202","R111V","Finance","W7052V",5,2,7,6,7,3,NA,72569,9
"203","S906C","Ethics","V1748V",2,2,3,3,3,4,4,85041,9
"204","G596X","Ethics","V1748V",1,5,2,3,2,7,7,54227,0
"205","V573W","R&D","V4859W",3,1,4,4,5,3,NA,77212,9
"206","C933T","R&D","X2508W",4,2,6,5,6,4,NA,53172,7
"207","F415N","Health","V3988Z",3,5,5,4,5,7,NA,46425,6
"208","W892C","R&D","X8503X",2,4,3,3,3,5,6,83905,9
"209","Q824J","R&D","W6837Y",2,1,4,3,4,3,3,144810,6
"210","M797V","R&D","X2508W",5,4,7,7,6,5,NA,135175,3
"211","G550V","Finance","W7052V",2,2,4,3,3,4,2,59076,5
"212","D562H","Finance","Z4040W",4,4,6,5,6,6,6,129912,5
"213","D484U","Finance","W7052V",5,2,7,7,6,4,3,50992,7
"214","V122D","Finance","Z5080X",2,4,5,3,3,5,5,53012,7
"215","H378U","Finance","Z4040W",5,2,7,7,6,3,3,50410,7
"216","A893U","Finance","Z5080X",5,2,6,5,6,4,3,54463,3
"217","T794N","Finance","Z5080X",3,1,4,5,4,2,2,74460,8
"218","P704U","Health","V3988Z",2,2,4,4,3,3,4,58621,1
"219","U740H","Finance","Z5080X",1,4,2,3,2,5,6,123474,2
"220","F195B","Health","X3361V",1,4,3,3,3,5,6,124788,4
"221","W825D","R&D","V4859W",1,3,2,1,2,4,4,57518,3
"222","F373Z","Ethics","V5401Z",1,5,2,2,2,6,7,72373,9
"223","N273J","R&D","V4203Y",1,5,2,2,2,7,6,56702,5
"224","L518B","Health","X3361V",3,1,4,4,4,3,3,52269,3
"225","U372P","Finance","Z4040W",3,2,5,5,4,3,4,53967,3
"226","C830R","R&D","V4203Y",3,2,4,5,5,5,4,50398,7
"227","V404H","Ethics","V1748V",5,3,7,7,7,4,NA,124486,2
"228","W111J","R&D","V4859W",2,1,4,4,4,2,2,73510,10
"229","M441F","Finance","Z5440X",5,5,6,7,6,6,6,56935,2
"230","X899C","R&D","V4203Y",1,1,3,2,3,3,2,70053,8
"231","G826M","DSI","Y7924Z",2,1,2,4,4,2,3,125417,10
"232","H295K","Health","X3361V",5,2,6,7,7,4,3,58698,1
"233","M922N","Finance","Z5440X",2,1,3,3,4,3,2,74283,8
"234","I615M","R&D","X2508W",2,2,3,4,3,4,4,58821,7
"235","B127G","R&D","V4859W",2,5,4,3,3,7,6,73068,9
"236","H951R","R&D","V4859W",5,4,7,6,6,6,5,134244,10
"237","O283X","R&D","X2508W",5,1,6,6,6,2,2,63686,2
"238","U403U","R&D","V4859W",2,3,3,3,4,4,5,46197,1
"239","D207K","R&D","V4203Y",2,2,3,2,3,4,NA,49683,6
"240","E734I","R&D","V4859W",2,1,2,3,2,2,3,52298,0
"241","R516K","R&D","X2508W",1,5,2,2,3,6,7,78653,2
"242","L508D","Finance","Z5440X",1,3,3,2,2,4,4,51761,2
"243","E104V","DSI","Y7924Z",2,2,3,3,3,3,3,61270,7
"244","P314W","R&D","X2508W",5,1,6,7,6,3,2,52013,4
"245","X453C","Health","X3361V",5,4,6,6,7,6,5,158953,9
"246","L639D","Finance","Z5080X",2,3,4,3,3,4,5,64153,9
"247","Z965H","R&D","X8503X",5,4,6,7,7,5,5,57999,2
"248","R565T","Health","Y9874X",5,5,7,7,7,7,NA,54587,3
"249","V943T","Finance","Z4040W",3,2,4,4,4,4,3,55711,2
"250","Y737T","Finance","W7052V",4,2,6,6,5,4,3,80727,5
"251","W774T","Health","X3361V",1,4,2,2,2,6,5,54152,7
"252","A663R","Ethics","V5401Z",2,2,3,4,3,4,5,46012,3
"253","M972I","Finance","Z5440X",3,5,4,5,5,7,NA,47184,0
"254","S995M","R&D","X2508W",3,2,4,5,4,4,3,77012,9
"255","N633A","R&D","X8503X",5,1,6,6,7,3,NA,144281,2
"256","W845C","Ethics","W4935V",1,4,3,2,2,6,6,73310,10
"257","G295D","Finance","W7052V",4,3,6,6,6,6,5,72042,8
"258","V300Z","DSI","Y7924Z",1,1,3,2,2,2,3,58600,0
"259","L943Y","Finance","Z5440X",5,3,6,7,7,5,4,74654,9
"260","L625D","R&D","X8503X",5,3,7,6,6,5,6,52400,2
"261","O815Q","Ethics","V1748V",2,1,3,4,3,2,2,52929,1
"262","C503Z","Finance","Z4040W",1,2,2,3,3,4,4,76186,2
"263","U213X","Health","Y9874X",4,4,6,5,5,5,7,54295,0
"264","H201W","R&D","X2508W",1,3,2,3,2,4,5,143493,8
"265","Y185F","Health","Y9874X",4,2,6,5,5,4,4,53548,4
"266","Q316Q","Ethics","V5401Z",2,3,4,4,4,5,5,77986,10
"267","H699U","Finance","Z5440X",1,5,3,3,3,7,6,59911,5
"268","V528M","Ethics","V5401Z",4,5,6,6,6,6,7,99409,9
"269","P485U","R&D","V4859W",3,2,4,4,5,4,4,48445,6
"270","V454K","Finance","Z5440X",3,2,5,5,4,3,3,51938,5
"271","C315D","Ethics","V5401Z",5,1,7,7,7,2,3,125399,7
"272","W340M","Ethics","V5401Z",3,1,4,5,5,3,3,91882,0
"273","F537D","R&D","X8503X",5,3,6,6,6,5,5,82892,2
"274","G431I","Finance","V1626X",1,2,3,3,2,3,4,78375,9
"275","N970G","Ethics","W4935V",3,1,5,4,4,3,2,97856,3
"276","Z491G","Ethics","V5401Z",5,3,7,7,6,5,5,48190,6
"277","I954B","Finance","V1626X",4,5,5,5,6,6,6,73995,9
"278","V238R","R&D","X2508W",4,4,6,7,5,6,NA,139620,5
"279","A836E","Finance","Z5080X",3,1,4,5,4,3,3,50440,5
"280","P690F","R&D","X8503X",5,1,6,7,7,2,3,53335,6
"281","P909H","R&D","X2508W",4,3,5,6,4,5,5,144314,6
"282","P334F","DSI","Y7924Z",4,3,5,5,5,3,4,96077,10
"283","N739L","Health","V3988Z",5,3,7,7,6,4,5,46272,7
"284","R155E","DSI","Y7924Z",4,2,5,5,5,4,5,57939,5
"285","G134K","Health","V3988Z",1,5,3,3,1,7,7,105734,4
"286","P460L","Health","X3361V",4,3,6,6,6,5,NA,58231,6
"287","F976B","Health","Y9874X",4,2,5,5,5,4,5,47198,1
"288","D613E","Health","Y9874X",5,5,7,7,6,6,6,106950,8
"289","Q810G","Finance","W7052V",2,5,3,4,3,7,6,78430,10
"290","C230B","Finance","V1626X",5,2,6,6,6,3,NA,79605,8
"291","W745O","R&D","X2508W",1,3,3,3,2,5,5,52079,3
"292","Y122S","R&D","W6837Y",1,4,2,3,3,5,6,54711,6
"293","K301V","Ethics","V5401Z",4,3,5,5,6,4,5,48713,3
"294","W165X","DSI","I511L",4,1,6,5,6,2,0,46382,7
"295","O893U","Ethics","W4935V",1,3,2,3,3,4,5,48302,4
"296","D513V","Finance","Z4040W",3,2,5,4,4,3,4,50053,4
"297","T164M","DSI","Y7924Z",1,3,2,3,2,5,5,53720,3
"298","N622V","R&D","X8503X",2,5,4,3,4,7,6,58396,2
"299","E443D","Ethics","V5401Z",5,2,7,6,6,4,3,131267,9
"300","S513K","DSI","Y7924Z",2,5,4,3,3,6,6,46789,3
"301","W867Y","DSI","Y7924Z",3,4,4,5,4,6,5,113609,4
"302","U467Q","R&D","V4203Y",3,1,5,4,5,3,2,58689,7
"303","Z591J","Finance","Z4040W",5,2,6,5,6,3,NA,56224,0
"304","T543Q","Finance","Z5440X",5,2,7,7,6,4,4,51808,6
"305","E820M","Finance","Z4040W",4,1,6,5,5,2,2,72431,8
"306","F263W","Finance","Z4040W",2,1,4,4,4,3,2,53056,2
"307","G263J","Finance","W7052V",3,2,4,4,4,4,4,47999,0
"308","G187T","R&D","X2508W",3,5,4,5,5,6,6,58526,3
"309","U249W","Health","Y9874X",4,1,6,6,5,2,NA,67558,8
"310","S856G","Health","X3361V",5,4,7,6,7,6,6,80144,8
"311","U459X","Ethics","V1748V",4,1,5,5,6,3,3,104359,5
"312","V962K","R&D","X8503X",4,3,6,5,6,5,5,71264,10
"313","T319G","R&D","V4859W",5,5,7,7,7,6,NA,47527,5
"314","M237D","Ethics","V5401Z",2,3,4,3,3,5,5,57609,3
"315","K670W","Finance","Z5440X",3,2,5,4,4,3,4,48923,0
"316","T225O","R&D","V4203Y",5,4,7,6,6,5,NA,46930,6
"317","S497C","Finance","V1626X",1,2,2,2,4,4,4,54162,5
"318","P702T","R&D","V4203Y",1,3,2,3,3,4,4,77919,9
"319","C299A","Health","X3361V",2,3,3,3,4,5,5,163517,9
"320","N336O","Finance","Z5080X",4,1,5,5,5,2,NA,78641,9
"321","V606I","Finance","Z5080X",4,4,5,6,5,6,6,72632,10
"322","W520P","Finance","Z4040W",1,2,2,2,2,3,3,60960,5
"323","E616W","R&D","W6837Y",2,4,4,4,4,5,5,59616,6
"324","L251C","Ethics","W4935V",1,4,2,2,3,5,6,46998,7
"325","C537X","Finance","Z4040W",1,4,3,3,3,5,6,53353,5
"326","K237L","DSI","Y7924Z",3,3,4,5,4,5,4,79119,3
"327","B176J","Finance","Z4040W",3,5,4,5,5,6,7,48673,1
"328","L684C","Finance","Z4040W",1,3,2,3,3,4,5,59890,3
"329","J937Q","DSI","Y7924Z",4,3,6,6,6,5,NA,71069,8
"330","M716B","Finance","W7052V",2,5,3,3,4,5,7,105691,7
"331","I252J","R&D","V4859W",4,5,6,6,6,7,7,57586,4
"332","M545H","Ethics","V1748V",1,1,2,2,2,2,3,55126,1
"333","K549Q","DSI","Y7924Z",5,4,6,7,7,5,5,57917,3
"334","Y831M","DSI","Y7924Z",1,1,3,2,3,2,2,70375,8
"335","T703Q","Finance","W7052V",4,5,5,6,6,6,6,59664,3
"336","V171U","Finance","Z5080X",4,4,5,6,5,6,5,45580,5
"337","X249Q","Finance","V1626X",1,2,2,2,3,4,4,103037,0
"338","W641D","R&D","V4859W",3,2,4,3,5,4,4,62564,8
"339","F166T","Finance","W7052V",3,5,4,4,4,6,7,71922,10
"340","V221D","Finance","V1626X",4,2,6,6,6,5,NA,75923,9
"341","K230P","Ethics","V5401Z",1,3,3,3,3,4,5,50036,6
"342","C342A","R&D","X2508W",2,1,3,3,3,3,3,59436,1
"343","M650E","Ethics","W4935V",1,1,2,3,2,3,3,109110,7
"344","P439N","R&D","V4859W",1,5,2,3,2,7,7,46058,3
"345","H645X","Ethics","W4935V",3,3,4,4,4,4,4,52097,2
"346","W870N","R&D","X8503X",1,3,3,3,2,4,5,131911,0
"347","S119E","Health","X3361V",2,1,3,3,3,3,2,144550,1
"348","M367Q","Finance","W7052V",3,3,4,5,4,5,4,124853,2
"349","H796O","Health","X3361V",4,3,6,5,5,4,5,73575,9
"350","R930N","Finance","Z5080X",3,2,4,4,4,4,4,145618,7
"351","K253X","Finance","V1626X",3,1,5,4,5,3,2,46917,2
"352","H706V","Health","V3988Z",1,4,3,2,3,6,6,128930,10
"353","V549Z","Health","Y9874X",1,2,2,2,2,3,4,53759,6
"354","T795R","Finance","V1626X",2,5,4,4,4,7,NA,54201,7
"355","U558M","Ethics","W4935V",5,1,6,7,6,3,NA,58497,5
"356","S277X","R&D","X2508W",2,3,3,3,3,5,5,73439,8
"357","I170Y","Finance","Z5440X",3,3,5,4,5,4,3,91694,10
"358","H310D","Finance","Z5440X",5,5,7,6,6,7,7,142179,2
"359","J365V","Finance","Z4040W",5,4,7,6,6,5,NA,68274,10
"360","W214V","R&D","W6837Y",2,4,3,4,4,5,5,51717,1
"361","W705X","Finance","Z5440X",5,5,7,7,7,6,NA,53898,0
"362","U986G","R&D","W6837Y",4,1,5,6,6,2,3,49978,2
"363","F721F","Finance","Z5440X",5,3,6,6,6,5,5,57910,7
"364","O384N","DSI","Y7924Z",2,2,4,4,3,4,3,74181,8
"365","P652W","Finance","Z5080X",4,2,6,5,6,4,3,119360,8
"366","L324S","R&D","W6837Y",3,5,4,5,5,7,6,57640,7
"367","P553D","R&D","W6837Y",1,1,2,3,2,2,2,57181,4
"368","F733Q","R&D","X8503X",3,1,4,4,5,2,3,47412,6
"369","D763U","Finance","Z4040W",4,2,5,6,5,3,3,48617,6
"370","W651T","Finance","V1626X",3,4,5,4,5,5,5,71418,8
"371","M576F","R&D","W6837Y",5,3,7,7,7,4,4,104702,4
"372","D648U","Finance","V1626X",5,5,7,7,7,7,NA,145238,2
"373","N465K","Finance","Z4040W",4,1,5,5,6,3,2,107597,6
"374","B276K","R&D","W6837Y",1,1,3,2,2,2,2,47993,6
"375","N348V","Finance","V1626X",3,2,5,4,3,4,3,46840,6
"376","E344Y","Health","V3988Z",5,3,6,7,7,4,5,117421,4
"377","H717I","R&D","V4859W",1,2,2,3,4,3,4,50080,0
"378","U931A","Ethics","V1748V",4,4,5,6,5,5,6,108406,3
"379","J614G","Finance","Z4040W",4,5,6,6,5,6,6,52656,5
"380","E129K","R&D","X2508W",3,2,4,5,5,3,4,68785,9
"381","Z777O","Finance","Z4040W",2,3,3,3,3,4,5,53739,7
"382","B339G","Finance","Z5080X",2,2,3,4,4,4,4,142444,2
"383","S442B","R&D","V4203Y",1,4,3,2,3,4,7,49804,7
"384","H392G","R&D","W6837Y",3,2,5,4,5,3,3,64486,9
