"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY","describeManager"
"48","P583H","Ethics","V5401Z",5,1,6,6,6,2,3,53163,6,51,1,2,2,"c(""delightsome"", ""bold"", ""cheerful"", ""cherishable"", ""benignant"")"
"49","B523N","R&D","W6837Y",2,3,3,4,3,4,5,139026,8,54,2,3,2,"c(""amorous"", ""super"", ""bright"", ""zealous"", ""faithful"")"
"50","N272I","Health","X3361V",3,5,5,5,5,6,6,144553,5,49,2,3,1,"c(""inquisitive"", ""happier"", ""forgivable"", ""divinatory"", ""cool"")"
"51","Z769A","R&D","W6837Y",3,4,6,5,4,5,5,125717,7,27,1,3,2,"c(""lenient"", ""clear"", ""blithe"", ""offenseless"", ""honourable"")"
"52","B331M","Health","V3988Z",5,5,7,7,7,7,NA,104543,7,35,2,3,2,"c(""pressureless"", ""merrier"", ""fumeless"", ""freehold"", ""honorable"")"
"53","P111Q","Finance","Z4040W",4,3,6,6,6,5,5,72354,9,44,1,2,2,"c(""huggable"", ""intelligible"", ""satisfiable"", ""determinately"", ""innovative"")"
"54","W910F","Finance","V1626X",3,4,4,5,5,6,6,130583,10,31,2,3,1,"c(""wonderful"", ""enthusiastic"", ""benefic"", ""suave"", ""sunny"")"
"55","P716I","Finance","W7052V",5,3,7,7,6,5,NA,69791,9,49,1,1,2,"c(""welcome"", ""jolliest"", ""cutest"", ""happy"", ""prosperous"")"
"56","C382A","Finance","Z5080X",4,3,5,5,6,5,NA,75559,8,35,1,2,2,"c(""thankful"", ""perfective"", ""magnificent"", ""beneficent"", ""tenderhearted"")"
"57","A694N","Finance","Z4040W",5,3,6,6,7,5,4,73086,8,51,1,2,2,"c(""beneficiary"", ""worthwhile"", ""elegant"", ""blessed"", ""compassionate"")"
"58","Q327Z","R&D","V4859W",4,5,5,5,6,7,NA,74745,5,39,2,3,2,"c(""capable"", ""appreciatory"", ""ambivalent"", ""kindly"", ""complimentary"")"
"59","I580K","Health","Y9874X",1,4,3,3,2,5,5,58653,3,28,1,2,2,"c(""peaceable"", ""novel"", ""mandatory"", ""immune"", ""divinatory"")"
"60","W823D","Health","Y9874X",1,2,2,3,2,4,4,51044,3,55,1,1,2,"c(""accepted"", ""acceptable"", ""cutest"", ""unequaled"", ""harmonious"")"
"61","Q203J","Ethics","W4935V",3,5,4,4,5,6,6,72898,10,52,1,1,1,"c(""debonair"", ""meaningful"", ""livelier"", ""superior"", ""excitant"")"
"62","G835X","DSI","Y7924Z",5,4,7,6,6,5,NA,47003,6,32,1,1,1,"c(""awesome"", ""funniest"", ""peaceable"", ""positivism"", ""super"")"
"63","L683Z","Finance","Z5440X",2,2,4,4,3,3,4,47662,6,32,1,1,2,"c(""worthy"", ""comedic"", ""funnelform"", ""faultless"", ""respectful"")"
"64","C532P","Ethics","V1748V",3,1,4,5,4,4,2,59232,1,38,2,2,1,"c(""merriest"", ""positivism"", ""amoristic"", ""wisest"", ""divinatory"")"
"65","O965G","Finance","Z5080X",2,4,3,3,3,6,5,47202,2,49,1,1,1,"c(""wiser"", ""desirous"", ""offenseless"", ""smart"", ""jocular"")"
"66","T736U","R&D","V4203Y",4,4,6,5,6,6,5,50837,6,52,2,1,2,"c(""celebrated"", ""agog"", ""jaunty"", ""invulnerable"", ""virtuosic"")"
"67","O781F","Health","Y9874X",2,3,3,3,3,4,4,106139,7,41,2,3,1,"c(""intelligential"", ""intellectualistic"", ""trustworthy"", ""dynamic"", ""meritorious"")"
"68","G264L","R&D","V4859W",1,1,2,3,2,3,2,69653,1,54,2,3,2,"c(""smart"", ""interested"", ""clear"", ""bright"", ""enjoyable"")"
"69","U380A","Finance","Z4040W",1,4,2,1,2,6,5,78119,8,25,1,2,2,"c(""relaxant"", ""astounding"", ""like"", ""virtuosity"", ""amused"")"
"70","N340G","Ethics","V1748V",3,3,5,5,5,4,4,128769,3,42,2,3,2,"c(""alive"", ""affectional"", ""gentler"", ""ardent"", ""surprising"")"
"71","F966R","Ethics","V1748V",1,1,3,2,3,3,3,54340,3,54,2,1,2,"c(""positivist"", ""prettier"", ""interested"", ""freehand"", ""admirable"")"
"72","K705Z","Ethics","W4935V",5,3,7,6,7,6,4,58922,0,29,2,2,1,"c(""opportune"", ""special"", ""dedicated"", ""suave"", ""calm"")"
"73","M882I","R&D","V4203Y",2,1,4,4,4,2,3,75500,8,54,1,1,1,"c(""wised"", ""poised"", ""daring"", ""impressionistic"", ""picturesque"")"
"74","S356D","Finance","Z4040W",3,1,4,4,5,3,NA,69639,0,40,1,3,2,"c(""decisive"", ""careful"", ""impressive"", ""happiest"", ""agog"")"
"75","I744R","Finance","Z5440X",1,4,3,2,2,5,5,85753,10,49,2,3,2,"c(""cute"", ""trustful"", ""intelligent"", ""decisive"", ""lucky"")"
"76","R522U","Finance","V1626X",1,3,3,3,4,4,4,49826,0,51,1,1,1,"c(""tolerant"", ""carefree"", ""appreciatory"", ""convivial"", ""calmative"")"
"77","A437B","R&D","X8503X",3,1,5,5,5,3,3,47712,4,25,1,1,2,"c(""wise"", ""joyous"", ""determinative"", ""wiser"", ""truer"")"
"78","U158Z","Finance","Z4040W",2,5,4,3,4,7,NA,105567,6,38,2,3,2,"c(""bravest"", ""elegant"", ""appreciatory"", ""unbelievable"", ""lively"")"
"79","P553F","Ethics","V1748V",4,3,6,6,5,5,5,47736,1,41,1,1,2,"c(""hurtless"", ""livelong"", ""lovable"", ""defensible"", ""jolliest"")"
"80","Z275A","R&D","W6837Y",1,5,3,2,2,6,7,79291,4,35,2,3,2,"c(""lenient"", ""jubilant"", ""visionary"", ""methodical"", ""reliant"")"
"81","O691R","R&D","X8503X",1,2,3,2,3,3,3,76392,9,28,1,2,2,"c(""wisest"", ""fervid"", ""free"", ""amoristic"", ""influential"")"
"82","P839A","Ethics","V5401Z",5,4,7,6,6,6,5,54043,2,27,2,2,1,"c(""casual"", ""lovable"", ""responsive"", ""beautiful"", ""pleasurable"")"
"83","H946W","R&D","V4859W",5,1,6,6,6,2,3,65175,8,53,2,1,2,"c(""magnific"", ""foolproof"", ""resolvable"", ""cherishable"", ""genial"")"
"84","B812C","R&D","V4859W",1,5,3,2,3,7,6,48015,4,35,2,1,2,"c(""smug"", ""perfectible"", ""humorous"", ""champion"", ""idealist"")"
"85","M212O","R&D","X8503X",1,5,3,2,3,6,7,56113,1,40,1,2,2,"c(""passional"", ""confident"", ""friended"", ""smug"", ""glamorous"")"
"86","Q749K","Finance","V1626X",2,2,3,3,4,4,4,67022,5,35,1,3,2,"c(""clean"", ""greater"", ""lenient"", ""benignant"", ""huggable"")"
"87","R467Y","R&D","X2508W",3,3,4,4,4,4,4,45140,1,48,2,1,2,"c(""successive"", ""dynamic"", ""cheerful"", ""united"", ""cheery"")"
"88","Y510M","R&D","X8503X",3,1,4,4,4,2,2,84352,6,51,2,3,2,"c(""kind"", ""free"", ""freethinking"", ""calmative"", ""brisk"")"
"89","H582D","Finance","Z5440X",2,2,4,3,3,4,4,52693,6,52,1,1,1,"c(""special"", ""happier"", ""triumphant"", ""appreciatory"", ""beauteous"")"
"90","J836U","DSI","Y7924Z",4,1,6,6,6,2,3,54069,0,49,2,1,1,"c(""great"", ""precious"", ""secure"", ""creative"", ""lovely"")"
"91","C993P","R&D","X8503X",1,5,3,2,2,6,6,48435,3,29,2,1,2,"c(""likeable"", ""amoroso"", ""dedicated"", ""dynamic"", ""casual"")"
"92","S109W","R&D","X8503X",4,4,6,6,6,5,NA,51089,3,51,1,1,2,"c(""idealistic"", ""brilliant"", ""nicest"", ""delectable"", ""gracious"")"
"93","L400F","Ethics","V5401Z",2,4,4,4,3,6,6,65029,3,38,1,3,2,"c(""solid"", ""rapturous"", ""smarty"", ""comedic"", ""urgent"")"
"94","C655F","R&D","V4203Y",1,1,3,3,2,3,3,123431,2,34,2,3,2,"c(""amortizable"", ""responsible"", ""praiseworthy"", ""easy"", ""keen"")"
"95","J423I","R&D","W6837Y",3,5,4,6,4,7,7,59034,5,23,2,2,2,"c(""worthy"", ""advantageous"", ""creditable"", ""resolvable"", ""determinately"")"
"96","U728N","R&D","V4203Y",4,3,7,5,5,4,4,59069,1,29,2,2,1,"c(""invulnerable"", ""legal"", ""prettied"", ""worthwhile"", ""perfectionist"")"
"97","M925Y","R&D","X8503X",1,1,3,2,2,2,2,58210,2,28,1,2,2,"c(""immortal"", ""wealthiest"", ""invulnerable"", ""kissable"", ""heartwarming"")"
"98","M207R","Finance","Z5440X",1,5,2,3,3,7,7,50158,5,27,1,1,2,"c(""faithful"", ""excitable"", ""loyal"", ""freebie"", ""flexible"")"
"99","O159N","Finance","W7052V",4,5,5,5,6,7,6,49418,5,42,1,1,2,"c(""easygoing"", ""assured"", ""incentive"", ""convincing"", ""fabulous"")"
"100","Z858C","Health","X3361V",4,3,6,4,6,5,NA,52226,1,40,2,1,2,"c(""innocent"", ""agreeable"", ""appreciatory"", ""amazed"", ""cheerly"")"
"101","G806A","R&D","V4859W",1,5,3,2,2,7,7,149055,5,38,2,3,2,"c(""secure"", ""consolable"", ""funny"", ""special"", ""optimal"")"
"102","N611D","R&D","X2508W",4,1,5,6,5,2,NA,55422,7,49,2,2,2,"c(""gracious"", ""enjoyable"", ""worthwhile"", ""amusive"", ""emotional"")"
"103","A866O","Ethics","V1748V",3,1,4,4,4,3,3,68557,5,30,2,3,1,"c(""painless"", ""doubtless"", ""complimentary"", ""passionate"", ""jubilant"")"
"104","T690J","R&D","V4203Y",1,4,3,3,2,5,6,83569,8,48,2,3,2,"c(""marvelous"", ""honourable"", ""dignified"", ""honorific"", ""amortizable"")"
"105","E119J","Health","V3988Z",4,1,6,5,5,3,2,102154,5,31,2,3,2,"c(""enterprising"", ""impressionistic"", ""splendiferous"", ""harmonic"", ""prepared"")"
"106","D498G","DSI","Y7924Z",1,2,3,3,2,3,3,47063,6,34,1,1,1,"c(""grateful"", ""luckiest"", ""humoristic"", ""wealthy"", ""satisfied"")"
"107","I591D","R&D","X8503X",4,4,5,6,6,5,7,52369,7,48,2,1,1,"c(""winnable"", ""hardy"", ""desirable"", ""doubtless"", ""solid"")"
"108","R513P","R&D","X8503X",5,4,6,6,6,6,6,53725,7,29,1,2,2,"c(""healthy"", ""alive"", ""gentler"", ""kissable"", ""strongish"")"
"109","Q465T","R&D","V4859W",3,4,5,4,4,6,6,75315,8,37,1,1,2,"c(""sophisticated"", ""terrorless"", ""fabulous"", ""idealistic"", ""intact"")"
"110","H433I","Finance","Z4040W",1,3,2,3,2,5,5,88200,2,47,2,3,2,"c(""intelligent"", ""fair"", ""excited"", ""helpful"", ""honest"")"
"111","J288J","Finance","Z4040W",4,1,7,6,5,2,2,52883,2,52,1,1,2,"c(""wonderful"", ""freeing"", ""warm"", ""consolable"", ""safe"")"
"112","Q596E","R&D","W6837Y",3,2,4,5,4,3,3,51821,5,50,2,1,2,"c(""welcome"", ""positivism"", ""useful"", ""peaceable"", ""loving"")"
"113","V621N","Finance","Z5440X",5,1,7,7,6,3,2,78070,8,41,2,2,2,"c(""mirthful"", ""perfectible"", ""alive"", ""sunshiny"", ""comfortable"")"
"114","W901F","Health","Y9874X",4,2,5,5,6,5,3,45685,2,37,2,1,1,"c(""astounding"", ""natural"", ""advanced"", ""acceptant"", ""troubleshooter"")"
"115","S610M","Finance","V1626X",2,3,4,4,3,4,5,69134,9,49,1,1,2,"c(""nice"", ""brilliant"", ""marvelous"", ""relievable"", ""beatific"")"
"116","C365F","Finance","Z5080X",5,3,6,7,7,4,4,53204,3,33,1,1,1,"c(""ethical"", ""determined"", ""jolliest"", ""worthy"", ""adequate"")"
"117","D230N","Ethics","V1748V",4,1,6,6,5,3,2,54475,1,25,2,2,2,"c(""harmonic"", ""peaceful"", ""like"", ""darling"", ""casual"")"
"118","Q606G","R&D","V4859W",4,3,7,5,6,4,4,79637,4,41,2,3,2,"c(""poised"", ""surer"", ""divinatory"", ""libertarian"", ""freewheeling"")"
"119","I476Y","R&D","W6837Y",4,2,5,5,5,3,4,97506,7,46,2,3,2,"c(""amazed"", ""invulnerable"", ""visionary"", ""important"", ""desirous"")"
"120","R371K","Finance","W7052V",3,4,5,5,4,6,6,166780,9,33,2,3,1,"c(""magnificent"", ""freewheeling"", ""graceful"", ""lucky"", ""triumphant"")"
"121","Z751K","Health","Y9874X",4,1,5,6,5,3,3,46235,5,34,1,1,2,"c(""wiser"", ""gracious"", ""accepted"", ""dear"", ""blameless"")"
"122","Y233P","Finance","V1626X",5,3,6,6,6,4,4,93826,9,55,2,3,2,"c(""outstanding"", ""okay"", ""acceptable"", ""novel"", ""fab"")"
"123","X203R","R&D","X2508W",1,3,2,2,3,5,5,103548,10,52,2,3,2,"c(""splendrous"", ""impressible"", ""giggly"", ""benefic"", ""creditable"")"
"124","C135G","Finance","Z4040W",3,2,4,4,5,3,4,45028,6,49,2,1,2,"c(""free"", ""dynamistic"", ""adorable"", ""flawless"", ""pretty"")"
"125","N363W","Finance","W7052V",5,1,6,6,5,2,2,48141,6,40,1,1,2,"c(""libertarian"", ""substantial"", ""trustworthy"", ""methodical"", ""strong"")"
"126","V285G","R&D","X8503X",2,3,3,3,3,5,5,47200,0,33,1,1,2,"c(""nicer"", ""adventuresome"", ""natural"", ""cool"", ""euphoric"")"
"127","T583Z","DSI","Y7924Z",1,1,3,2,3,3,2,59206,0,28,2,2,2,"c(""party"", ""vigilant"", ""carefree"", ""gleeful"", ""awesome"")"
"128","O569U","Finance","V1626X",1,2,3,3,4,3,4,47253,1,45,2,1,2,"c(""sympathetic"", ""charitable"", ""welcome"", ""beatific"", ""surest"")"
"129","W378W","Health","Y9874X",2,1,3,3,3,2,2,56196,0,30,2,2,2,"c(""gratifying"", ""flirtatious"", ""easy"", ""delightsome"", ""respective"")"
"130","C625Y","Health","Y9874X",4,5,5,6,6,6,NA,56449,3,53,2,2,2,"c(""pressureless"", ""relaxer"", ""wise"", ""challenging"", ""self-confident"")"
"131","N898J","Finance","Z5440X",1,3,3,2,3,6,5,70738,6,44,2,3,2,"c(""decisive"", ""superior"", ""likeable"", ""virtuous"", ""splendrous"")"
"132","J164K","Finance","Z5080X",1,1,3,3,3,2,2,54078,4,54,1,1,1,"c(""assured"", ""super"", ""vested"", ""peaceful"", ""terrific"")"
"133","S840N","Finance","Z4040W",3,4,5,4,4,5,4,70460,10,28,2,1,2,"c(""dauntless"", ""generous"", ""influential"", ""elegant"", ""hurtless"")"
"134","C250X","Health","X3361V",4,3,5,5,6,5,5,48078,7,42,2,1,2,"c(""perfectionistic"", ""unbelievable"", ""competitive"", ""amused"", ""triumphant"")"
"135","A688J","Health","Y9874X",2,1,3,3,3,2,3,65097,7,22,1,3,2,"c(""superior"", ""courageous"", ""resolved"", ""awesome"", ""grand"")"
"136","B915E","Finance","W7052V",1,4,2,2,2,6,4,46019,1,49,1,1,2,"c(""vested"", ""solid"", ""freewill"", ""assured"", ""isolationism"")"
"137","F160B","R&D","W6837Y",2,5,3,4,3,6,7,130670,7,38,2,3,1,"c(""best"", ""urgent"", ""romantic"", ""zealous"", ""smarty"")"
"138","M671F","Health","Y9874X",3,4,5,4,4,7,6,56756,2,23,1,2,1,"c(""merry"", ""champy"", ""powerful"", ""casual"", ""romance"")"
"139","F634Q","R&D","W6837Y",1,2,3,3,3,4,4,50372,3,52,1,1,2,"c(""terrific"", ""considerate"", ""gorgeous"", ""calmative"", ""celebrated"")"
"140","F293M","Health","V3988Z",5,3,7,6,6,4,5,53677,6,45,2,2,2,"c(""sprightly"", ""optimal"", ""stout"", ""doubtless"", ""palatable"")"
"141","Z310P","Health","Y9874X",3,1,5,4,4,2,2,47751,4,44,2,1,2,"c(""picturesque"", ""advanced"", ""merry"", ""gorgeous"", ""convincing"")"
"142","Y659U","Health","Y9874X",2,2,4,3,3,3,4,49514,6,55,2,1,2,"c(""stout"", ""merited"", ""handsome"", ""warm"", ""glorious"")"
"143","N305D","R&D","V4859W",5,1,7,7,7,3,3,78630,9,49,2,2,2,"c(""freethinker"", ""bold"", ""benefic"", ""cheerier"", ""better"")"
"144","A224O","DSI","Y7924Z",1,3,3,3,3,5,5,67487,8,22,1,1,2,"c(""adventuresome"", ""happiest"", ""ambivalent"", ""freehand"", ""welcome"")"
"145","L852M","Finance","Z4040W",4,1,5,5,6,3,2,55932,5,47,1,2,2,"c(""avid"", ""freeing"", ""amazed"", ""fresh"", ""complimentary"")"
"146","P831I","R&D","V4203Y",1,1,3,2,3,3,NA,49147,6,50,1,1,2,"c(""scrumptious"", ""invulnerable"", ""inspiratory"", ""jolly"", ""indestructible"")"
"147","M800M","Finance","Z4040W",3,5,5,5,5,6,7,55589,6,27,2,2,2,"c(""wonderful"", ""heroic"", ""wealthy"", ""self-confident"", ""pretty"")"
"148","Q347N","Health","X3361V",3,4,4,5,5,6,5,45255,6,36,1,1,2,"c(""brisk"", ""sunny"", ""vital"", ""fantastic"", ""divinatory"")"
"149","D469A","Finance","Z5440X",1,1,2,3,2,2,2,53417,0,44,1,2,2,"c(""natural"", ""compassionate"", ""excitant"", ""great"", ""surprising"")"
"150","Z895X","Finance","Z4040W",5,2,6,6,6,4,3,137833,4,50,2,3,2,"c(""intelligible"", ""radiant"", ""inviting"", ""prosperous"", ""dynamic"")"
"151","S386Y","Health","V3988Z",4,5,6,6,6,7,NA,116823,1,32,1,3,2,"c(""wealthy"", ""vested"", ""freeborn"", ""funny"", ""grand"")"
"152","R956O","Ethics","V1748V",1,2,3,3,3,3,3,58099,2,31,2,2,1,"c(""fabulous"", ""satisfiable"", ""spirited"", ""likeable"", ""smarty"")"
"153","D385Q","R&D","X8503X",2,1,2,3,4,2,2,47115,1,33,1,1,2,"c(""agreed"", ""desired"", ""easiest"", ""thrilling"", ""excitable"")"
"154","D350R","Ethics","V1748V",1,2,2,3,2,3,4,136205,2,41,2,3,2,"c(""giggly"", ""troubleshooter"", ""privileged"", ""prettier"", ""freer"")"
"155","C804M","R&D","V4859W",4,2,5,6,5,3,3,53477,5,28,1,2,2,"c(""friended"", ""bold"", ""honour"", ""divinatory"", ""hurtless"")"
"156","K690H","R&D","X8503X",5,3,7,7,6,5,5,111167,2,39,2,3,2,"c(""happiest"", ""handsomer"", ""resolvent"", ""romantic"", ""wealthy"")"
"157","P530X","Finance","Z5440X",3,5,4,5,4,7,7,109222,0,42,2,3,2,"c(""optimal"", ""untarnished"", ""helpful"", ""glamorous"", ""keen"")"
"158","W682H","Finance","Z5080X",1,1,3,2,3,3,2,95808,3,39,2,3,2,"c(""vigilant"", ""assurgent"", ""elated"", ""liveliest"", ""freehand"")"
"159","G561K","R&D","X8503X",3,2,5,4,5,3,3,54921,5,24,1,2,1,"c(""playful"", ""mandatory"", ""nicer"", ""carefree"", ""surer"")"
"160","I233N","R&D","X2508W",2,3,4,4,3,5,4,53605,1,48,1,1,2,"c(""innocent"", ""excitative"", ""bright"", ""ardent"", ""sunshiny"")"
"161","U125U","Finance","Z5080X",2,5,4,4,4,7,6,47712,2,22,2,1,2,"c(""successful"", ""virtuosic"", ""brilliant"", ""doubtless"", ""engaged"")"
"162","G157V","Ethics","W4935V",1,1,2,3,2,3,3,58256,4,23,2,2,2,"c(""peaceful"", ""self-confident"", ""hardy"", ""freest"", ""huggable"")"
"163","G752V","R&D","V4859W",5,5,6,7,6,6,NA,59020,1,29,2,2,2,"c(""urgent"", ""brave"", ""fresh"", ""resolute"", ""medal"")"
"164","U985F","Finance","Z4040W",3,2,5,4,4,4,3,54817,5,52,2,2,2,"c(""vigoroso"", ""dedicated"", ""sprightly"", ""determinable"", ""freer"")"
