"X","review","id"
11,"Enviroments, salary, knowledge and finance experience Presure, long hours, speciality needed High salary and good enviroment","J920O"
12,"Terrific Construction Company to work for if you are serious about that line of work. You will lose that job faster than you got it if you take it for granted. Keep up up the good work guys!","O984I"
13,"Opportunities to work abroad, good people and growth prospects, can make good progress if you connect with the right people Low morale due to high staff turnover, not much reward for working the extra mile, not the most incentivised environment NA","F604E"
14,"REDACTED was built on family values and where guest service and hospitality are the primary focus. The owners are passionate operators, very business oriented, and have strategic partnerships with many brands and 3rd parties. The company operates extremely tight and the owners tend to be very risk-averse. NA","Y348J"
15,"Everyone at SPMC is friendly and professional. They take their jobs very seriously, but seem to really enjoy what they do and who they do it with! I really do not have anything to say about this business. Everyone at SPMC was helpful, kind, and a privilege to work with. Work on phone efficiency. It was sometimes hard to get ahold of the main office.","P595S"
16,"Nothing. At least I can say I've been to Chicago now. Every ""lead"" they send you has been called many times before. They send you on appointments that do not exist. They lie to their prospects, they lie to you, they even lie to each other in the home office. If you don't mind being lied to and being instructed to lie to prospects, then by all means, jump right in and apply. Close the doors. Honest, upstanding people do not do business this way.","Z508S"
17,"The overall compensation package is very competitive. The firm made some excellent strategic decisions to remain afloat in a very difficult environment. The work is pretty interesting, and the people are awesome. Some of the great things about the firm are the accessibilty of partners and knowledge capital. They often talk about maintaining work-life balance. The fact is, there is no such thing. In order to over-deliver at the client and work on side projects(which you must do to get promoted), many colleagues end up putting in 100+ hours a week.The also talk about REDACTED being a transparent firm, I found this to not be the case either from partner leads (regarding my performance) or from leadership (regarding certain strategic decisions). Please practice what you preech regarding transparency.","O649Q"
18,"Nice officesGood end of year partiesGood employee benefits Very target drivenMicro management even of senior staffLack of direction form directors Stop micro managing people. Demanding to read emails and word smithing them is totally unnecessary. Give people at all levels enough slack to make their own successes or mistakes and learn from them, rather than trying to manage every aspect of peoples jobs.Selling a search recruitment method at contingent prices is not the way to make the business succeed.When bringing new people in to the business to set up new business areas, make sure there is a market for it with some due diligence rather than guess work","D918A"
19,"The management and staff have always been supportive of my choice to further my education and have helped me do so affordably. Depending on the department you work in, the workload can slow way down during certain times of the year. NA","X269R"
20,"Flexible hours and vacation, food stocked, occasional company lunches or events. Friendly coworkers willing to help you as long as you can carry on your own too. Company will encourage and pay for certifications. Direction of the company is aimless as priorities shift or reverse course frequently. Culture is poisoned with negative attitudes and compromises of core values. Personal growth opportunities become limited after a while. Management is slow to react and has trouble understanding how people feel about work stresses. There is minimal focus on intangibles when evaluating employees. You must find a way to be more proactive and forward thinking and less reactive.Get a clearer vision for the company. When you try to be everything for every customer, and bend over backwards/change company processes/priorities at a whim to do so, you sacrifice true excellence and end up with confusion and mediocre work.The CEO must be more trusting of his team, their abilities, and experience, and be more clear and consistent in his expectations. Ultimately, he should be more willing to take more chances with letting his team take the lead in an area instead of trying to personally micromanage all areas.","P298G"
21,"Travel. Manager that you actually work under for SEI, is great. Low pay for the amount of work they want you to do. Hiring Manager for REDACTED Fossil Services does not want to pay a good hourly rate. They do not give yearly raises. 100 % travel. Start treating the temporary outage workers better. Give them raises and open up some seasonal jobs.","Q920T"
22,"* Progressive firm that is on the cutting edge of healthcare* Bright people at all levels of the organization* Elite client list* Willingness to invest in new capabilities* Market-competitive pay* True meritocracy* Strong leadership team that takes feedback to heart * Rapid growth has eroded/negatively influenced the culture of the firm* Complicated bonus structure that doesn't necessarily incentivize desired behaviors and collaboration across practices * Remain true to core values upon which the firm was built* Stop dumping so many administrative responsibilities on Senior Managers - we're consultants first and foremost","K219L"
23,"earn loads of money if you are willing to work hard work long hours, management can put high levels of pressure dont force people to stay late","W572C"
24,"The people at REDACTED are mostly bright and talented. You are able to work on diverse projects and learn a lot about the industry. The client deliverable quality factor at REDACTED is outstanding. There is opportunity for fast promotion if you are able to sell. The company has been successful and is looking to continue to grow. The culture is still very ""old boys' club"" with a big focus on billable hours versus building an internal community/collegiality. Minimal work life balance, but that is to be expected from a service/client based industry. Continue to work on building the culture to stem some of the churn.","P292D"
25,"Good entry level administrative position for an internship or out of high-school. Lots of odd jobs and store runs. But not bad if you don't mind that. NA","V199I"
26,"Good atmosphere with a lot of freedom to learn and grow Freedom comes with a lot of responsibilities which the employees might fail to appreciate. NA","O699Q"
27,"Able to recruit from top firms and build smart teams that are very capable and sell cool projects Terrible paternalistic, ultra conservative culture. Expectation that you bill 100% of your time except for your paid time off while also producing marketing material, writing articles, meeting new clients, and selling work. Most other firms recognize that you have to reduce the amount of billable time when you increase expectations in other areas. Really poor leadership and communication as evidenced by the recent overnight dismissal of the marketing department or laying off 25 kurt salmon employees after making public announcements denying that it was happening. What was an old boys club culture that felt like an abusive law firm from the 80s has gotten even worse. Salary and benefits are not competitive. Leadership asks employees to post comments on social media about what a great place to work it is without actually doing anything to make it a better place to work. Actually, while taking actions that make it a significantly worse place to work. There used to be a big company retreat that everyone loved - the one fun thing we did every year! But leaders canceled it because it meant employees weren't billing clients those 2 days and they couldn't tolerate that. At my last job, the company gave us sweatshirts and mugs with corporate logos on it - free advertising for them, right? REDACTED has a store where you have to go buy the corporate sweatpants if you want them. Easily expect to work 12 hour days, often more. Remember that your employees are human beings and not profit widgets. Many of the decisions about how much employees should be working, how much you should pay them, what their benefits should be are very outdated, not competitive, and make leaders seem cheap.","K944D"
28,"The people in the company are great and there is a challenging range of projects to work on. The salary is not as competitive as other companies and benefits are not brilliant e.g. CH2MHill offer private health care with Bupa Invest in IT, new laptops and VPNs rather than Citrix. Need more dedicated business development personnel in Ireland.","Q312G"
29,"The core of the business could be good, unfortunately led by a senior management team that none of the staff trust.Flexible working practices, although more of a consequence of your line management than the company. Some good experienced staff rapidly being lost as they find better opportunities elsewhere.Terrible training opportunities, no payrise or benefits in 5 years. Degraded skills. Dont expect promotion even if you work hard.Dodgy senior management buy-out of the shareholders, staff lost money in our own company while the senior management benefitted. If Mr Rumbles had walked into a presentation I think he would get heckled thats how much people within the company view him and have confidence in his leadership. Consequently, not seen much of him.Poor progression and morale is bad. Again, senior management do not seem to care, as long as they can get the business to a state before they started to meddle they end up benefiting anyway, hence why do they care?Morale generally rock bottom, some of the people are fantastic though.Sadly I will leave once right position comes up as current pay levels around Â£8k under equivalent in area. Resign and let others rebuild the trust and brand identity with staff and businesses.","O731D"
30,"Fast growing company.Huge potential.Great client portfolio. Low payment. No benefits. No compensation. The company values must be more present and encouraged within the company.","O544V"
31,"Good place to work , good compensation. Pressure of work is high NA","X278H"
32,"A great place to work! A family type atmosphere with great rewards for hard work. If youÂ<U+0092>re motivated you will succeed at this company.- Great benefits-Bonus program-Company outings Not many come to mind NA","U271G"
33,"The work can be quite challenging and therefore very interesting. Some of the software engineers are very good at mentoring junior developers. There is an extremely high turn over rate, at all levels, Senior Management, Software Engineers, HR and FSO. On-boarding is very disorganized and paperwork is lost or misplaced (including very sensitive personal information).Salary and benefits are mediocre given the volume of work individuals are expected to carry. There is no career growth, when openings occur, people are hired from external sources. There are a few senior engineers who are expected to mentor many junior engineers while maintaining a heavy workload, this leads to no work\life balance. People are expected to work many hours (more than 80 a week in some cases) and not always record these to maintain profit margins.Several senior managers have never supervised anyone and are placed into these positions without any training. This has led to quite a bit of tension between engineers and program managers. Several micro-manage while others are completely hands-off, there is needs to be more of middle of the road approach so engineers have consistency across projects. Hire an outside consulting firm, that is non-biased, to evaluate better management techniques and ways to improve morale and reduce the turn-over rate.","V190W"
34,"Meeting great people within the communities. No training for new team members, no management support. Provide training for managers/hire managers with previous managerial experience. Have management that supports their staff. Impliment a training plan for new hires. Have more staff to allow for work life balance.","P713D"
35,"Alot of skills are learned Non at this time its nice Neep2 it up","D612F"
36,"Wide range of work environments, lots to learn. Get to see how buildings are run and you get a look behind the scenes. Sites are run very different from one another, so it's rather difficult to switch and transfer between sites. NA","A392M"
37,"Professional approch in the crisis Too professional regular training for the low level team NREDACTED","M452T"
38,"Tolle AtmosphÃ¤re, interessante Projekte, Gehalt passt Langlaufende Projekte, hoher Churn bei Kollegen NA","Z591L"
39,"I get to enjoy a great working environment with great residents. I have a healthy relationship with my boss and really enjoy my career with AMC. I have been trusted to travel with AMC to open a new acquisition which was fulfilling and rewarding and fun! I would recommend AMC LLC to all of my friends in the Property Management field. Some might find the amount of reporting to be heavy; however, I tend to excel at those kinds of job responsibilities. N/A","F850G"
40,"Owner has no experience in the janitor position neither in working with more people Bad communication skills from the owner Need to improve, in all items,need to learn to respect co-workers","F448U"
41,"1 - Nice work environment2 - Good benefits package (health insurance .... etc)3 - Diverse4 - Stability5 - Small teams Lack of long term software products Technical leadership","R113O"
42,"In the contemporary where finding a good job has become one of the most challenging tasks, REDACTED acted as a guiding star for me and I was offered with the best job offers. No Cons with morgenall.com Now I work in a trusted company and I am quite satisfied. Thanks to REDACTED. Everything is fine at morgenall. Now I work in a trusted company and I am quite satisfied. Thanks to REDACTED.","Z239I"
43,"1. Opportunities to take ownership and grow within the company.2. Well selected crowd of smart consultants and professional without ego issues - strong focus on company spirit3. Growing company in an expanding landscape; very good outlook and possibilities. 1. Potentially long engagements2. Tendency to be inflexible and overly conservative internally, with some areas in the company unaware of the shifts and market dynamics Do not be afraid to look ahead","H885W"
44,"Good for beginners not more than that Cons are not much only their is bond for 2 years no growth in term of knowledgeAs usual prob with salary NA","I242N"
45,"There are some good, dedicated people who deliver despite everything. REDACTED is weighed down by archaic systems and software and doesn't really offer a differentiator to the market.Finance rules everything which is understandable to some extent, but it should be tempered by the realisation of what REDACTED is supposed to be there for. There are a lot of people who have all but given up and are sick of living in a world of instability and initiatives Do something decisive and then stick to it.Consulttations and initiatives have their place but you can have too much of a good thing.REDACTED used to have a good name as a civil engineering consultancy. Now we are a just about OK one","Z380H"
46,"Used to be a great place to work for. Since the takeover through REDACTED a few year back, the company has lost its way and become just an extended arm of the mega-outsourcing behemoth that is REDACTED. In fact, the name ""Lodestone"" is already gone, and the company is now only called ""REDACTED Consulting"".When I joined, I asked whether the culture would change from its European roots, and the partner said that the consulting branch would always be treated differently from the main AMS and Development departments. Well, that partner is now gone, together with most of the other good people that used to work there. Most of the former Lodestone senior leadership is gone, too. Administration and IT was successively moved to India, with disastrous results for productivity and efficiency of basic functions like invoicing and timesheet management. Bit by bit, ridiculous kindergarten rules were introduced with regards to procedures and processes. Those may be required to keep fresh-grads in India under control but are totally useless and insulting to senior consulting staff. Finally, performance reviews were slowly changed towards rewarding the ""appearance of effort"" (such as spending long times in the office or doing cherry-picked jobs for the boss instead of real project work or helping colleagues). That means that even if you worked off your butt for a client, you might just end up in the middle of the bell curve and score an ""average"" final performance result, with accordingly negative effects on your bonus and promotion chances.Conclusion: If you like micromanagement, byzantine processes, inefficiencies, and cronyism, this might be a good place to work at now. But if you were looking for management and IT consulting excellence, a relaxed European mindset that rewards responsibility and client-focused work, stay away. Speaking to people who have recently left or are still working there, morale among ex-Lodestone folks has slowly reached rock bottom. Return to the roots of what made Lodestone a globally successful company and respected name. But I think management is actually fully committed to the cultural shift occurring there, so such advice is rather futile.","D558Z"
47,"Great woking environment. Everyone is friendly and accepting. I always feel like i am able to work well with everyone! REDACTED is a good place to progress your career. Theres a good structure for progression and there are people along the way to guide you. The benefits for workers is pretty good, plenty of oppourtunities and options. None i can think off right now. N/A","Q624A"
48,"Good work/life balanceFlexibility in remote workingSmall shop where everybody knows each otherVery capable and knowledgeable professionals Fllat organization offers almost no growth opportunitiesSalaries are lower when compared to banks in the industryLack of decision making ability from managementStrategy dictated by other divisions in the companyNot enough recognition of US employees compared to the European colleaguesToo many delegates from Europe and none from the USLack of international exposure from management brings skepticism in oeprating outside the USAwful office location Have a clear strategy on where to direct the company","I473H"
49,"- Dedication to community residents and employees- Quick growth opportunities- Appreciation events for employees- Company events for employees Not very formal with hiring, paperwork, or forms Continue the employee value system, innovations and dedication to the associations you manage. That is the key.","L279F"
50,"lax management , a lot of friendly coworkers.Good place to start out, but don't stick around too long.Cozy small company atmosphere, you're not a number This company mainly operates on getting talented people, paying them little with promises of greater things if they work really hard. And then you'll find yourself working really hard year after year with little reward, only to see the CEO buy himself a bigger yacht or the CTO take longer and more lavish vacations. Reward those that provide solid work for your company.Don't try to keep good employees down. If you want to keep good employees at least pay average market value.","I449L"
51,"Great people and office culture Not enough dissemination of information from management Share your strategies more.","L539X"
52,"Good firm if you want to focus on Supply Chain Operations. You get experience in running the operations of companies especially the Program Management aspects of it. Also it is a very open firm with easy access to Partners. I met some truly exceptional consultants. Lack of name recognition. During client engagements, most employees had not heard about REDACTED. In many instances client employees asked whether it was a contracting firm. REDACTED is notorious for lack of organized training. If you are lucky enough to be on a good project with an experienced Partner you will learn a lot. It was very difficult for me to find previous work or intellectual property I could leverage for client work. As a result, I had to rely on the web or reinvent again. I didn't see a lot of fresh thinking or truly ground breaking intellectual capital come out of the firm. That may be a result of the culture where every Partner is so focused on client delivery that true intellectual property is not developed. I saw come proposals that used material from proposals developed 10-15 years ago. Focus on training and skills development of consultants.","U339N"
53,"Powerful brand, excellent sectoral and functional knowledge Global coverage is stronger in some industries than others NA","X368K"
54,"Owner of the company was really vested in the employees well being. Scope of work was to much for the inexperienced leadership in place at the time. Everyone had the best intentions, but was in over their heads. I think given time, everything would have worked out to better results. NA","H639N"
55,"REDACTED Management Consultants is a stable and rapidly growing organization with a footprint in all three areas of ERP, EIM and ECM.Now comprised of consultants gathered from few of the best consulting organizations around the globe, it brings a lot of value and experience to the customers as well as internal to the organization. The senior management are experienced serving in the services industry for over 20 years and they value relationships built with customers and employees above anything else. Need to be more proactive in their adoption of new technologies. NA","O533O"
56,"For starters, I spent nine long and personally fulfilling years at REDACTED. The exposure, learning and opportunities provided were invaluable. REDACTED provides its employees an opportunity to work across diverse industries and sectors, across its full practice offering and provides opportunity for travel and project work across multiple countries. It also grooms and provides exposure for client interaction at CEO and Board level. All of this truly broadens one's perspective and is immensely enriching and satisfying. Personally, I was provided an opportunity to execute projects across 15 countries over my nine years at REDACTED and have gained knowledge, exposure and expertise across diverse sectors such as Energy, Manufacturing, Retail, Real Estate, Education, BFSI and Government to name just a few. Another very strong plus of REDACTED is that one cannot ever be part of an organization that is as apolitical as REDACTED is. One of the reasons is that employee growth and rewards are based on pure meritocracy in the organization. Also, REDACTED has an open and transparent culture with everyone on first name basis and no barriers of communication across hierarchical levels. All in all a super place to work for those with a good mind and a passion for learning. No negatives in particular. Like any other consulting firm, REDACTED is not for those seeking a 9-5 job nor for those averse to travel. Many ex-employees have gained tremendously from REDACTED and have reached great heights in their professional careers. Forming an alumni association to get them on a common platform would be a great idea.","T921J"
57,"Good company to learn HR Recruitment No Growth and Bossy environement List is too Long.","O485G"
58,"Nice people that care about customers Not much in raise or benefits Be more hands on and up front","V311Y"
59,"SalaryManagementLeadership Training and ability to openly express opinions.Ethical principals that the company operates and had employees follow.Commitment to servicing the needs of the client over the wants and or needs of the company. Office locationIndustry, originally formed for government contracting but funding has diminished.Quiet office area allows for productive outflow but the area lacks high-speed internet. Love the flexible leave policy","L722Q"
60,"1. Quality of Work2. Colleagues have been extremely helpful Agree with all the negative reviews mentioned below. The company is all about lies, lies and more lies. Staff across all levels are treated with utter disrespect. The so called stories of growing from Associate to Director level is limited to just 1 person and everyone at REDACTED knows that happened. So called claims of having offices around the world and 500 staff are pure plain lies. If the Asian Banker gets to know the facts, the awards will be scrapped! Please pay employees what they deserve","G508T"
61,"Lots of benefits, awesome group of people. Merged to PwC 4 years ago. Not the same any more. NA","P929M"
62,"Good down to earth people all trying their best to get along and work together. I've worked at much larger companies and also at tiny start ups, I can say for its size this place really tries to remove the separation between its staff and owners/managers. It offers fruit/coffee everyday and monthly meetings with bagels and other stuff. Good benefits and cheap movie tickets. Moving your car around so others can get out does bother some people. It's quiet and sometimes feels empty. The owner stops by your work area almost every day (not sure if this is a con?) Be involved at every level.","N916L"
63,"nice manager;access to different people's career path;basic knowledge of industries easy job without too much learning points, but need great patience and detailed;not have too much contact with other headhunters. NA","C849Z"
64,"If you can survive with not being paid long enough, they will offer to tramit your Green Card Invalid contract: Check first if you will be signing an ""at will"" contract: they will make you sign a penalty of thousands in case you want to leave them before X months (even if they stop paying you). Totally nonsense.When they hire you they don't inform you they'll pay you only when you're added to a project, so you can spend months of ""training"" (which pretty much refers to receive calls from vendors) without receive the money offered on the contract.Crazy accomodation: If you are a foreign, you will be offered with accomodation, but please note that this will be many people in one single bedroom. If you're not cool with that, think twice. Be professional, don't ""omit"" information, is the same as lie to your employees.","R572E"
65,"Work-Life Balance , Friendly timings , Less work Pressure , Coopertive team , less travelling time. Less pay , no incentives , delayed payment , fewer projects to work on pr sometimes no project to work on. Bring lot more projects so that people can work on it and developed the requisite skills and knowledge they would otherwise might not imbibe.","G970Z"
66,"The atmosphere at work is really goodcolleagues are nice The pay could be better NA","L795Y"
67,"Great team , great company Managment failed to keep the only customer happy Be more costumer oriented!!!","S465Z"
68,"There are lots of opportunities to learn. You can have a good work Life balance. There are interesting projects to work on. The company's business is very diverse so you can move between fields. You can have a stable career. They're always located in small cities.Pay is averageBenefits are averageSoftware not well documentedTime difference with german colleagues It would be better if offices were based in the cities and pay and benefits were better. It would be great if software was better documented. Some places have a very limited budget and hard working employees dont always get rewarded in their performance reviews. They get an average grade in favor of seniors.","N348W"
69,"Very down-to-earth management and honest company to work with. Enjoying the support they provide. Need to add more training Improve benefits and referral process","A795V"
70,"Strong team spirit, engaging senior management, young research crowd have a fairly lively social network. I haven't found any major downsides - the IT doesn't always work but things are generally good. NA","T304L"
71,"Passionate people, hardworking and committed, particularly with infrastructure services. Plenty of room for development as a junior with reasonable rewards. Volume based consultancy which focuses heavily on utilization, this drives specialism out the business to an extent. ITS side of the business doesn't offer much variation on the client side. Can feel like you're a bit of a commodity and not part of a people focused organisation. Performance related pay would incentivize the hardworking to continue this position.","C589K"
72,"Believes in rewarding and recognizing employees, don't follow old school thinking of increments but you can expect anything from the management if you are performing, client oriented company but t the same time employee friendly too If you believe in getting business by hook or by crook without taking ethics and morals of the business under consideration, this is not the place for you Please take employees' feedback before implementing any new policy","X339G"
73,"Best place to work in St Louis. None. Great opportunity to help others to grow. NA","Y354X"
74,"Special treatment that employees and consultants have. Satisfaction. It is a small company that is growing. NA","T303M"
75,"Great company to work for. Missing work life balance due to work load None","J537A"
76,"Good training ground for Account Execs or Recruiters. Very professional environment if you want to wear a suit every day. Company owner publicly humiliates you group meetings. More women make beelines to ladies room b/c dressing down is so harsh. Take a chill pill. Your vindication level and tendency to sue everyone is over the top. Toxic work environment.","M657E"
77,"Great benefits. Fun group of hard working people. allowed to live anywhere you want. fun events. learn a lot from others unknown brand so you have to work even harder than consultants at other firms in an attempt to get work from clients loosen up a bit","R677K"
78,"Great work place, great employees, interesting projects Not found yet after 3.5 years Non","B676X"
79,"This company will explode very soon. Good Pay and huge room for advancement. Great atmosphere and fun people to work with, didn't even feel like work. You literally have to dedicate all of your time to advancement otherwise it won't happen. Listen to entry level, less turnover this way","Z986B"
80,"Great people on all levels! None that I can see as of yet NA","C337I"
81,"REDACTED is an outstanding company to work for. There are always new opportunities for growth, training and improvement. Fellow colleagues are world-class, conscientious assets. Sometimes REDACTED bureaucracy can slow positive transformations. Shed the good ol' boys mentality.Open up management to minorities and women more significantly.","K980Y"
82,"Great resources for research; beautiful campus; friendly staff and colleagues Reducing budget from the state government; overall conservative culture of the state NA","E529K"
83,"Vacation is decent. Breakroom is nice. The people in the trenches work hard. It is a malicious environment. I can hear a VP yelling at people from where I sit. Turnover is high so don't get used to your neighbor. I went to a job interview and saw another coworker there interviewing for another job at the same company. Lots of people talking about leaving mostly because our processes are so bad and they hate the way they are forced to treat clients. Make no mistake the leadership is here for themselves not the clients. Clents are usually spoken about with disdain as if they are an annoyance. HR onlly seems to hire more cruel and malicious people. The chain of command is unclear. Clean up your act and get fewer but better managers.There are too many spiteful and gossiping VPs and directors. Another round of employees leaving is imminent. The common link is we are all giving each other job leads now.","W614K"
84,"HR Department, Accessibility to others, established company I don't have any cons to list as of yet. NA","L225L"
85,"REDACTEDMC is a great place to work for! They continually put their employees first and make an effort to stay current in the industry. It's very encouraging to be a part of such a wonderful company and industry, especially while we make such big strides in expanding our clientele. None at this time. Keep up the great work!!!","P424T"
86,"Lots of training and development Job uncertainty for lower level. NA","N942N"
87,"Good learning experience (during training which becomes a little boring at times)AutonomyFlexibleInformal environment Do not expect any hike no matter how hard you work(its only for special people)No documented policies which changes from person to personDo not expect any appreciation for anythingThe more you do the more they expect with no returns (exploitation would be the right word to be used in this context).Forget about the word appraisal here...even if it happens remember the concept of beggars have no choice so you have to take what they give which will make no differenceGrowth is nill and stagnant as there is no hierarchy as well as do not expect any financial growth.Motivation level will always be under the grounds no matter how much you try to pull yourself out of this traumatic situation.Management will always have something or the other as explanation to give you for not giving you hike...it does not matter if you have performed well.Few specific people in the organization are always eligible for appraisals who do not deserve it at all (exceptions are always there of course).A normal person can tolerate this organization max for a year not more than that and the management also expects most of the employees to leave after a year so its mutual. Please be rational instead of being partial and blindThink about the disparities existingLearn to appreciate people and please let that reflect in numbers not just wordsEmployees do understand the reasons for your constant changing policies during the appraisal times so stop doing that as they are not fools.Stop being partial to people who constantly are buttering you.Open up your eyes, try to recognize the genuine potentials in your employees instead of believing blindly.","M306K"
88,"Decent hours. Mediocre benefits. Micro-managed. Poor communication. Poor pay. Upper management should communicate with the employees once in a while. Not just with the District Managers.","Z498C"
89,"good training and interesting mandates hierarchical structure and hardly any opportunities for progression NA","Y963Z"
90,"Good for freshers only if you have an average communication skills this company give you a chance to make your career in IT recruitment, otherwise there is no other reason to join this company.Friendly Environment10k starting salary for fresher but don't expect much salary after 1-2 yearsif you are a fresher good company for learning but There is no reason to work more than 6-8 months in this company. > Non Relevant Pressure.>Extra working hours>Some team lead misbehave the employee.>Worst Infrastructure>Bad politics>Unsystematic System>No leaves>Force Leave-It means, forcefully Your salary will be deducted. I don't want to give any advice. because I know Nothing will be change there.","K497Y"
91,"Excellent comp/benefits package. Corporate culture is progressive yet professional. Office locations are convenient and well-appointed. Many opportunities for advancement. Work-life balance can be challenging during difficult projects. Management could do a better job of communicating with employees about job security during times of downsizing. Better communication from the top-down and greater transparency throughout the organization.","Q348G"
92,"Vast scope for innovation and new technologies. The staffs are yet to adopt to new technologies. Not very efficient working on softwares. More time must be spent training the employees. Actively participate in university recruitment.","F509O"
93,"talented employees, small company, mid management fair manage by intimidation, disconnected management cant give advise will not listen","F903C"
94,"Respect, friendly atmosphere, a family and trust. Way underpay for the work load required. Invest in the people ho keep your place running!!!","R443N"
95,"established brand, representing one of the most successful global executive search entities in the world REDACTED Berndtson works largely on a partnership model, with many of the national businesses independently owned by their management. REDACTED Berndtson is a globally integrated firm with offices in 27 countries and headquarters in London","R819G"
96,"Great co-workers. You'll receive exceptional from some of the other guys. Upper management has a high disregard for the well being of employees. There is often the mentality to work around codes. NA","S875A"
97,"The people at REDACTED are extremely competent and recruiting ensures that the best talent from the best schools (technology and business schools) are recruited. Compensation package is very good. Clients thing very highly of our work. Lot of travel. Long work hours. The work is at par with the top management consulting firms, but the firm is younger compared to the bigger players and therefore there is limited brand recognition with people who have not worked with us before. Build the brand more","K218A"
98,"Great Pay, flexible hours, friendly employees. No benefits, no raise with review. Benefits & review, raise processes should be re-evaluated.","Y135Q"
99,"Can take an aggressive and entrepreneurial approach to consulting with client companies or to fit the customers' requests or needs This is management consulting so not the corporate side which is very different Use consultants to your advantage and understand and appreciate their value","Z537H"
100,"There are a lot of properties located throughout the United States No Training. No consistency from property to property or supervisor to supervisor. The programs they use for work orders, guest card follow up, payroll, etc. are the same I used 10 years ago. So concerned with being cheap, that updated tools are not provided. NA","Y108S"
101,"I was referred to REDACTED through a friend and I liked my interview and appointment process. The team is made of really genius people who are warm and friendly. We are getting new, big assignments with each day and the days are super filled with work. I am getting to learn quite a few new things everyday and having fun in the process. There are no cons to working here. Fun work, good salary, good environment, professional people ... no complaints No advice from me. I am young and happy to learn in such an all-round business environment. Best of luck.","Y318H"
102,"- More reasonable hours than big consulting houses- Fast(er) promotions due to high turnover at the lower ranks- Personal relationship between staff and most management - Low salaries- No other benefits except medical insurance- Most management have no experience in other firms or in any industry, making their expertise mediocre NA","L890B"
103,"Commission percentages were extremely generous; Great company culture; Treat their employees very well; Growing company; Work hard, play hard environment; Co-founders are extremely helpful and want to see their employees succeed, not just in work but in life as well; Competitive but collaborative environment; Overall this company is doing amazing things and will continue to grow to do amazing things; At the end of the day, they take great care of their employees because of the company's family culture. I didn't personally feel comfortable with IT knowledge. Follow-up training after initial training.","C452T"
