"","id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY"
"58","V311Y","R&D","X8066X",5,4,6,6,7,5,NA,63303,6,24,2,3,1
"59","L722Q","R&D","Z2464Y",1,7,3,3,2,7,7,82416,10,54,1,2,1
"60","G508T","Finance","Z7298V",3,2,5,5,4,3,NA,46823,6,50,2,1,2
"61","P929M","Finance","X7645X",3,2,5,4,4,3,4,48230,2,36,1,1,2
"62","N916L","R&D","Y3553W",1,7,2,3,2,7,7,140442,0,55,2,3,2
"63","C849Z","Ethics","X8022Z",1,2,2,2,2,3,3,49866,2,25,2,1,2
"64","R572E","Ethics","X8022Z",2,6,2,4,4,7,7,54287,1,51,1,2,2
"65","G970Z","R&D","Z2464Y",6,5,7,7,7,6,NA,47749,4,29,2,1,2
"66","L795Y","R&D","X8066X",7,2,7,7,7,3,4,93246,2,47,2,3,2
"67","S465Z","Finance","X7645X",1,3,2,2,3,5,5,71907,1,47,2,3,2
"68","N348W","Finance","Y7685W",5,5,6,6,7,6,6,47060,7,38,1,1,2
"69","A795V","Ethics","W7742X",1,3,3,3,3,5,4,49482,7,30,1,1,2
"70","T304L","R&D","Z2464Y",7,4,7,7,7,5,6,59873,0,36,1,2,1
"71","C589K","R&D","Z2464Y",7,2,7,7,7,4,4,74679,9,45,1,2,2
"72","X339G","Health","W8102W",7,4,7,7,7,5,5,106435,1,26,2,3,1
"73","Y354X","R&D","Y3553W",6,6,7,7,7,7,NA,59952,1,36,1,2,1
"74","T303M","Health","W8102W",3,6,5,4,5,7,7,54887,3,31,1,2,2
"75","J537A","R&D","X3607X",3,7,4,5,5,7,7,78309,8,28,1,2,2
"76","M657E","R&D","X8066X",1,3,2,2,2,4,4,154814,10,55,2,3,2
"77","R677K","Finance","X7645X",6,6,7,7,7,7,7,79322,10,43,2,2,1
"78","B676X","Health","Z4101Z",2,1,3,3,4,3,3,58969,7,39,1,2,2
"79","Z986B","Health","W8102W",1,7,2,3,3,7,7,55366,7,44,2,2,1
"80","C337I","Ethics","X8022Z",7,7,7,7,7,7,NA,75935,6,45,2,3,2
"81","K980Y","Finance","Y7685W",5,6,6,6,7,7,NA,54744,3,24,1,1,1
"82","E529K","Health","W8102W",5,5,6,6,7,7,NA,105250,10,53,1,3,1
"83","W614K","R&D","X8066X",7,4,7,7,7,5,NA,55171,6,34,2,2,1
"84","L225L","R&D","Z2464Y",3,5,4,5,4,6,6,76634,10,31,1,2,2
"85","P424T","Finance","Y4468Y",4,4,5,6,5,5,5,75576,5,42,2,3,1
"86","N942N","Finance","X7645X",6,7,7,7,7,7,7,58586,0,48,2,2,2
"87","M306K","R&D","X3607X",3,2,5,4,4,5,NA,75578,9,52,1,1,1
"88","Z498C","R&D","Y3553W",3,3,5,5,5,4,4,49603,4,25,2,1,2
"89","Y963Z","R&D","X8066X",2,6,3,4,3,7,NA,72109,10,45,1,2,1
"90","K497Y","R&D","V4497X",1,3,3,2,2,5,5,54898,4,43,2,2,2
"91","Q348G","Finance","Z7298V",2,3,3,3,3,5,NA,46329,2,54,2,1,2
"92","F509O","R&D","Y3553W",7,1,7,7,7,3,2,104184,9,24,2,3,1
"93","F903C","R&D","Z2464Y",6,2,7,7,7,4,4,47577,5,25,1,1,2
"94","R443N","R&D","V4497X",2,1,3,4,3,2,3,102579,8,24,1,3,2
"95","R819G","DSI","V8472W",5,7,7,6,7,7,7,67627,9,46,1,1,2
"96","S875A","Finance","Y4468Y",1,6,3,2,2,7,7,57320,1,45,1,2,2
"97","K218A","R&D","Z2464Y",4,3,6,6,5,5,5,76271,8,37,2,2,1
"98","Y135Q","Finance","Y9641W",2,5,3,4,3,7,7,75704,10,24,1,2,2
"99","Z537H","Finance","Z7298V",2,3,3,4,3,5,4,67318,9,36,1,1,2
"100","Y108S","Finance","X7645X",7,6,7,7,7,7,7,69223,8,54,1,1,2
"101","Y318H","Ethics","W2205Z",4,5,6,6,5,7,6,58908,0,54,2,2,1
"102","L890B","Finance","Y7685W",2,7,4,4,4,7,7,131115,3,55,2,3,2
"103","C452T","R&D","Z2464Y",6,6,7,7,7,7,7,45532,4,54,1,1,2
"104","U504M","Finance","Y9641W",7,3,7,7,7,3,6,52815,2,32,1,1,2
"105","J622K","R&D","Z2464Y",5,5,7,6,7,7,NA,93476,0,54,1,3,2
"106","S268J","Finance","Y9641W",2,5,4,3,4,7,7,54120,0,24,1,2,2
"107","I408F","Health","V7487V",7,7,7,7,7,7,NA,108952,6,33,2,3,2
"108","U356H","Finance","X7645X",1,1,3,2,3,3,2,53075,0,34,1,1,1
"109","P845Y","Finance","Z7298V",3,5,5,4,4,6,6,133368,7,43,2,3,2
"110","U139S","DSI","V8472W",7,4,7,7,7,5,6,53205,1,51,2,2,1
"111","R368W","Ethics","X8022Z",1,1,3,2,3,2,3,51679,4,47,2,1,1
"112","S722T","R&D","Z2464Y",3,3,5,5,5,4,4,130101,10,50,1,3,2
"113","Y370X","R&D","Z2464Y",4,6,6,6,6,7,7,58351,5,27,1,2,2
"114","P572X","Finance","Y7685W",4,4,5,5,6,5,6,77261,8,44,1,1,2
"115","A526I","Health","Z4101Z",7,6,7,7,7,7,7,100713,6,40,2,3,2
"116","V161Q","R&D","Z2464Y",3,6,5,5,4,7,7,66904,9,36,1,1,1
"117","A800X","Finance","Y7685W",6,7,7,7,7,7,NA,46515,2,42,1,1,2
"118","T828Q","Ethics","W7742X",4,5,5,6,7,6,7,57855,4,28,1,2,2
"119","M377C","Ethics","W7742X",1,4,2,3,2,6,6,84361,6,54,2,3,2
"120","U582H","R&D","X8066X",3,4,4,4,5,6,5,45473,7,38,1,1,2
"121","Q633I","Health","W8102W",6,7,7,7,7,7,7,45819,4,24,1,1,2
"122","A129A","R&D","Z2464Y",5,3,6,7,7,4,5,49550,2,52,1,1,2
"123","S408M","Finance","Y4468Y",3,7,4,4,4,7,7,87103,2,31,1,3,2
"124","U109X","Finance","X7645X",2,6,4,3,3,7,7,79265,8,50,1,2,2
"125","H236P","Ethics","W7742X",6,2,7,7,7,4,NA,46291,2,50,1,1,2
"126","B331B","R&D","Y3553W",7,5,7,7,7,6,NA,53135,4,51,2,2,1
"127","J940X","Health","V7487V",3,3,4,4,5,4,4,72987,9,37,2,1,2
"128","R419J","DSI","V8472W",4,1,5,6,6,1,2,58971,2,52,1,2,2
"129","Q876B","Health","W8102W",3,3,4,5,5,4,5,49679,3,40,2,1,2
"130","S529J","R&D","V4497X",5,7,6,7,6,7,7,46769,6,54,1,1,2
"131","I183O","Finance","Y4468Y",3,1,5,5,4,3,2,75077,8,54,1,2,2
"132","M591N","Health","W8102W",6,1,7,7,7,2,3,53024,1,44,2,1,2
"133","A541O","R&D","V4497X",4,5,5,5,7,7,6,82062,8,37,1,2,1
"134","B352U","R&D","V4497X",2,1,3,4,3,3,2,74281,8,25,1,2,2
"135","L931O","Ethics","W2205Z",7,4,7,7,7,6,5,71123,10,54,1,2,2
"136","B579J","Finance","Y4468Y",7,4,7,7,7,5,NA,54507,2,32,1,1,2
"137","P810P","Health","Z4101Z",7,7,7,7,7,7,NA,125126,1,34,1,3,1
"138","J449Z","Finance","Z7298V",1,5,2,3,2,7,7,71249,8,53,1,2,2
"139","X166F","Finance","X7645X",7,3,7,7,7,6,4,57585,7,37,1,2,1
"140","V280V","Finance","Y7685W",1,2,2,3,2,3,3,46489,4,34,2,1,2
"141","S194X","R&D","V4497X",2,4,4,4,3,6,5,50834,1,28,1,1,2
"142","Q826Y","Health","W8102W",4,5,7,6,6,6,6,53749,7,55,2,2,2
"143","V247T","R&D","Y3553W",4,7,6,5,6,7,7,126940,3,33,1,3,2
"144","A806M","Health","Z4101Z",7,3,7,7,7,5,4,58486,2,43,1,2,2
"145","Y610A","R&D","V4497X",3,6,4,4,5,7,7,53427,5,24,2,1,2
"146","F427Y","R&D","V4497X",6,7,7,7,7,7,7,59819,7,32,1,2,2
"147","V177L","Finance","Z7298V",5,1,6,5,7,3,3,82002,2,26,2,3,2
"148","G363J","Finance","X7645X",7,7,7,7,7,7,7,56185,7,39,1,2,1
"149","U419X","Finance","Y4468Y",4,7,5,6,5,7,7,66812,9,35,1,1,2
"150","G458M","R&D","Y3553W",6,1,7,7,7,2,3,45399,5,44,1,1,1
"151","T332V","R&D","X8066X",6,5,7,7,7,7,7,124133,8,25,2,3,2
"152","S928X","Finance","Z7298V",4,6,5,6,7,7,7,94155,8,55,2,3,2
"153","M744E","Finance","X7645X",3,4,4,5,3,6,5,78364,9,46,1,2,2
"154","W641V","Health","W8102W",4,6,5,6,6,7,7,56332,6,27,1,2,2
"155","P451J","Finance","Y7685W",7,7,7,7,7,7,7,102572,1,54,2,3,1
"156","B441E","Ethics","W2205Z",7,2,7,7,7,3,3,47427,3,46,1,1,2
"157","M489I","R&D","X3607X",3,3,4,4,5,4,4,50289,4,24,2,1,2
"158","S125R","Finance","X7645X",1,4,3,4,3,5,4,53679,5,53,1,1,2
"159","P592S","Finance","X7645X",1,6,4,3,2,7,7,62030,4,38,2,3,1
"160","J173O","Finance","Y4468Y",5,7,6,7,7,7,NA,59080,1,53,2,2,2
"161","K572X","R&D","Z2464Y",3,7,4,4,4,7,7,104458,6,45,1,3,2
"162","J296K","Health","V7487V",1,2,2,2,3,4,3,80080,9,54,1,2,2
"163","T127O","Health","W8102W",5,3,7,6,7,4,4,51403,4,36,2,1,2
"164","X362O","Finance","X7645X",2,2,3,4,3,3,3,53760,5,48,1,2,2
"165","Q654U","Health","W8102W",6,6,7,7,7,7,7,47303,5,48,1,1,2
"166","G814L","Ethics","W7742X",5,2,6,6,7,4,4,123022,8,55,1,3,2
"167","Z905K","Finance","Y4468Y",4,4,6,5,5,6,5,53372,0,54,1,2,1
"168","Z459G","Finance","X7645X",3,4,5,6,4,4,5,73507,8,22,2,2,2
"169","J943W","Health","W8102W",2,7,3,4,4,7,NA,101093,8,24,2,3,2
"170","B328L","R&D","X3607X",3,5,5,5,5,7,6,46768,6,23,1,1,2
"171","X953B","R&D","V4497X",7,1,7,7,7,2,3,58659,1,36,2,2,2
"172","U762Z","R&D","Z2464Y",5,5,7,7,7,6,6,45002,2,37,1,1,2
"173","U611F","R&D","Z2464Y",2,7,4,4,4,7,7,48622,7,48,1,1,1
"174","R178Q","R&D","Z2464Y",7,2,7,7,7,3,3,80323,10,29,1,2,2
"175","C211B","R&D","V4497X",3,2,5,5,5,2,4,69011,8,27,1,1,1
"176","Y617M","R&D","X8066X",7,5,7,7,7,7,7,76401,4,48,2,3,1
"177","M538U","R&D","Y3553W",2,2,3,3,3,4,3,83641,2,36,2,3,2
"178","X920H","Health","Z4101Z",3,1,5,5,5,3,2,51247,3,53,1,1,2
"179","G853V","Ethics","W7742X",7,3,7,7,7,4,4,144249,1,25,2,3,2
"180","E940H","Finance","Z7298V",4,5,6,6,6,7,6,59661,6,27,1,2,2
"181","L276H","Finance","Y4468Y",6,7,7,7,7,7,7,99923,9,36,2,3,2
"182","J207A","Ethics","W2205Z",3,4,5,4,5,5,5,121745,1,43,2,3,2
"183","C252M","Ethics","X8022Z",7,3,7,7,7,5,NA,70555,10,22,2,1,2
"184","O521Q","Finance","Y7685W",6,1,7,7,7,3,2,58156,0,28,2,2,2
"185","Q834C","Finance","Z7298V",6,3,7,7,7,5,4,136184,10,50,2,3,2
"186","J518S","Finance","Z7298V",7,7,7,7,7,7,7,47993,4,54,1,1,2
"187","R167I","Ethics","X8022Z",6,6,7,7,7,7,7,119300,3,42,2,3,2
"188","M440F","Finance","Y7685W",2,6,4,4,3,7,7,46962,6,48,1,1,2
"189","P482K","R&D","X8066X",3,5,4,4,5,7,6,53234,1,24,2,2,2
"190","B119R","Finance","Y4468Y",1,1,3,3,3,2,2,66687,9,48,2,1,2
"191","F389B","R&D","V4497X",1,3,2,3,2,5,NA,58309,5,53,1,2,2
"192","L266N","Finance","X7645X",7,6,7,7,7,7,7,67721,0,26,2,3,2
"193","S654I","Finance","Y9641W",3,5,5,4,5,7,6,85269,10,26,2,3,2
"194","H841K","Ethics","X8022Z",7,5,7,7,7,7,7,143919,1,24,2,3,2
"195","H937T","R&D","X8066X",5,3,6,7,6,4,5,61539,10,24,1,1,1
"196","P620N","Health","V7487V",5,7,7,6,7,7,NA,45738,5,31,1,1,2
"197","F714L","R&D","X3607X",6,7,7,7,7,7,7,119536,10,48,2,3,2
"198","S796P","Ethics","W7742X",1,2,2,3,2,4,3,139622,2,38,1,3,2
"199","X728W","Finance","Y9641W",7,3,7,7,7,4,NA,90173,3,22,2,3,2
"200","X390Y","Health","Z4101Z",1,7,2,3,3,7,7,76557,7,32,1,3,1
"201","X681F","Ethics","W7742X",7,3,7,7,7,4,5,61151,9,55,1,1,2
"202","K941W","Health","W8102W",2,2,4,5,3,3,3,53093,4,53,1,2,2
"203","I570V","Health","V7487V",6,4,7,7,7,5,6,46226,3,28,2,1,2
"204","M877R","R&D","Y3553W",6,1,7,7,7,2,3,93644,10,27,2,3,2
"205","N629F","Finance","X7645X",5,5,7,6,7,6,7,78492,8,42,1,2,2
"206","D931Z","Ethics","W7742X",1,6,2,2,3,7,7,57711,5,33,1,2,2
"207","F640K","Ethics","X8022Z",6,4,7,7,7,6,6,49146,3,35,2,1,1
"208","Z930S","Finance","Y7685W",7,4,7,7,7,6,NA,54629,1,28,2,1,2
"209","J853A","R&D","Z2464Y",2,1,4,4,4,3,2,63051,7,36,1,3,2
"210","B149R","Ethics","W7742X",5,7,7,7,7,7,7,69926,8,42,1,1,2
"211","Z173Z","Health","Z4101Z",7,4,7,7,7,6,7,81660,9,35,2,3,1
"212","C511N","Finance","Y9641W",4,1,5,5,5,2,2,57409,3,36,1,2,2
"213","Q718W","Ethics","W2205Z",2,3,4,4,3,5,5,77845,8,38,2,1,2
"214","V489Z","R&D","X3607X",7,2,7,7,7,3,3,46366,4,50,1,1,2
"215","J688C","Health","V7487V",7,2,7,7,7,3,3,58777,2,49,1,2,2
"216","F509E","Health","Z4101Z",3,5,5,4,4,7,5,57410,4,45,1,2,2
"217","N803J","Ethics","X8022Z",1,2,3,2,3,3,3,94986,4,51,1,3,2
"218","V271J","DSI","V8472W",7,5,7,7,7,6,7,62261,6,37,2,3,2
"219","B745I","Ethics","W7742X",6,5,7,7,7,7,6,74910,9,32,1,1,1
"220","H894T","DSI","V8472W",1,5,3,3,2,6,7,74352,10,52,2,2,2
"221","O930E","Finance","X7645X",2,2,3,4,4,3,4,144121,8,35,1,3,2
"222","K460D","Finance","Y9641W",3,3,4,5,5,5,5,48911,4,38,1,1,2
"223","P139P","DSI","V8472W",6,5,7,7,7,7,7,79305,3,47,1,3,1
"224","M734T","Finance","Y4468Y",6,2,7,7,7,4,4,77815,10,27,1,2,2
"225","V804U","Finance","X7645X",7,5,7,7,7,6,NA,74021,8,43,2,2,1
"226","K127L","Health","V7487V",7,6,7,7,7,7,7,89527,3,46,2,3,2
"227","G250P","R&D","X3607X",2,5,3,3,3,6,6,75444,10,37,1,1,2
"228","D239W","Health","V7487V",5,5,7,6,7,6,NA,77454,10,31,2,2,2
"229","N753B","Finance","Y9641W",2,2,3,3,3,4,NA,53849,0,33,1,1,2
"230","P558D","Finance","Y4468Y",1,1,3,2,2,2,3,51348,3,51,1,1,2
"231","P604S","Health","Z4101Z",1,4,3,1,3,5,6,54477,3,45,1,2,2
"232","N714I","Health","Z4101Z",7,5,7,7,7,6,NA,73512,8,34,1,2,1
"233","O439N","R&D","V4497X",5,6,6,6,6,7,7,104894,5,35,1,3,2
"234","J497F","R&D","X8066X",3,7,4,4,5,7,7,59520,2,24,1,2,2
"235","I567I","Finance","Y4468Y",3,1,4,5,5,2,2,57632,0,52,2,2,2
"236","C313W","R&D","Y3553W",7,4,7,7,7,6,NA,73275,9,36,2,1,2
"237","H297V","Finance","Y9641W",7,5,7,7,7,6,7,47936,5,42,1,1,2
"238","P275A","R&D","V4497X",7,4,7,7,7,5,NA,58293,3,50,1,2,2
"239","D459M","R&D","Y3553W",6,7,7,7,7,7,7,53065,7,37,1,2,2
"240","D537C","Ethics","W7742X",4,7,5,6,5,7,NA,71777,9,48,1,1,2
"241","L628L","R&D","X8066X",4,2,6,6,5,4,3,50968,6,24,1,1,2
"242","Z411R","R&D","X3607X",2,2,4,3,3,3,4,66141,8,33,2,1,1
"243","D349B","Health","W8102W",3,1,5,5,4,1,4,81010,10,51,2,3,2
"244","E163N","Health","V7487V",1,3,3,3,2,5,4,55962,3,30,2,2,2
"245","N779C","R&D","V4497X",7,4,7,7,7,6,5,51632,2,45,1,1,2
"246","O608Z","Health","V7487V",4,3,5,5,5,5,NA,76864,9,36,1,1,2
"247","T285C","R&D","X8066X",5,1,7,7,7,2,NA,53077,6,23,1,1,2
"248","L977R","Finance","Y4468Y",1,4,3,3,2,5,6,72837,9,23,1,1,2
"249","B224K","DSI","V8472W",3,4,5,5,5,6,5,77193,9,23,1,2,2
"250","A526N","Finance","Y9641W",2,6,3,4,4,7,7,77598,0,27,1,3,1
"251","I616E","Ethics","W7742X",2,4,5,4,4,5,6,57438,6,46,1,2,2
"252","B626S","Finance","Z7298V",4,1,5,5,6,3,3,59111,4,23,2,2,2
"253","M414F","R&D","X3607X",2,3,4,4,2,4,5,81108,3,24,2,3,2
"254","K335F","Finance","Y4468Y",3,3,5,4,5,5,4,144501,4,53,2,3,2
"255","P487L","Finance","X7645X",4,4,5,5,6,5,5,59796,0,48,2,2,2
"256","O835S","Finance","X7645X",5,7,6,6,6,7,7,135701,1,28,1,3,2
"257","I413V","Ethics","W7742X",1,4,2,2,3,5,5,130406,5,36,2,3,2
"258","Z189D","R&D","X8066X",7,6,7,7,7,7,NA,51918,1,41,1,1,1
"259","J144O","Finance","Y4468Y",5,7,7,7,6,7,7,80343,9,51,1,2,2
"260","F464O","R&D","Y3553W",7,5,7,7,7,7,7,59289,1,49,1,2,2
"261","T856G","R&D","X3607X",1,5,2,3,3,7,7,45983,5,42,1,1,2
"262","N245J","Ethics","W7742X",5,2,6,6,7,3,4,132590,0,46,2,3,2
"263","S229P","DSI","V8472W",7,5,7,7,7,7,6,148410,10,52,1,3,2
"264","K686G","Finance","Y9641W",7,3,7,7,7,5,4,48889,1,27,2,1,2
"265","T292I","Health","Z4101Z",7,3,7,7,7,4,5,59136,3,52,1,2,2
"266","G879Q","R&D","V4497X",4,7,5,5,6,7,7,70556,10,27,1,1,2
"267","W404K","R&D","Y3553W",7,4,7,7,7,6,NA,134865,6,32,2,3,2
"268","U673Q","Finance","Y4468Y",5,3,6,6,7,5,NA,161098,9,35,2,3,2
"269","T404R","Finance","Z7298V",7,7,7,7,7,7,7,123304,0,30,1,3,2
"270","U428R","R&D","Z2464Y",3,1,4,4,6,2,3,49877,0,53,1,1,2
"271","P224G","Finance","Z7298V",2,4,5,3,3,6,5,129543,8,53,2,3,2
"272","P177M","Health","V7487V",1,4,3,2,3,5,6,57814,2,37,1,2,2
"273","K156V","R&D","X3607X",1,5,2,2,2,6,6,93196,7,45,2,3,2
"274","F248Z","Finance","Y4468Y",1,4,2,2,2,6,6,58317,0,47,2,2,2
"275","D562E","Finance","Y9641W",4,1,5,5,5,3,2,53461,2,44,1,2,1
"276","Y892J","Finance","Z7298V",2,6,3,4,4,7,7,79401,7,52,2,3,2
"277","E737K","R&D","V4497X",2,3,4,4,3,5,4,46500,0,46,2,1,1
"278","E191U","R&D","V4497X",3,3,4,5,5,5,4,55797,3,22,2,2,2
"279","P990K","Health","Z4101Z",7,1,7,7,7,2,3,53531,1,55,1,2,1
"280","W784L","R&D","V4497X",1,4,2,3,2,6,6,48674,4,26,2,1,1
"281","Q493B","R&D","Y3553W",7,6,7,7,7,7,7,144736,10,25,2,3,1
"282","F713R","R&D","X8066X",6,6,7,7,7,7,NA,68330,10,44,1,1,2
"283","C810P","R&D","X3607X",4,6,7,5,6,7,7,58630,0,22,1,2,2
"284","L345X","Ethics","W7742X",1,6,2,3,2,7,7,65239,8,52,2,1,1
"285","V230Z","R&D","Z2464Y",3,3,4,5,4,4,4,147343,5,45,2,3,2
"286","T867O","Finance","Y9641W",3,5,5,5,5,7,7,76814,10,40,2,2,2
"287","C747S","Health","V7487V",4,6,5,5,5,7,7,81437,4,37,2,3,2
"288","S957P","R&D","Y3553W",5,5,6,7,7,7,6,127436,9,43,2,3,2
"289","A312K","Health","V7487V",5,5,6,7,6,6,6,77751,8,42,2,1,1
"290","R700R","R&D","Y3553W",7,7,7,7,7,7,NA,93339,0,27,2,3,2
"291","F513T","Finance","Z7298V",4,2,5,6,6,3,3,96842,6,51,2,3,2
"292","D761O","Ethics","W7742X",1,6,2,3,2,7,7,72554,10,48,1,1,2
"293","I805J","Health","V7487V",4,6,6,6,5,7,7,97146,9,48,2,3,2
"294","Z981F","Finance","X7645X",6,3,7,7,7,5,4,45778,0,48,1,1,2
"295","R501Z","Finance","Z7298V",5,4,6,6,7,5,5,55622,7,55,2,2,2
"296","M142Y","Finance","Z7298V",6,6,7,7,7,7,7,58655,4,54,2,2,2
"297","X331O","Finance","X7645X",4,3,6,6,6,5,5,71484,3,29,2,3,1
"298","O192I","R&D","X3607X",7,7,7,7,7,7,7,114054,1,39,1,3,2
"299","X298J","R&D","Z2464Y",3,5,4,4,5,7,6,76366,8,36,1,2,2
"300","B771W","Finance","X7645X",7,1,7,7,7,2,NA,117477,1,41,2,3,2
"301","M319J","R&D","X8066X",2,4,4,3,3,4,6,55377,7,33,1,2,2
"302","B427N","DSI","I511L",7,5,7,7,7,7,5,102702,3,30,2,3,2
"303","Q291W","R&D","X8066X",6,6,6,7,7,7,NA,80473,9,43,2,2,2
"304","Q353M","Finance","Y7685W",3,1,5,5,5,2,3,75129,9,36,1,2,2
"305","X276S","R&D","V4497X",6,1,7,6,7,2,3,69699,10,32,1,1,2
"306","L458P","R&D","V4497X",2,7,4,4,3,7,7,71769,8,53,2,2,2
"307","N779J","R&D","Y3553W",6,3,7,7,7,4,5,118095,2,29,2,3,2
"308","Y919L","Finance","Y7685W",5,6,6,6,6,7,7,99786,9,47,2,3,2
"309","C501E","Ethics","X8022Z",4,6,4,5,5,7,7,75572,9,48,2,2,2
"310","B633Y","DSI","V8472W",5,4,6,6,6,6,5,46380,3,28,1,1,2
"311","I674N","Finance","Y4468Y",2,2,3,3,4,3,4,48969,4,54,1,1,1
"312","Q943Z","R&D","X3607X",7,5,7,7,7,6,7,77016,8,30,1,2,2
