"id"|"team"|"manager"|"jobTasksSDSA"|"jobBalanceSDSA"|"jobPaySDSA"|"jobRecognitionSDSA"|"jobAdvancementSDSA"|"jobCoworkersSDSA"|"jobManagementSDSA"|"salary"|"tenure"
"26"|"V199I"|"Finance"|"X7645X"|"7"|"3"|"7"|"7"|"7"|"4"|NA|"99189"|"5"
"27"|"O699Q"|"Finance"|"Y7685W"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"55078"|"3"
"28"|"K944D"|"Finance"|"Y4468Y"|"2"|"1"|"3"|"4"|"4"|"3"|"3"|"52338"|"5"
"29"|"Q312G"|"Ethics"|"W7742X"|"7"|"3"|"7"|"7"|"7"|"5"|"4"|"64981"|"9"
"30"|"O731D"|"Finance"|"Y9641W"|"3"|"7"|"5"|"5"|"5"|"7"|"7"|"127198"|"8"
"31"|"O544V"|"Finance"|"Y9641W"|"5"|"4"|"6"|"7"|"6"|"5"|"6"|"47630"|"4"
"32"|"X278H"|"Ethics"|"X8022Z"|"7"|"4"|"7"|"7"|"7"|"6"|NA|"56114"|"7"
"33"|"U271G"|"Finance"|"Y9641W"|"1"|"5"|"2"|"3"|"2"|"7"|"7"|"53711"|"2"
"34"|"V190W"|"Health"|"Z4101Z"|"3"|"4"|"4"|"5"|"4"|"6"|NA|"57151"|"2"
"35"|"P713D"|"Finance"|"Z7298V"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"56362"|"2"
"36"|"D612F"|"Ethics"|"W2205Z"|"1"|"4"|"3"|"3"|"3"|"5"|"6"|"149939"|"4"
"37"|"A392M"|"R&D"|"X8066X"|"1"|"4"|"3"|"3"|"3"|"6"|"6"|"48431"|"7"
"38"|"M452T"|"R&D"|"Z2464Y"|"2"|"7"|"3"|"3"|"4"|"7"|"7"|"74136"|"2"
"39"|"Z591L"|"R&D"|"V4497X"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"109473"|"2"
"40"|"F850G"|"Ethics"|"X8022Z"|"7"|"2"|"7"|"7"|"7"|"4"|"4"|"46336"|"1"
"41"|"F448U"|"R&D"|"V4497X"|"5"|"2"|"7"|"7"|"7"|"4"|"3"|"54901"|"3"
"42"|"R113O"|"R&D"|"X3607X"|"5"|"1"|"7"|"6"|"7"|"4"|"2"|"98771"|"1"
"43"|"Z239I"|"R&D"|"Y3553W"|"5"|"4"|"6"|"7"|"7"|"6"|"6"|"140545"|"6"
"44"|"H885W"|"Ethics"|"W2205Z"|"2"|"4"|"4"|"4"|"3"|"6"|"6"|"52082"|"1"
"45"|"I242N"|"R&D"|"V4497X"|"3"|"4"|"5"|"4"|"5"|"6"|"5"|"57987"|"3"
"46"|"Z380H"|"Finance"|"Y4468Y"|"2"|"2"|"4"|"4"|"4"|"4"|"3"|"166688"|"8"
"47"|"D558Z"|"Ethics"|"W2205Z"|"4"|"6"|"6"|"5"|"6"|"7"|NA|"50242"|"3"
"48"|"Q624A"|"Finance"|"Y9641W"|"1"|"6"|"3"|"2"|"2"|"7"|"7"|"55701"|"2"
"49"|"I473H"|"R&D"|"X3607X"|"4"|"5"|"5"|"5"|"6"|"7"|"7"|"56434"|"1"
"50"|"L279F"|"R&D"|"X8066X"|"6"|"1"|"7"|"7"|"6"|"3"|"3"|"52514"|"7"
"51"|"I449L"|"R&D"|"V4497X"|"2"|"3"|"3"|"3"|"3"|"4"|"5"|"91790"|"3"
"52"|"L539X"|"Ethics"|"W2205Z"|"3"|"5"|"4"|"4"|"5"|"6"|"7"|"64355"|"10"
"53"|"U339N"|"R&D"|"X8066X"|"4"|"7"|"5"|"6"|"6"|"7"|"7"|"69519"|"9"
"54"|"X368K"|"Ethics"|"W2205Z"|"3"|"3"|"5"|"4"|"4"|"5"|"4"|"116693"|"10"
"55"|"H639N"|"R&D"|"Z2464Y"|"3"|"3"|"4"|"5"|"4"|"6"|"5"|"135329"|"6"
"56"|"O533O"|"R&D"|"Z2464Y"|"3"|"6"|"4"|"4"|"4"|"7"|"7"|"57085"|"7"
"57"|"T921J"|"DSI"|"V8472W"|"3"|"4"|"5"|"4"|"4"|"5"|"5"|"54143"|"4"
"58"|"O485G"|"Finance"|"Y4468Y"|"4"|"3"|"5"|"5"|"5"|"3"|"4"|"54226"|"4"
"59"|"V311Y"|"R&D"|"X8066X"|"5"|"4"|"6"|"6"|"7"|"5"|NA|"63303"|"6"
"60"|"L722Q"|"R&D"|"Z2464Y"|"1"|"7"|"3"|"3"|"2"|"7"|"7"|"82416"|"10"
"61"|"G508T"|"Finance"|"Z7298V"|"3"|"2"|"5"|"5"|"4"|"3"|NA|"46823"|"6"
"62"|"P929M"|"Finance"|"X7645X"|"3"|"2"|"5"|"4"|"4"|"3"|"4"|"48230"|"2"
"63"|"N916L"|"R&D"|"Y3553W"|"1"|"7"|"2"|"3"|"2"|"7"|"7"|"140442"|"0"
"64"|"C849Z"|"Ethics"|"X8022Z"|"1"|"2"|"2"|"2"|"2"|"3"|"3"|"49866"|"2"
"65"|"R572E"|"Ethics"|"X8022Z"|"2"|"6"|"2"|"4"|"4"|"7"|"7"|"54287"|"1"
"66"|"G970Z"|"R&D"|"Z2464Y"|"6"|"5"|"7"|"7"|"7"|"6"|NA|"47749"|"4"
"67"|"L795Y"|"R&D"|"X8066X"|"7"|"2"|"7"|"7"|"7"|"3"|"4"|"93246"|"2"
"68"|"S465Z"|"Finance"|"X7645X"|"1"|"3"|"2"|"2"|"3"|"5"|"5"|"71907"|"1"
"69"|"N348W"|"Finance"|"Y7685W"|"5"|"5"|"6"|"6"|"7"|"6"|"6"|"47060"|"7"
"70"|"A795V"|"Ethics"|"W7742X"|"1"|"3"|"3"|"3"|"3"|"5"|"4"|"49482"|"7"
"71"|"T304L"|"R&D"|"Z2464Y"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"59873"|"0"
"72"|"C589K"|"R&D"|"Z2464Y"|"7"|"2"|"7"|"7"|"7"|"4"|"4"|"74679"|"9"
"73"|"X339G"|"Health"|"W8102W"|"7"|"4"|"7"|"7"|"7"|"5"|"5"|"106435"|"1"
"74"|"Y354X"|"R&D"|"Y3553W"|"6"|"6"|"7"|"7"|"7"|"7"|NA|"59952"|"1"
"75"|"T303M"|"Health"|"W8102W"|"3"|"6"|"5"|"4"|"5"|"7"|"7"|"54887"|"3"
"76"|"J537A"|"R&D"|"X3607X"|"3"|"7"|"4"|"5"|"5"|"7"|"7"|"78309"|"8"
"77"|"M657E"|"R&D"|"X8066X"|"1"|"3"|"2"|"2"|"2"|"4"|"4"|"154814"|"10"
"78"|"R677K"|"Finance"|"X7645X"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"79322"|"10"
"79"|"B676X"|"Health"|"Z4101Z"|"2"|"1"|"3"|"3"|"4"|"3"|"3"|"58969"|"7"
"80"|"Z986B"|"Health"|"W8102W"|"1"|"7"|"2"|"3"|"3"|"7"|"7"|"55366"|"7"
"81"|"C337I"|"Ethics"|"X8022Z"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"75935"|"6"
"82"|"K980Y"|"Finance"|"Y7685W"|"5"|"6"|"6"|"6"|"7"|"7"|NA|"54744"|"3"
"83"|"E529K"|"Health"|"W8102W"|"5"|"5"|"6"|"6"|"7"|"7"|NA|"105250"|"10"
"84"|"W614K"|"R&D"|"X8066X"|"7"|"4"|"7"|"7"|"7"|"5"|NA|"55171"|"6"
"85"|"L225L"|"R&D"|"Z2464Y"|"3"|"5"|"4"|"5"|"4"|"6"|"6"|"76634"|"10"
"86"|"P424T"|"Finance"|"Y4468Y"|"4"|"4"|"5"|"6"|"5"|"5"|"5"|"75576"|"5"
"87"|"N942N"|"Finance"|"X7645X"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"58586"|"0"
"88"|"M306K"|"R&D"|"X3607X"|"3"|"2"|"5"|"4"|"4"|"5"|NA|"75578"|"9"
"89"|"Z498C"|"R&D"|"Y3553W"|"3"|"3"|"5"|"5"|"5"|"4"|"4"|"49603"|"4"
"90"|"Y963Z"|"R&D"|"X8066X"|"2"|"6"|"3"|"4"|"3"|"7"|NA|"72109"|"10"
"91"|"K497Y"|"R&D"|"V4497X"|"1"|"3"|"3"|"2"|"2"|"5"|"5"|"54898"|"4"
"92"|"Q348G"|"Finance"|"Z7298V"|"2"|"3"|"3"|"3"|"3"|"5"|NA|"46329"|"2"
"93"|"F509O"|"R&D"|"Y3553W"|"7"|"1"|"7"|"7"|"7"|"3"|"2"|"104184"|"9"
"94"|"F903C"|"R&D"|"Z2464Y"|"6"|"2"|"7"|"7"|"7"|"4"|"4"|"47577"|"5"
"95"|"R443N"|"R&D"|"V4497X"|"2"|"1"|"3"|"4"|"3"|"2"|"3"|"102579"|"8"
"96"|"R819G"|"DSI"|"V8472W"|"5"|"7"|"7"|"6"|"7"|"7"|"7"|"67627"|"9"
"97"|"S875A"|"Finance"|"Y4468Y"|"1"|"6"|"3"|"2"|"2"|"7"|"7"|"57320"|"1"
"98"|"K218A"|"R&D"|"Z2464Y"|"4"|"3"|"6"|"6"|"5"|"5"|"5"|"76271"|"8"
"99"|"Y135Q"|"Finance"|"Y9641W"|"2"|"5"|"3"|"4"|"3"|"7"|"7"|"75704"|"10"
"100"|"Z537H"|"Finance"|"Z7298V"|"2"|"3"|"3"|"4"|"3"|"5"|"4"|"67318"|"9"
"101"|"Y108S"|"Finance"|"X7645X"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"69223"|"8"
"102"|"Y318H"|"Ethics"|"W2205Z"|"4"|"5"|"6"|"6"|"5"|"7"|"6"|"58908"|"0"
"103"|"L890B"|"Finance"|"Y7685W"|"2"|"7"|"4"|"4"|"4"|"7"|"7"|"131115"|"3"
"104"|"C452T"|"R&D"|"Z2464Y"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"45532"|"4"
"105"|"U504M"|"Finance"|"Y9641W"|"7"|"3"|"7"|"7"|"7"|"3"|"6"|"52815"|"2"
"106"|"J622K"|"R&D"|"Z2464Y"|"5"|"5"|"7"|"6"|"7"|"7"|NA|"93476"|"0"
"107"|"S268J"|"Finance"|"Y9641W"|"2"|"5"|"4"|"3"|"4"|"7"|"7"|"54120"|"0"
"108"|"I408F"|"Health"|"V7487V"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"108952"|"6"
"109"|"U356H"|"Finance"|"X7645X"|"1"|"1"|"3"|"2"|"3"|"3"|"2"|"53075"|"0"
"110"|"P845Y"|"Finance"|"Z7298V"|"3"|"5"|"5"|"4"|"4"|"6"|"6"|"133368"|"7"
"111"|"U139S"|"DSI"|"V8472W"|"7"|"4"|"7"|"7"|"7"|"5"|"6"|"53205"|"1"
"112"|"R368W"|"Ethics"|"X8022Z"|"1"|"1"|"3"|"2"|"3"|"2"|"3"|"51679"|"4"
"113"|"S722T"|"R&D"|"Z2464Y"|"3"|"3"|"5"|"5"|"5"|"4"|"4"|"130101"|"10"
"114"|"Y370X"|"R&D"|"Z2464Y"|"4"|"6"|"6"|"6"|"6"|"7"|"7"|"58351"|"5"
"115"|"P572X"|"Finance"|"Y7685W"|"4"|"4"|"5"|"5"|"6"|"5"|"6"|"77261"|"8"
"116"|"A526I"|"Health"|"Z4101Z"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"100713"|"6"
"117"|"V161Q"|"R&D"|"Z2464Y"|"3"|"6"|"5"|"5"|"4"|"7"|"7"|"66904"|"9"
"118"|"A800X"|"Finance"|"Y7685W"|"6"|"7"|"7"|"7"|"7"|"7"|NA|"46515"|"2"
"119"|"T828Q"|"Ethics"|"W7742X"|"4"|"5"|"5"|"6"|"7"|"6"|"7"|"57855"|"4"
"120"|"M377C"|"Ethics"|"W7742X"|"1"|"4"|"2"|"3"|"2"|"6"|"6"|"84361"|"6"
"121"|"U582H"|"R&D"|"X8066X"|"3"|"4"|"4"|"4"|"5"|"6"|"5"|"45473"|"7"
"122"|"Q633I"|"Health"|"W8102W"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"45819"|"4"
"123"|"A129A"|"R&D"|"Z2464Y"|"5"|"3"|"6"|"7"|"7"|"4"|"5"|"49550"|"2"
"124"|"S408M"|"Finance"|"Y4468Y"|"3"|"7"|"4"|"4"|"4"|"7"|"7"|"87103"|"2"
"125"|"U109X"|"Finance"|"X7645X"|"2"|"6"|"4"|"3"|"3"|"7"|"7"|"79265"|"8"
"126"|"H236P"|"Ethics"|"W7742X"|"6"|"2"|"7"|"7"|"7"|"4"|NA|"46291"|"2"
"127"|"B331B"|"R&D"|"Y3553W"|"7"|"5"|"7"|"7"|"7"|"6"|NA|"53135"|"4"
"128"|"J940X"|"Health"|"V7487V"|"3"|"3"|"4"|"4"|"5"|"4"|"4"|"72987"|"9"
"129"|"R419J"|"DSI"|"V8472W"|"4"|"1"|"5"|"6"|"6"|"1"|"2"|"58971"|"2"
"130"|"Q876B"|"Health"|"W8102W"|"3"|"3"|"4"|"5"|"5"|"4"|"5"|"49679"|"3"
"131"|"S529J"|"R&D"|"V4497X"|"5"|"7"|"6"|"7"|"6"|"7"|"7"|"46769"|"6"
"132"|"I183O"|"Finance"|"Y4468Y"|"3"|"1"|"5"|"5"|"4"|"3"|"2"|"75077"|"8"
"133"|"M591N"|"Health"|"W8102W"|"6"|"1"|"7"|"7"|"7"|"2"|"3"|"53024"|"1"
"134"|"A541O"|"R&D"|"V4497X"|"4"|"5"|"5"|"5"|"7"|"7"|"6"|"82062"|"8"
"135"|"B352U"|"R&D"|"V4497X"|"2"|"1"|"3"|"4"|"3"|"3"|"2"|"74281"|"8"
"136"|"L931O"|"Ethics"|"W2205Z"|"7"|"4"|"7"|"7"|"7"|"6"|"5"|"71123"|"10"
"137"|"B579J"|"Finance"|"Y4468Y"|"7"|"4"|"7"|"7"|"7"|"5"|NA|"54507"|"2"
"138"|"P810P"|"Health"|"Z4101Z"|"7"|"7"|"7"|"7"|"7"|"7"|NA|"125126"|"1"
"139"|"J449Z"|"Finance"|"Z7298V"|"1"|"5"|"2"|"3"|"2"|"7"|"7"|"71249"|"8"
"140"|"X166F"|"Finance"|"X7645X"|"7"|"3"|"7"|"7"|"7"|"6"|"4"|"57585"|"7"
"141"|"V280V"|"Finance"|"Y7685W"|"1"|"2"|"2"|"3"|"2"|"3"|"3"|"46489"|"4"
"142"|"S194X"|"R&D"|"V4497X"|"2"|"4"|"4"|"4"|"3"|"6"|"5"|"50834"|"1"
"143"|"Q826Y"|"Health"|"W8102W"|"4"|"5"|"7"|"6"|"6"|"6"|"6"|"53749"|"7"
"144"|"V247T"|"R&D"|"Y3553W"|"4"|"7"|"6"|"5"|"6"|"7"|"7"|"126940"|"3"
"145"|"A806M"|"Health"|"Z4101Z"|"7"|"3"|"7"|"7"|"7"|"5"|"4"|"58486"|"2"
"146"|"Y610A"|"R&D"|"V4497X"|"3"|"6"|"4"|"4"|"5"|"7"|"7"|"53427"|"5"
"147"|"F427Y"|"R&D"|"V4497X"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"59819"|"7"
"148"|"V177L"|"Finance"|"Z7298V"|"5"|"1"|"6"|"5"|"7"|"3"|"3"|"82002"|"2"
"149"|"G363J"|"Finance"|"X7645X"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"56185"|"7"
"150"|"U419X"|"Finance"|"Y4468Y"|"4"|"7"|"5"|"6"|"5"|"7"|"7"|"66812"|"9"
"151"|"G458M"|"R&D"|"Y3553W"|"6"|"1"|"7"|"7"|"7"|"2"|"3"|"45399"|"5"
"152"|"T332V"|"R&D"|"X8066X"|"6"|"5"|"7"|"7"|"7"|"7"|"7"|"124133"|"8"
"153"|"S928X"|"Finance"|"Z7298V"|"4"|"6"|"5"|"6"|"7"|"7"|"7"|"94155"|"8"
"154"|"M744E"|"Finance"|"X7645X"|"3"|"4"|"4"|"5"|"3"|"6"|"5"|"78364"|"9"
"155"|"W641V"|"Health"|"W8102W"|"4"|"6"|"5"|"6"|"6"|"7"|"7"|"56332"|"6"
"156"|"P451J"|"Finance"|"Y7685W"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"102572"|"1"
"157"|"B441E"|"Ethics"|"W2205Z"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"47427"|"3"
"158"|"M489I"|"R&D"|"X3607X"|"3"|"3"|"4"|"4"|"5"|"4"|"4"|"50289"|"4"
"159"|"S125R"|"Finance"|"X7645X"|"1"|"4"|"3"|"4"|"3"|"5"|"4"|"53679"|"5"
"160"|"P592S"|"Finance"|"X7645X"|"1"|"6"|"4"|"3"|"2"|"7"|"7"|"62030"|"4"
"161"|"J173O"|"Finance"|"Y4468Y"|"5"|"7"|"6"|"7"|"7"|"7"|NA|"59080"|"1"
"162"|"K572X"|"R&D"|"Z2464Y"|"3"|"7"|"4"|"4"|"4"|"7"|"7"|"104458"|"6"
"163"|"J296K"|"Health"|"V7487V"|"1"|"2"|"2"|"2"|"3"|"4"|"3"|"80080"|"9"
"164"|"T127O"|"Health"|"W8102W"|"5"|"3"|"7"|"6"|"7"|"4"|"4"|"51403"|"4"
"165"|"X362O"|"Finance"|"X7645X"|"2"|"2"|"3"|"4"|"3"|"3"|"3"|"53760"|"5"
"166"|"Q654U"|"Health"|"W8102W"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"47303"|"5"
"167"|"G814L"|"Ethics"|"W7742X"|"5"|"2"|"6"|"6"|"7"|"4"|"4"|"123022"|"8"
"168"|"Z905K"|"Finance"|"Y4468Y"|"4"|"4"|"6"|"5"|"5"|"6"|"5"|"53372"|"0"
"169"|"Z459G"|"Finance"|"X7645X"|"3"|"4"|"5"|"6"|"4"|"4"|"5"|"73507"|"8"
"170"|"J943W"|"Health"|"W8102W"|"2"|"7"|"3"|"4"|"4"|"7"|NA|"101093"|"8"
"171"|"B328L"|"R&D"|"X3607X"|"3"|"5"|"5"|"5"|"5"|"7"|"6"|"46768"|"6"
"172"|"X953B"|"R&D"|"V4497X"|"7"|"1"|"7"|"7"|"7"|"2"|"3"|"58659"|"1"
"173"|"U762Z"|"R&D"|"Z2464Y"|"5"|"5"|"7"|"7"|"7"|"6"|"6"|"45002"|"2"
"174"|"U611F"|"R&D"|"Z2464Y"|"2"|"7"|"4"|"4"|"4"|"7"|"7"|"48622"|"7"
"175"|"R178Q"|"R&D"|"Z2464Y"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"80323"|"10"
"176"|"C211B"|"R&D"|"V4497X"|"3"|"2"|"5"|"5"|"5"|"2"|"4"|"69011"|"8"
"177"|"Y617M"|"R&D"|"X8066X"|"7"|"5"|"7"|"7"|"7"|"7"|"7"|"76401"|"4"
"178"|"M538U"|"R&D"|"Y3553W"|"2"|"2"|"3"|"3"|"3"|"4"|"3"|"83641"|"2"
"179"|"X920H"|"Health"|"Z4101Z"|"3"|"1"|"5"|"5"|"5"|"3"|"2"|"51247"|"3"
"180"|"G853V"|"Ethics"|"W7742X"|"7"|"3"|"7"|"7"|"7"|"4"|"4"|"144249"|"1"
"181"|"E940H"|"Finance"|"Z7298V"|"4"|"5"|"6"|"6"|"6"|"7"|"6"|"59661"|"6"
"182"|"L276H"|"Finance"|"Y4468Y"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"99923"|"9"
"183"|"J207A"|"Ethics"|"W2205Z"|"3"|"4"|"5"|"4"|"5"|"5"|"5"|"121745"|"1"
"184"|"C252M"|"Ethics"|"X8022Z"|"7"|"3"|"7"|"7"|"7"|"5"|NA|"70555"|"10"
"185"|"O521Q"|"Finance"|"Y7685W"|"6"|"1"|"7"|"7"|"7"|"3"|"2"|"58156"|"0"
"186"|"Q834C"|"Finance"|"Z7298V"|"6"|"3"|"7"|"7"|"7"|"5"|"4"|"136184"|"10"
"187"|"J518S"|"Finance"|"Z7298V"|"7"|"7"|"7"|"7"|"7"|"7"|"7"|"47993"|"4"
"188"|"R167I"|"Ethics"|"X8022Z"|"6"|"6"|"7"|"7"|"7"|"7"|"7"|"119300"|"3"
"189"|"M440F"|"Finance"|"Y7685W"|"2"|"6"|"4"|"4"|"3"|"7"|"7"|"46962"|"6"
"190"|"P482K"|"R&D"|"X8066X"|"3"|"5"|"4"|"4"|"5"|"7"|"6"|"53234"|"1"
"191"|"B119R"|"Finance"|"Y4468Y"|"1"|"1"|"3"|"3"|"3"|"2"|"2"|"66687"|"9"
"192"|"F389B"|"R&D"|"V4497X"|"1"|"3"|"2"|"3"|"2"|"5"|NA|"58309"|"5"
"193"|"L266N"|"Finance"|"X7645X"|"7"|"6"|"7"|"7"|"7"|"7"|"7"|"67721"|"0"
"194"|"S654I"|"Finance"|"Y9641W"|"3"|"5"|"5"|"4"|"5"|"7"|"6"|"85269"|"10"
"195"|"H841K"|"Ethics"|"X8022Z"|"7"|"5"|"7"|"7"|"7"|"7"|"7"|"143919"|"1"
"196"|"H937T"|"R&D"|"X8066X"|"5"|"3"|"6"|"7"|"6"|"4"|"5"|"61539"|"10"
"197"|"P620N"|"Health"|"V7487V"|"5"|"7"|"7"|"6"|"7"|"7"|NA|"45738"|"5"
"198"|"F714L"|"R&D"|"X3607X"|"6"|"7"|"7"|"7"|"7"|"7"|"7"|"119536"|"10"
"199"|"S796P"|"Ethics"|"W7742X"|"1"|"2"|"2"|"3"|"2"|"4"|"3"|"139622"|"2"
"200"|"X728W"|"Finance"|"Y9641W"|"7"|"3"|"7"|"7"|"7"|"4"|NA|"90173"|"3"
"201"|"X390Y"|"Health"|"Z4101Z"|"1"|"7"|"2"|"3"|"3"|"7"|"7"|"76557"|"7"
"202"|"X681F"|"Ethics"|"W7742X"|"7"|"3"|"7"|"7"|"7"|"4"|"5"|"61151"|"9"
"203"|"K941W"|"Health"|"W8102W"|"2"|"2"|"4"|"5"|"3"|"3"|"3"|"53093"|"4"
"204"|"I570V"|"Health"|"V7487V"|"6"|"4"|"7"|"7"|"7"|"5"|"6"|"46226"|"3"
"205"|"M877R"|"R&D"|"Y3553W"|"6"|"1"|"7"|"7"|"7"|"2"|"3"|"93644"|"10"
"206"|"N629F"|"Finance"|"X7645X"|"5"|"5"|"7"|"6"|"7"|"6"|"7"|"78492"|"8"
"207"|"D931Z"|"Ethics"|"W7742X"|"1"|"6"|"2"|"2"|"3"|"7"|"7"|"57711"|"5"
"208"|"F640K"|"Ethics"|"X8022Z"|"6"|"4"|"7"|"7"|"7"|"6"|"6"|"49146"|"3"
"209"|"Z930S"|"Finance"|"Y7685W"|"7"|"4"|"7"|"7"|"7"|"6"|NA|"54629"|"1"
"210"|"J853A"|"R&D"|"Z2464Y"|"2"|"1"|"4"|"4"|"4"|"3"|"2"|"63051"|"7"
"211"|"B149R"|"Ethics"|"W7742X"|"5"|"7"|"7"|"7"|"7"|"7"|"7"|"69926"|"8"
"212"|"Z173Z"|"Health"|"Z4101Z"|"7"|"4"|"7"|"7"|"7"|"6"|"7"|"81660"|"9"
"213"|"C511N"|"Finance"|"Y9641W"|"4"|"1"|"5"|"5"|"5"|"2"|"2"|"57409"|"3"
"214"|"Q718W"|"Ethics"|"W2205Z"|"2"|"3"|"4"|"4"|"3"|"5"|"5"|"77845"|"8"
"215"|"V489Z"|"R&D"|"X3607X"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"46366"|"4"
"216"|"J688C"|"Health"|"V7487V"|"7"|"2"|"7"|"7"|"7"|"3"|"3"|"58777"|"2"
"217"|"F509E"|"Health"|"Z4101Z"|"3"|"5"|"5"|"4"|"4"|"7"|"5"|"57410"|"4"
"218"|"N803J"|"Ethics"|"X8022Z"|"1"|"2"|"3"|"2"|"3"|"3"|"3"|"94986"|"4"
"219"|"V271J"|"DSI"|"V8472W"|"7"|"5"|"7"|"7"|"7"|"6"|"7"|"62261"|"6"
"220"|"B745I"|"Ethics"|"W7742X"|"6"|"5"|"7"|"7"|"7"|"7"|"6"|"74910"|"9"
"221"|"H894T"|"DSI"|"V8472W"|"1"|"5"|"3"|"3"|"2"|"6"|"7"|"74352"|"10"
"222"|"O930E"|"Finance"|"X7645X"|"2"|"2"|"3"|"4"|"4"|"3"|"4"|"144121"|"8"
"223"|"K460D"|"Finance"|"Y9641W"|"3"|"3"|"4"|"5"|"5"|"5"|"5"|"48911"|"4"
"224"|"P139P"|"DSI"|"V8472W"|"6"|"5"|"7"|"7"|"7"|"7"|"7"|"79305"|"3"
"225"|"M734T"|"Finance"|"Y4468Y"|"6"|"2"|"7"|"7"|"7"|"4"|"4"|"77815"|"10"
"226"|"V804U"|"Finance"|"X7645X"|"7"|"5"|"7"|"7"|"7"|"6"|NA|"74021"|"8"
