"","review","id"
"25","Niveau de salaire plutôt au dessus du marché, management permettant une réelle prise d'initiative et une grande autonomieAmbiance de travail agréable. Aucune fiabilité de la DirectionBusiness Modèle peu clair et à la tête du client. Arrêtez de dire aux personnes ce qu'elles veulent entendre et soyez plus honnêteStop aux petits arrangements entre amis.Il est temps de récompenser aussi les travailleurs de l'ombre","V199I"
"26","it helps you to be more responsible and patient. to be more accurate in time and dealing with different people.. its not as easy as what others thinking of telemarketers, its quite difficult wherein you need to be more patient enough in dealing with your clients.. be more appreciative and kind to your employees","O699Q"
"27","Absolutely the best company I have ever worked for. The management truly cares about the clients they serve and treats their employees like family. This company is more than a job...it is the best career one could hope to obtain.. I don't experience any downsides to this job. If you want to make 300K a year you have to work hard. What would someone expect for that kind of potential????. Continue to do what you're doing. The level of support is amazing and the values this company represents are outstanding.","K944D"
"28","Unorganized so you can lay low under the radar and still get paid. So don't worry kick back have a cocktail smoke a blunt bcuz once your in your in. They rarely ever fire people.. Management is extremely unprofessional and lacks the skill-set to effectively manage a team. Promote from within is based on how much butt you kiss. Regionals are uneducated, upper management incompetent.. NA","Q312G"
"29","I have tried very hard to fill in this section, but unfortunately I am not able to come up with any pros about this company. The only good thing I can say is that REDACTED MANAGEMENT CONSULTING does have a fancy (fraudulent) company name and official website to attract (mislead) people to join the company.. 1. THIS IS NOT A MANAGEMENT CONSULTING COMPANY. IT IS PURELY IT CONSULTING.2. The lowest pay you can ever find in the market compared to other IT consulting companies, not even to mention management consulting.3. Limited personal career development opportunities. Have no right to choose project. It totally depends on luck which project you will be assigned to.4. There is no structure in the company, no structured way to evaluate employees' performance, no transparency about salary increment and promotion criteria.5. The management does not listen to you. They do not care about your opinion, your concern, your feeling, especially your personal career development.. Please do not use false advertisement to cheat people anymore. This is a terrible company.","O731D"
"30","Good starting pay. Good work environment. Great people! They are Very flexible and easy to work with. If you need a shift covered or want extra shifts, you can usually do either in a mater of minutes.. Working outside sucks sometimes. Working hourly, sometimes you won't get as many hours as you want, but it usually works out.. NA","O544V"
"31","When I first interviewed for REDACTED / STEP STRATEGY and saw the Glassdoor Reviews, I wrongfully doubted the value of the summer internship program. However, after spending a summer with REDACTED / STEP STRATEGY,, I cannot thank Sharona and the team enough. As a University of Virginia student, I came into the program with some experience in a Series B start-up, but no management consulting experience. To my surprise, I was placed in a beautiful open office overlooking a mountain range in Brentwood, one of the most affluent neighborhoods of Los Angeles, California. On one of my first days I was taken on site to a credit retailer with over $600 million in annual revenue and worked with the principals on a systems analysis of the accounting, merchandising, floor planning, and customer relations systems. The office runs quite like a start-up company. Each intern comes from some of the most elite schools in the country and brings a unique perspective and network to the program. I had the privilege to pitch my own ideas to the principals of the firm, who have high profile connections to top CEOs in Los Angeles and Israel. When my ideas were determined valuable, I was given the freedom to work on my own projects throughout the summer, culminating in an event in August where we met C-Suite management in cutting edge virtual reality, augmented reality, gaming, entertainment, ad-tech, venture capital, angel investing, production, cybersecurity, and technology firms. Whether a high-growth start-up in Silicon Beach that just closed a $60M funding round or a billion-dollar established enterprise, I saw first-hand how Sharona commands the respect and admiration of power players in business. We even got to meet Yossi Vardi, the Godfather of Israel’s hi-tech industry, which is now the second start-up ecosystem in the world with $2.8 billion invested in the first half of 2016 next to Silicon Valley. Yes, Sharona has high expectations for the work you deliver but these expectations were only to help the interns develop as professionals. I believe that the previous Glassdoor reviewers just may not have the ability to take constructive criticism and use it to inspire better work habits. Each day we have access to a kitchen filled with snacks and drinks. In fact, we either all go out for free lunch or order free lunch to the office, where we discuss recent M&A activity and business news over a meal. Bottom line is I appreciate Sharona for developing me professionally and turning an amateur management consultant to an analyst with contacts throughout the business world and experience with multi-million dollar clients. I would even recommend the program over a more well-known firm because the ability to work intimately with experienced PwC principals gave me more experience and access than I would have as just another intern at the bottom of the totem pole in a bigger firm.. The need to adapt to constructive criticism.. Keep hiring high power interns.","X278H"
"32","It was a good place to learn about recruitment process. Communicated with colleagues was difficult because of local language. nothing","U271G"
"33","Washington DC management is excellent, many former military consultants. A very collaborating bunch of people, competitive balanced with cooperative. A nice mix.. Small firm, name recognition is not established, especially among the top 10. The Washington DC office, sometimes goes light on consultants backgrounds due to the need for security clearances.. Expand and Grow, and continue with alumni relations, I have sent a numbers of emails to your partners in China, stating that I am a former REDACTED consultant, and I never got a response back.","V190W"
"34","There are some good, dedicated people who deliver despite everything.. REDACTED is weighed down by archaic systems and software and doesn't really offer a differentiator to the market.Finance rules everything which is understandable to some extent, but it should be tempered by the realisation of what REDACTED is supposed to be there for. There are a lot of people who have all but given up and are sick of living in a world of instability and initiatives. Do something decisive and then stick to it.Consulttations and initiatives have their place but you can have too much of a good thing.REDACTED used to have a good name as a civil engineering consultancy. Now we are a just about OK one","P713D"
"35","New in India. Started in 2012 but is growing at a great place.. Amazing. Great learning opportunity. Amazing work culture Very participative and inclusive growth. Top management give personal attention. None.","D612F"
"36","Enjoyed working with great people. They are cloing the doors soon. NA","A392M"
"37","The students are generally great. Scrappy, inquisitive, down-to-earth. Lots of freedom to design curriculum. Relatively few bureaucratic expectations for adjuncts.. Almost NO mentorship or development. Very little connection to fellow faculty. Low pay when you factor in class prep and grading, etc. NO job security whatsoever. Constant threat of being not renewed for ambiguous criteria. Very little feedback/ review. No health benefits or opportunity for advancement for adjuncts, even after many years of continuous employment.. Much more significant onboarding support. Pay according to overall hours of work, not just classroom hours.","M452T"
"38","Great culture - work hard, play hard attitude. Rewarding work and high-level engagements. Everyone is friendly and entrepreneurial. The firm is experiencing exponential growth and provides opportunities for advancement, for those who seek it.. Hours can be a bit long but this is nothing new to the management consulting industry/lifestyle.. Continue to do what you are doing.","Z591L"
"39","Small team, direct relationship with managers, work indepedently and lots of trust on my work and decisions. International environment and lots of flexibility.. Reduced support from the team. Perhaps big responsabilities rely on very young and inexperienced proffesionals.. Needs more coordination among the team","F850G"
"40","Decent benefits and interesting strategic projects. As a former Kurt Salmon employee, I was skeptical when REDACTED acquired KS for several reasons: 1. REDACTED’s lack of reputation/poor brand recognition in the market 2. Lower compensation/benefits packages. 3. Unclear strategic vision for the future of the firm. 4. Client work quality okay at best (all surface, no substance). However, I remained optimistic and stuck around to see how well the two firms would integrate. MISTAKE. It only took a short time to learn that (in addition to all of the above) REDACTED’s overall culture and morale, lack of transparency from leadership, and treatment of their employees was disappointing at best.-Culture and morale: REDACTED has an outdated, office-based culture (Why do traveling consultants need offices in 2017?), resulting in largely empty offices with low morale. There is an unreasonable expectation that staff bill 100% of their time (85% billable work and 15% PTO) and billable hours/timesheets are micromanaged down to the second (e.g. “I see that you have 4 hours free this week. To fill your time, please copy and paste your life away and bill it to a client”). Consultants are often doing busy work that adds nothing to their professional development simply to fill up timesheets. This results in extremely overworked, poorly managed, burnt out, and undervalued staff.-Lack of transparency from leadership: Major decisions are being made at the top and employees are not notified until leadership cannot hide it anymore. For example, firing the entire marketing department, cancelling the summer internship program, and letting go 25-30 legacy KS employees (& several other REDACTED consultants) is something that has downstream implications to remaining employees. Yet, REDACTED leadership denied it as “rumors” and continues to do so not only in the press, but on Glassdoor (look at their responses to reviews). It’s sad that leadership would rather protect their reputation as the “best place to work” than be honest about what’s actually happening. Judging by the major staff reductions coupled with their public claims of “strong growth,” it appears that leadership is positioning to sell the company.-Treatment of employees: Consultants are treated as workhorses, expected to make the firm look good or make money at every moment. Leadership appears cheap (cancellation of company retreats/consultant bootcamps) and solely profit-driven. Employees have been asked to share glowing reviews on public forums (LinkedIn, Glassdoor, etc) to beef up appearances.. Consulting is a human capital business and the world of healthcare management consulting is small. Treat your employees poorly, and you will feel the results sooner or later. Don’t deny the honest, constructive feedback provided on forums like Glassdoor. Spend some time evaluating your business internally and being a little more self-aware.","F448U"
"41","Great people and office culture. Not enough dissemination of information from management. Share your strategies more.","R113O"
"42","Great Office Location, Friendly work environment, good sick pays.. Non-flexible working hours, terrible parking, no bonus.. Need to more transparent at management, and improved productivity+ efficiency.","Z239I"
"43","compared to other companies, none. immature management that promote terrible office environment full of snickering, gossip, and backstabbing. really straight out of a movie. company's been sued for adjusting time sheets. I have had time sheets changed, bonus structure is severely confusing.. HR","H885W"
"44","I was referred to REDACTED through a friend and I liked my interview and appointment process. The team is made of really genius people who are warm and friendly. We are getting new, big assignments with each day and the days are super filled with work. I am getting to learn quite a few new things everyday and having fun in the process.. There are no cons to working here. Fun work, good salary, good environment, professional people ... no complaints. No advice from me. I am young and happy to learn in such an all-round business environment. Best of luck.","I242N"
"45","Great training and educationNice colleagues. Working hour is not flexible.Need to clock in and clock out on time.. NA","Z380H"
"46","Nice staff, good benefits, good compensation. I very much enjoy working for REDACTED.. At this time, I have no cons.. NA","D558Z"
"47","Reliance Software product is a good product.. Company uses bait and switch techniques.. Unfortunately management isn't interested in listening to any advice. Like many small companies they succeed despite themselves.","Q624A"
"48","Great upper management, opportunity for advancement, team building activities. REDACTED has not yet been established in GA. Bring your company to Georgia","I473H"
"49","You are able to work from home. They have a great HR department. Nice annual trip. The interims are great to work with.. They expect you to work 16 hours a day and get paid for 8. Employee benefits are high. Negative work environment.. Learn how to treat your employees better.","L279F"
"50","Good working condition, flexible time. Long process, waiting time is a bit long. NA","I449L"
"51","Working in the office, helping customers select a storage unit, truck rental, or take a payment.. Most of your free time your the company janitor, with a fancy title. Your dusting, doing windows. Vacuuming, mopping, picking up trash on the street, trash cans, scrubbing bathrooms, sweeping hallways, hauling leftover customer trash to the dumpster, doing pest control, cleaning out the back of UHaul trucks, cleaning storage doors, and much much more in the swelting Florida heat. With little appreciation at all.. More respect to employees, don't look down to them. Don't only look up to your DM or Storage Managers. Your employees work just as hard for you, and deserve just as much respect and appreciation.","L539X"
"52","Decent pay, friendly management, set schedule. No overtime available, can be laid off at any given time, no upward mobility. Medical should not be mandatory especially when 90% of your employees are veterans and have their own medical through the VA or tricare. See cons","U339N"
"53","Independent, Warren had lots of connections. Warren retired, was a great gig while he was focused. None","X368K"
"54","Good time flexibility, good location to avoid rush hour as you travel in the opposite direction of traffic, some very good managers. Awesome Christmas parties! Friendly coworkers.. Too disorganized, lacks of proper planning at the management level and it reflects in some of the internal procedures.. NA","H639N"
"55","- Highly-visible, high-impact projects (you work with the C-Suite)- Well known and respected among clients- Professional development is a big part of culture- Decent work-life balance (for consulting)- Good snacks in the office!. Hours can be long and variable, but that's the nature of the industry. Continue investing in professional development and mentoring programs","O533O"
"56","AMC has been acquiring properties to manage left and right, so the growth opportunity is very positive and probable. AMC likes to promote within, so opportunities come available sooner than you may think. The office culture is very casual and friendly; you won't find upper management in 3 piece suits and refusing to speak to the ""little people"", aka the ""assistants and leasing staff."" It's great to work for a company that actually follows and maintains the ""open door"" policy. Upper management is very approachable, and definitely serves as true mentors in your career. I have been extremely fortunate to work under (in my opinion..) the absolute best Regional Manager, ever. Being able to express my concerns, asking for career guidance, requesting more challenging opportunities, and even just being able to vent about reports has been great. Even with having one of the largest portfolios in the company, this RPM has made sure to tend to each and every property AND employee with the utmost attention, and in a very timely manner. Be it 6am, or 11pm, and you need some assistance with your duties, the RPM makes them self available and values your effort, drive, dedication, and even perfectionist persona.The pay rate is very decent. I wouldn't say the best, but very competitive. The plus to an average base pay is the opportunity for some amazing bonuses.The hours are standard, and AMC does seem to understand and push for a good work-life balance. The on-site staff at nearly every property I've visited has been extremely friendly and knowledgable. Working with AMC does not feel like working for a large corporation, where they address you by your employee number. Rather, it feels more like a family; we are brothers and sisters (our cousins if we're in different portfolios :) ). You get positive feed back, and constructive criticism from all levels of upper management, including the VP, President, and the owners of the respected property. Each level of the management tier truly does show their appreciation for their employees, and they do whatever they can to ensure everyone is happy in their position and with their career path. AMC has helped me find more than a job; they've help me create a positive and upwards-going career, and I will forever be grateful for the guidance, support, generosity, and career training they've provided myself and my staff.. The overall benefits package is very so-so; 80/20 coverage, only one provider, no options, no 401k match, no company paid life insurance, no employee assistance. There also needs to be structure and written policy amongst the company to make transitioning from one property to another easier. Each community has it's own ways of doing things, there is no set policy, and you kind of make it up as you go, unless you have a great mentor who is willing to guide you (which in my case, I did!) Property staffing is normally limited, and 75-% your property will be short handed because another property needed coverage. Having access to credible temp workers, floaters, etc would help so much with basic efficiency at the property level.. Provide options and better coverage levels for health insurance. Also provide more hands on training, employee education reimbursement for acquiring PM certification/accreditation, and give us our drop boxes back! Having more efficient accounting software that is more user friendly and adaptable to change would be great! And going to a 30, or even 45 day notice rather than a 60 day would really help with resident satisfaction and retention. Having a better online rent-pay option that does not have such steep fees would be amazing! And having proper staff coverage would make a huge difference.","T921J"
"57","good experiencehelpful environmentlot of things to learncreative assignmentsdirect follow ups with candidate. management standard could b e higheroverall good. nothing","O485G"
"58","Nationwide company...easy to move around and up.. Too many hours. No support from upper management.. Fight for more staff to relieve mgmt from working so many hours.","V311Y"
"59","Work-life balance, Leadership, exposed to lots of Skills. Nothing much to say about the company. NA","L722Q"
"60","Leads were not the best. Drive time was the worst.. Can be good money. No other pro... NA","G508T"
"61","I get to enjoy a great working environment with great residents. I have a healthy relationship with my boss and really enjoy my career with AMC. I have been trusted to travel with AMC to open a new acquisition which was fulfilling and rewarding and fun! I would recommend AMC LLC to all of my friends in the Property Management field.. Some might find the amount of reporting to be heavy; however, I tend to excel at those kinds of job responsibilities.. N/A","P929M"
"62","They've got great benefits package, as well as a great brand new facility right on the water. They do seem to care about their employees - and more importantly, their customers.. Can feel a bit like a cog in a wheel, as there are so many people there. Not a clear career path, and felt like you could get stuck in a dead end. They can tend to hire minimally to cut costs, when they would actually benefit from hiring according to demand.. Continue caring about your employees and building the division, as it will only deliver better customer experiences, and better business.","N916L"
"63","Relaxed, friendly and professional work environment for the most part. IMC gives decent salaries and packages with respect to the market.. Unclear vision to where the company is going and how teams should be structured. Poor senior program and project management.. Be more creative, flexible and adoptive to technology and market trends. Get your hands on and replace/hire a new management layer that is really capable of taking on their responsibilities.","C849Z"
"64","Good pay for a summer job. Work was boring at times. NA","R572E"
"65","there isn't one single thing I could say that would be considered a pro for this awful company.. Worst company I've ever worked for. They won't be around for much longer. If you like to be micromanaged and belittled this is the place for you.. move on with your lives, your company won't be around for much longer.","G970Z"
"66","Sets a platform of oppurtunity for those entering the businessss world. It was very unorganized but has potential. NA","L795Y"
"67","Challenging analytics projects that drive a lot of value. none. there are no cons. NA","S465Z"
"68","hours are flexible, based on your schedule. pay is not that great, no raises. NA","N348W"
"69","Great atmosphere and people to work with.Smart directors that are passionate about their areas of expertise.Down to earth people that are not overly concerned with face time or status - more concerned with high quality work. Dispersed offices make it a challenge to network with Directors.Difficult to balance the NBD work with ongoing projects.Directors very busy on the projects with limited time for NBD on new clients.. Continue investing in current employees to populate future Directors of the Firm","A795V"
"70","Einblicke in Prozesse zwischen und über verschiedenen Geschäftsbereichen und -ebenen eines Großkonzernes. Schwerfällige und langsame Prozesse, Projekte ohne wirkliche Auswirkungen, Initiativen und Programme die nach Weiterleitung auf Geschäftsebenen verwässern, Erfolglose Umstrukturierungsversuche. Zu viel Personal und redundante Geschäftsabteilungen mit unklaren Rollenverteilungen","T304L"
"71","Respect for employeesOpen culturePay scales in line with the marketFlexible work hoursOpportunities to lead the project from document preparation to client presentations. Sr. Management in-fighting & politicsWeak sales pipelineOne vertical driven sales and managementErroneous recruitment; shallow background checks leading to improper selections and misfits within the organization (while white hair may mean experience, it does not always ensure good leadership skills)Over-preference for short term/ temp staff. Sort out management issuesDevelop a multi-vertical sales pipeline (real estate, energy, defence, finance, etc)Recruit consultants with thorough credentials and relevant work experience","C589K"
"72","Great work culture, great colleagues, interesting projects. work life balance is affected due to undue expectation from the clients. better work-life management","X339G"
"73","Pay, that is the best they have to offer.Air, is free.. Everything else is bad, is what they do not have to offer.. Stop stealing our benefits, your people are your primary resource.","Y354X"
"74","Kulturschnelles WachstumWork-Life-Balance (Ausgleich zwischen Beruf und Freizeit)Umgang mit dem Senior Management des Kunden. Die Vergütung ist durchschnittlich, verglichen mit dem Branchenstandard.. NA","T303M"
"75","Flat structure makes it easy to work with senior level resources and get opportunities beyond your tenure. You'll be asked a lot from day 1 - challenging environment but great place to learn. The culture is the strongest thing for REDACTED and keeps it a valuable place to learn - don't let that slip!","J537A"
"76","work Culture. Induction ( all new joiners need to come to chennai for induction ) as all top management people need to meet you in personal. Gradual & assured growth.. working in Franchisee center in boring. No proper REDACTEDndates to work no proper company to do BD.etc.,. It will be better if u give some senior or similar role when u move employees from one location to other.","M657E"
"77","Good work/life balance, fun atmosphere and work environment. managing turnover, benefits are under market standards. NA","R677K"
"78","* Surprisingly, maybe coz they dont know how poorly the place is run, REDACTED does get some cool clients for their size and markets. Impresive client list that you can show off to next recruiter. * Arrogance of senior level folks* Disregard for learning opportunities for analysts* low pay and ridiculous travel demands, with low-grade worker-level accomodation* new strategy from MD every 3 monthsSeriously- the positiverecommendations you see on front page are fake. They are clearly written by management. Work with them for short time and you will come to know their writing style...then you read it here also. This isnt the worst ever place to work, but they dont value junior staff. its that simple. All of the project delivery relies on you, but no one will treat you like that. Just know that, and read all the reviews before you make your decision to recruit on campus at SP Jain or other B Schools. Implement project reviews that has a check-in with all project teams weekly, so no EM can let a project languish and no Director can come in last day and demand all new work. This is crazy and SO common. Also, charge more from clients- stop competing 100% on price coz then margins, bilable time, and accommodation are bad and consultants are the ones who suffer.","B676X"
"79","Benefits are 100% company paid, wage is above average for region.. Management at all levels is totally incompetent. Company is still in the paper age...not tech savvy at all. Make sure all discussions with management are in writing as they have a problem with being truthful.. Learn to be truthful when hiring someone and gain management skills.","Z986B"
"80","Good projects to work on, autonomy some times given.. Bad management style, zero work life balance, no respect for individuals. No point.","C337I"
"81","Good PayGood BenefitGood PeopleGood Mission. Limited HoursPoor Vacation time/ work time ratioPaper time keeping. I liked working for MANCON,","K980Y"
"82","My Skills & Views are highly appreciated. No difficulties until i am taking efforts.. Need to identify many more of us...","E529K"
"83","environment is very good, the balance between work and life is good. free coffee, nice colleagues, good environment. NA","W614K"
"84","gute atmossphäre und nette kollegen. gehaltsentwicklung leider sehr zähnund langwierig. NA","L225L"
"85","manager is really bad for reason. owner is really good for reason. need more traning","P424T"
"86","-Friendly environment-Flat Hierarchy: Everyone is considered equal, healthy arguments are encouraged-Flexible Timings: Employees must stick to the minimum working hours. - Goals set for the team is totally fluctuating- Free lunch provided in the premises can be made better. NA","N942N"
"87","Good co-workers. Decent work life balance.. There is a cupboard full of skeletons. No respect for either customers or employees. Fake designations to satisfy egos.. Respect your employees.","M306K"
"88","REDACTED has a great leadership culture and values employees.. REDACTED programs are often on-site and being in DC can be difficult.. NA","Z498C"
"89","good organisation with lot of learnings. more of people pressure than work pressure. NA","Y963Z"
"90","nice employer, quite work environment, various tasks, a good place to start from.the people of ""high places"" are very nice and eager to teach.. a very small company and therefore not too many promotion opportunities, some portion of the time you have to deal will none engineering tasks.. create a bigger work load for new workers so they could commit to the job, allow a full time positions for new comers.","K497Y"
"91","Nice company to work with. No cons as of now.. None","Q348G"
"92","It was a great atmosphere. Long hours and low pay. NA","F509O"
"93","As an entry level associate its a good company. It gets you acclimated to customer service , security and professionalism in a corporate setting. they paid on average or a little higher than other entry level security companies.. they don't rotate uniforms very often on site. they only provide 2 sets of uniforms for full time staff ,and the uniforms although they look okay when you first receive them they tend to get beat up so if you don't pay the dry cleaners every week you'll begin to get dingy.the hours are many be full time on paper but during summer & winter they feel seasonal, they say that hey offer other places to make up hours but the sites are few and far in between.there is no overnight differential even though i'm pretty sure there is a law against not having one.the officers are scared of supervisors who are scared of management all because people aren't dealt with because of bad conduct but because of how the person is feeling that day.. listen to the suggestions of the staff and not the supervisor who kiss so much behind they're just happy to be around, They will never give proper insight into the conditions of guards","F903C"
"94","Amazing team, feels like a family; flexible schedule and holiday getaway discussions, you can take sick days pretty easy when you need them; free fresh fruit and veggies in the office. A small team, lack of performance is easily noticeable; small office, need to be the Jack of all trades, wear different hats and be able to multitask. Keep on moving this direction, keep on promoting smart people and attracting sharp and hardworking employees","R443N"
"95","HR Department, Accessibility to others, established company. I don't have any cons to list as of yet.. NA","R819G"
"96","This role is suitable for any student with Industrial Engineering background and good statistical process improvement knowledge.Best opportunity for International students as you will also learn how to carry yourself in the professional world, along with gaining knowledge.. No set structure of work so the will need high capability of thinking out of the box. But, this can also turn out to be a good learning opportunity.. NA","S875A"
"97","Personal and target oriented management. The Hungarian business environment makes complex problems in administration and in the daily work as well. NA","K218A"
"98","You will be an expertise in auto industry if you work here for more than one year. You can experience life of a consultant in the first day entering in haistand. If you do not mind salary, may haistand is a nice choice. Remember , you are not only a consultant in haistand.. NA","Y135Q"
"99","Work from home, no set hours.. Unverified leads. Information flow incorrect. Sent to businesses that had been closed for seven years with a note on the door. Must pay for own travel expenses daily.. Be honest with field staff and set them up to succeed.","Z537H"
"100","Great team, very positive working atmosphere. A lot of responsibility from day one thanks to the size of the team.. Salary below expectation level. Lack of communication between senior and junior colleagues, sometimes leading to general misunderstandings.. NA","Y108S"
"101","great team members, decent management. frequent weekend work, over work their resources. do a better job all around","Y318H"
"102","Strong growth.Great company cultureSteep learning curve. Project workload can be massive. NA","L890B"
"103","Working here really does give you the foundation to learn about business within all industries, I learned to navigate senior decision makers from SMEs right through to Multi National Corporates, I learned how to maximise business relationships to prosper and flourish and I earned a great deal through doing so.I was supported by a transparent and approachable management team, they inspired me and pushed me to be successful, I had to work hard for it though, success in this industry doesn't land in your lap!The offices are great, the team are social, the atmosphere is work hard, play hard. I learned, was mentally stimulated and encouraged to challenge the status quo. I was mentored by the CEO and I developed immensely.I would definitely recommended to other career starters through to 3rd or 4th jobbers. Business development is a large part of the role, if you are uncomfortable with networking on the phone or meeting clients this inst the role for you. I would recommend so not much, keep up the awesome Christmas parties and keep keeping it fun!","C452T"
"104","Consistent workVery nice and understanding boss. Limited hours as a studentLack of directionLow hourly rate. NA","U504M"
