,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"id","team","manager","jobTasksSDSA","jobBalanceSDSA","jobPaySDSA","jobRecognitionSDSA","jobAdvancementSDSA","jobCoworkersSDSA","jobManagementSDSA","salary","tenure","age","genderFM","degreeBMP","citizenNY"
"N436H","Finance","Z4040W",4,3,5,5,5,5,5,69930,3,24,1,3,2
"X631Q","Ethics","W4935V",3,5,5,5,4,7,7,60165,6,44,2,3,2
"A654L","R&D","X2508W",2,5,3,2,4,6,6,79230,9,43,2,2,2
"P207V","Ethics","V5401Z",1,3,3,2,3,5,5,54722,4,41,2,1,2
"K288R","Finance","Z5440X",5,5,5,6,7,6,,106819,4,53,2,3,2
"N137H","R&D","X2508W",3,1,5,4,4,2,3,55215,3,32,2,2,2
"A199C","Finance","Z5080X",4,5,4,6,6,7,,57222,7,32,1,2,2
"M962K","Health","X3361V",5,3,6,6,6,5,3,105500,4,41,2,3,1
"H240K","Finance","W7052V",2,3,4,3,3,4,4,47930,5,47,2,1,2
"C367M","Finance","Z4040W",4,4,6,5,6,6,,52182,1,22,2,1,2
"L595Z","Health","Y9874X",1,1,2,3,2,2,3,46224,4,55,1,1,2
"D982N","Health","Y9874X",2,3,3,4,3,5,4,83037,10,25,2,3,2
"N934H","Finance","Z5440X",3,2,4,5,4,4,4,57270,0,36,1,2,2
"C255K","Finance","Z4040W",5,4,6,7,7,5,6,70201,8,30,2,1,2
"R359E","Finance","V1626X",1,3,2,2,4,4,4,74638,1,23,2,3,2
"B554U","Health","X3361V",2,1,4,4,4,2,2,53949,6,30,2,1,1
"P583H","Ethics","V5401Z",5,1,6,6,6,2,3,53163,6,51,1,2,2
"B523N","R&D","W6837Y",2,3,3,4,3,4,5,139026,8,54,2,3,2
"N272I","Health","X3361V",3,5,5,5,5,6,6,144553,5,49,2,3,1
"Z769A","R&D","W6837Y",3,4,6,5,4,5,5,125717,7,27,1,3,2
"B331M","Health","V3988Z",5,5,7,7,7,7,,104543,7,35,2,3,2
"P111Q","Finance","Z4040W",4,3,6,6,6,5,5,72354,9,44,1,2,2
"W910F","Finance","V1626X",3,4,4,5,5,6,6,130583,10,31,2,3,1
"P716I","Finance","W7052V",5,3,7,7,6,5,,69791,9,49,1,1,2
"C382A","Finance","Z5080X",4,3,5,5,6,5,,75559,8,35,1,2,2
"A694N","Finance","Z4040W",5,3,6,6,7,5,4,73086,8,51,1,2,2
"Q327Z","R&D","V4859W",4,5,5,5,6,7,,74745,5,39,2,3,2
"I580K","Health","Y9874X",1,4,3,3,2,5,5,58653,3,28,1,2,2
"W823D","Health","Y9874X",1,2,2,3,2,4,4,51044,3,55,1,1,2
"Q203J","Ethics","W4935V",3,5,4,4,5,6,6,72898,10,52,1,1,1
"G835X","DSI","Y7924Z",5,4,7,6,6,5,,47003,6,32,1,1,1
"L683Z","Finance","Z5440X",2,2,4,4,3,3,4,47662,6,32,1,1,2
"C532P","Ethics","V1748V",3,1,4,5,4,4,2,59232,1,38,2,2,1
"O965G","Finance","Z5080X",2,4,3,3,3,6,5,47202,2,49,1,1,1
"T736U","R&D","V4203Y",4,4,6,5,6,6,5,50837,6,52,2,1,2
"O781F","Health","Y9874X",2,3,3,3,3,4,4,106139,7,41,2,3,1
"G264L","R&D","V4859W",1,1,2,3,2,3,2,69653,1,54,2,3,2
"U380A","Finance","Z4040W",1,4,2,1,2,6,5,78119,8,25,1,2,2
"N340G","Ethics","V1748V",3,3,5,5,5,4,4,128769,3,42,2,3,2
"F966R","Ethics","V1748V",1,1,3,2,3,3,3,54340,3,54,2,1,2
"K705Z","Ethics","W4935V",5,3,7,6,7,6,4,58922,0,29,2,2,1
"M882I","R&D","V4203Y",2,1,4,4,4,2,3,75500,8,54,1,1,1
"S356D","Finance","Z4040W",3,1,4,4,5,3,,69639,0,40,1,3,2
"I744R","Finance","Z5440X",1,4,3,2,2,5,5,85753,10,49,2,3,2
"R522U","Finance","V1626X",1,3,3,3,4,4,4,49826,0,51,1,1,1
"A437B","R&D","X8503X",3,1,5,5,5,3,3,47712,4,25,1,1,2
"U158Z","Finance","Z4040W",2,5,4,3,4,7,,105567,6,38,2,3,2
"P553F","Ethics","V1748V",4,3,6,6,5,5,5,47736,1,41,1,1,2
"Z275A","R&D","W6837Y",1,5,3,2,2,6,7,79291,4,35,2,3,2
"O691R","R&D","X8503X",1,2,3,2,3,3,3,76392,9,28,1,2,2
"P839A","Ethics","V5401Z",5,4,7,6,6,6,5,54043,2,27,2,2,1
"H946W","R&D","V4859W",5,1,6,6,6,2,3,65175,8,53,2,1,2
"B812C","R&D","V4859W",1,5,3,2,3,7,6,48015,4,35,2,1,2
"M212O","R&D","X8503X",1,5,3,2,3,6,7,56113,1,40,1,2,2
"Q749K","Finance","V1626X",2,2,3,3,4,4,4,67022,5,35,1,3,2
"R467Y","R&D","X2508W",3,3,4,4,4,4,4,45140,1,48,2,1,2
"Y510M","R&D","X8503X",3,1,4,4,4,2,2,84352,6,51,2,3,2
"H582D","Finance","Z5440X",2,2,4,3,3,4,4,52693,6,52,1,1,1
"J836U","DSI","Y7924Z",4,1,6,6,6,2,3,54069,0,49,2,1,1
"C993P","R&D","X8503X",1,5,3,2,2,6,6,48435,3,29,2,1,2
"S109W","R&D","X8503X",4,4,6,6,6,5,,51089,3,51,1,1,2
"L400F","Ethics","V5401Z",2,4,4,4,3,6,6,65029,3,38,1,3,2
"C655F","R&D","V4203Y",1,1,3,3,2,3,3,123431,2,34,2,3,2
"J423I","R&D","W6837Y",3,5,4,6,4,7,7,59034,5,23,2,2,2
"U728N","R&D","V4203Y",4,3,7,5,5,4,4,59069,1,29,2,2,1
"M925Y","R&D","X8503X",1,1,3,2,2,2,2,58210,2,28,1,2,2
"M207R","Finance","Z5440X",1,5,2,3,3,7,7,50158,5,27,1,1,2
"O159N","Finance","W7052V",4,5,5,5,6,7,6,49418,5,42,1,1,2
"Z858C","Health","X3361V",4,3,6,4,6,5,,52226,1,40,2,1,2
"G806A","R&D","V4859W",1,5,3,2,2,7,7,149055,5,38,2,3,2
"N611D","R&D","X2508W",4,1,5,6,5,2,,55422,7,49,2,2,2
"A866O","Ethics","V1748V",3,1,4,4,4,3,3,68557,5,30,2,3,1
"T690J","R&D","V4203Y",1,4,3,3,2,5,6,83569,8,48,2,3,2
"E119J","Health","V3988Z",4,1,6,5,5,3,2,102154,5,31,2,3,2
"D498G","DSI","Y7924Z",1,2,3,3,2,3,3,47063,6,34,1,1,1
"I591D","R&D","X8503X",4,4,5,6,6,5,7,52369,7,48,2,1,1
"R513P","R&D","X8503X",5,4,6,6,6,6,6,53725,7,29,1,2,2
"Q465T","R&D","V4859W",3,4,5,4,4,6,6,75315,8,37,1,1,2
"H433I","Finance","Z4040W",1,3,2,3,2,5,5,88200,2,47,2,3,2
"J288J","Finance","Z4040W",4,1,7,6,5,2,2,52883,2,52,1,1,2
"Q596E","R&D","W6837Y",3,2,4,5,4,3,3,51821,5,50,2,1,2
"V621N","Finance","Z5440X",5,1,7,7,6,3,2,78070,8,41,2,2,2
"W901F","Health","Y9874X",4,2,5,5,6,5,3,45685,2,37,2,1,1
"S610M","Finance","V1626X",2,3,4,4,3,4,5,69134,9,49,1,1,2
"C365F","Finance","Z5080X",5,3,6,7,7,4,4,53204,3,33,1,1,1
"D230N","Ethics","V1748V",4,1,6,6,5,3,2,54475,1,25,2,2,2
"Q606G","R&D","V4859W",4,3,7,5,6,4,4,79637,4,41,2,3,2
"I476Y","R&D","W6837Y",4,2,5,5,5,3,4,97506,7,46,2,3,2
"R371K","Finance","W7052V",3,4,5,5,4,6,6,166780,9,33,2,3,1
"Z751K","Health","Y9874X",4,1,5,6,5,3,3,46235,5,34,1,1,2
"Y233P","Finance","V1626X",5,3,6,6,6,4,4,93826,9,55,2,3,2
"X203R","R&D","X2508W",1,3,2,2,3,5,5,103548,10,52,2,3,2
"C135G","Finance","Z4040W",3,2,4,4,5,3,4,45028,6,49,2,1,2
"N363W","Finance","W7052V",5,1,6,6,5,2,2,48141,6,40,1,1,2
"V285G","R&D","X8503X",2,3,3,3,3,5,5,47200,0,33,1,1,2
"T583Z","DSI","Y7924Z",1,1,3,2,3,3,2,59206,0,28,2,2,2
"O569U","Finance","V1626X",1,2,3,3,4,3,4,47253,1,45,2,1,2
"W378W","Health","Y9874X",2,1,3,3,3,2,2,56196,0,30,2,2,2
"C625Y","Health","Y9874X",4,5,5,6,6,6,,56449,3,53,2,2,2
"N898J","Finance","Z5440X",1,3,3,2,3,6,5,70738,6,44,2,3,2
"J164K","Finance","Z5080X",1,1,3,3,3,2,2,54078,4,54,1,1,1
"S840N","Finance","Z4040W",3,4,5,4,4,5,4,70460,10,28,2,1,2
"C250X","Health","X3361V",4,3,5,5,6,5,5,48078,7,42,2,1,2
"A688J","Health","Y9874X",2,1,3,3,3,2,3,65097,7,22,1,3,2
"B915E","Finance","W7052V",1,4,2,2,2,6,4,46019,1,49,1,1,2
"F160B","R&D","W6837Y",2,5,3,4,3,6,7,130670,7,38,2,3,1
"M671F","Health","Y9874X",3,4,5,4,4,7,6,56756,2,23,1,2,1
"F634Q","R&D","W6837Y",1,2,3,3,3,4,4,50372,3,52,1,1,2
"F293M","Health","V3988Z",5,3,7,6,6,4,5,53677,6,45,2,2,2
"Z310P","Health","Y9874X",3,1,5,4,4,2,2,47751,4,44,2,1,2
"Y659U","Health","Y9874X",2,2,4,3,3,3,4,49514,6,55,2,1,2
"N305D","R&D","V4859W",5,1,7,7,7,3,3,78630,9,49,2,2,2
"A224O","DSI","Y7924Z",1,3,3,3,3,5,5,67487,8,22,1,1,2
"L852M","Finance","Z4040W",4,1,5,5,6,3,2,55932,5,47,1,2,2
"P831I","R&D","V4203Y",1,1,3,2,3,3,,49147,6,50,1,1,2
"M800M","Finance","Z4040W",3,5,5,5,5,6,7,55589,6,27,2,2,2
"Q347N","Health","X3361V",3,4,4,5,5,6,5,45255,6,36,1,1,2
"D469A","Finance","Z5440X",1,1,2,3,2,2,2,53417,0,44,1,2,2
"Z895X","Finance","Z4040W",5,2,6,6,6,4,3,137833,4,50,2,3,2
"S386Y","Health","V3988Z",4,5,6,6,6,7,,116823,1,32,1,3,2
"R956O","Ethics","V1748V",1,2,3,3,3,3,3,58099,2,31,2,2,1
"D385Q","R&D","X8503X",2,1,2,3,4,2,2,47115,1,33,1,1,2
"D350R","Ethics","V1748V",1,2,2,3,2,3,4,136205,2,41,2,3,2
"C804M","R&D","V4859W",4,2,5,6,5,3,3,53477,5,28,1,2,2
"K690H","R&D","X8503X",5,3,7,7,6,5,5,111167,2,39,2,3,2
"P530X","Finance","Z5440X",3,5,4,5,4,7,7,109222,0,42,2,3,2
"W682H","Finance","Z5080X",1,1,3,2,3,3,2,95808,3,39,2,3,2
"G561K","R&D","X8503X",3,2,5,4,5,3,3,54921,5,24,1,2,1
"I233N","R&D","X2508W",2,3,4,4,3,5,4,53605,1,48,1,1,2
"U125U","Finance","Z5080X",2,5,4,4,4,7,6,47712,2,22,2,1,2
"G157V","Ethics","W4935V",1,1,2,3,2,3,3,58256,4,23,2,2,2
"G752V","R&D","V4859W",5,5,6,7,6,6,,59020,1,29,2,2,2
"U985F","Finance","Z4040W",3,2,5,4,4,4,3,54817,5,52,2,2,2
"S863Q","Ethics","V1748V",2,4,4,4,4,6,5,56688,1,44,1,2,2
"O301Z","R&D","V4203Y",4,2,5,6,6,3,4,48432,5,35,2,1,2
"G132K","Finance","V1626X",3,3,5,4,5,5,4,85414,10,27,2,3,2
"I614Y","Health","Y9874X",1,3,3,2,2,5,5,51039,1,29,1,1,2
"B678E","Finance","Z4040W",4,5,6,5,6,6,,53621,6,40,1,1,2
"E845S","Finance","Z4040W",3,5,5,3,5,5,7,73604,8,32,2,1,2
"T791W","Finance","Z4040W",1,2,3,2,3,3,4,57722,0,34,1,2,2
"B108T","Finance","Z5080X",3,1,3,3,5,3,2,45465,4,25,2,1,2
"Z296Y","R&D","V4203Y",3,1,4,4,5,2,4,82029,8,29,1,2,1
"V482X","DSI","Y7924Z",1,2,2,2,2,3,4,78038,8,30,1,2,2
"T107L","R&D","X8503X",5,3,6,7,7,5,4,70273,1,47,2,3,2
"S475L","Finance","Z5440X",1,2,2,2,2,4,3,102742,6,39,2,3,2
"W533W","R&D","W6837Y",1,2,2,2,2,3,3,45707,6,52,2,1,2
"W334C","R&D","V4203Y",1,2,2,2,2,3,5,59276,7,34,2,2,1
"X440F","R&D","V4859W",4,3,6,6,5,4,4,67322,3,52,2,3,1
"P835K","Ethics","V1748V",2,4,3,3,4,6,5,164546,9,36,2,3,2
"N240H","R&D","V4859W",4,4,6,6,6,7,6,50590,2,40,2,1,2
"H482S","Ethics","W4935V",4,3,6,6,5,5,5,80877,9,40,2,2,2
"L237O","Ethics","V1748V",2,1,4,3,3,3,3,58958,1,34,2,2,2
"L893M","Ethics","W4935V",3,2,4,5,4,4,3,46671,1,32,1,1,2
"T846V","R&D","X2508W",1,2,3,2,3,4,4,74649,5,52,1,3,2
"N976Q","Finance","Z4040W",4,2,5,6,5,3,4,77971,10,24,1,2,1
"N837O","Finance","Z5440X",3,3,4,4,4,5,4,134319,6,33,2,3,2
"E241X","Finance","V1626X",3,2,5,5,5,4,4,57408,6,47,2,2,1
"T129R","R&D","W6837Y",2,4,4,3,4,6,6,70312,8,22,2,1,2
"R876C","Health","V3988Z",3,4,5,4,4,6,6,58046,0,52,1,2,2
"P909F","Finance","Z5440X",4,1,5,5,4,2,2,83142,10,26,1,2,1
"R263O","Health","Y9874X",3,3,4,5,5,5,,52385,0,22,1,1,1
"G918L","R&D","X2508W",3,2,5,5,4,3,4,82362,8,22,2,2,2
"L856P","Finance","Z5440X",5,4,7,6,6,5,,70311,8,32,1,1,2
"C685U","Ethics","V5401Z",1,1,2,3,3,2,2,68884,10,39,1,1,2
"V922V","Finance","W7052V",3,5,5,5,4,6,7,82478,8,38,1,2,2
"B825J","Ethics","V5401Z",3,4,5,5,4,6,5,127605,3,32,2,3,2
"Q335N","Finance","Z5440X",3,4,5,4,5,5,6,55289,7,23,1,2,2
"S672F","Finance","W7052V",3,3,5,5,4,5,5,48498,7,41,2,1,2
"A363G","Finance","V1626X",3,3,5,4,4,4,4,102749,2,45,2,3,2
"K515N","Finance","W7052V",4,2,5,7,5,4,4,124689,7,46,2,3,2
"R111V","Finance","W7052V",5,2,7,6,7,3,,72569,9,35,1,1,1
"S906C","Ethics","V1748V",2,2,3,3,3,4,4,85041,9,39,1,3,2
"G596X","Ethics","V1748V",1,5,2,3,2,7,7,54227,0,46,1,2,2
"V573W","R&D","V4859W",3,1,4,4,5,3,,77212,9,38,1,2,1
"C933T","R&D","X2508W",4,2,6,5,6,4,,53172,7,39,1,2,1
"F415N","Health","V3988Z",3,5,5,4,5,7,,46425,6,24,1,1,2
"W892C","R&D","X8503X",2,4,3,3,3,5,6,83905,9,54,1,3,2
"Q824J","R&D","W6837Y",2,1,4,3,4,3,3,144810,6,55,2,3,2
"M797V","R&D","X2508W",5,4,7,7,6,5,,135175,3,27,2,3,1
"G550V","Finance","W7052V",2,2,4,3,3,4,2,59076,5,52,2,2,2
"D562H","Finance","Z4040W",4,4,6,5,6,6,6,129912,5,51,2,3,1
"D484U","Finance","W7052V",5,2,7,7,6,4,3,50992,7,45,1,1,1
"V122D","Finance","Z5080X",2,4,5,3,3,5,5,53012,7,47,1,2,2
"H378U","Finance","Z4040W",5,2,7,7,6,3,3,50410,7,52,1,1,2
"A893U","Finance","Z5080X",5,2,6,5,6,4,3,54463,3,52,1,1,2
"T794N","Finance","Z5080X",3,1,4,5,4,2,2,74460,8,45,1,1,2
"P704U","Health","V3988Z",2,2,4,4,3,3,4,58621,1,54,1,2,2
"U740H","Finance","Z5080X",1,4,2,3,2,5,6,123474,2,50,2,3,2
"F195B","Health","X3361V",1,4,3,3,3,5,6,124788,4,37,2,3,2
"W825D","R&D","V4859W",1,3,2,1,2,4,4,57518,3,28,1,2,2
"F373Z","Ethics","V5401Z",1,5,2,2,2,6,7,72373,9,44,1,1,2
"N273J","R&D","V4203Y",1,5,2,2,2,7,6,56702,5,36,1,2,2
"L518B","Health","X3361V",3,1,4,4,4,3,3,52269,3,28,1,1,2
"U372P","Finance","Z4040W",3,2,5,5,4,3,4,53967,3,53,1,1,2
"C830R","R&D","V4203Y",3,2,4,5,5,5,4,50398,7,35,1,1,2
"V404H","Ethics","V1748V",5,3,7,7,7,4,,124486,2,32,2,3,2
"W111J","R&D","V4859W",2,1,4,4,4,2,2,73510,10,32,2,1,1
"M441F","Finance","Z5440X",5,5,6,7,6,6,6,56935,2,36,1,2,2
"X899C","R&D","V4203Y",1,1,3,2,3,3,2,70053,8,44,1,2,2
"G826M","DSI","Y7924Z",2,1,2,4,4,2,3,125417,10,42,2,3,2
"H295K","Health","X3361V",5,2,6,7,7,4,3,58698,1,47,2,2,1
"M922N","Finance","Z5440X",2,1,3,3,4,3,2,74283,8,47,2,2,2
"I615M","R&D","X2508W",2,2,3,4,3,4,4,58821,7,49,2,2,2
"B127G","R&D","V4859W",2,5,4,3,3,7,6,73068,9,23,1,1,1
"H951R","R&D","V4859W",5,4,7,6,6,6,5,134244,10,45,2,3,2
"O283X","R&D","X2508W",5,1,6,6,6,2,2,63686,2,47,2,3,2
"U403U","R&D","V4859W",2,3,3,3,4,4,5,46197,1,40,1,1,1
"D207K","R&D","V4203Y",2,2,3,2,3,4,,49683,6,49,2,1,2
"E734I","R&D","V4859W",2,1,2,3,2,2,3,52298,0,27,1,1,2
"R516K","R&D","X2508W",1,5,2,2,3,6,7,78653,2,28,2,3,1
"L508D","Finance","Z5440X",1,3,3,2,2,4,4,51761,2,34,2,1,2
"E104V","DSI","Y7924Z",2,2,3,3,3,3,3,61270,7,35,1,3,2
"P314W","R&D","X2508W",5,1,6,7,6,3,2,52013,4,25,2,1,2
"X453C","Health","X3361V",5,4,6,6,7,6,5,158953,9,51,1,3,2
"L639D","Finance","Z5080X",2,3,4,3,3,4,5,64153,9,48,1,1,1
"Z965H","R&D","X8503X",5,4,6,7,7,5,5,57999,2,50,1,2,2
"R565T","Health","Y9874X",5,5,7,7,7,7,,54587,3,45,2,2,2
"V943T","Finance","Z4040W",3,2,4,4,4,4,3,55711,2,29,1,2,2
"Y737T","Finance","W7052V",4,2,6,6,5,4,3,80727,5,42,2,3,1
"W774T","Health","X3361V",1,4,2,2,2,6,5,54152,7,42,2,2,1
"A663R","Ethics","V5401Z",2,2,3,4,3,4,5,46012,3,41,1,1,1
"M972I","Finance","Z5440X",3,5,4,5,5,7,,47184,0,32,1,1,2
"S995M","R&D","X2508W",3,2,4,5,4,4,3,77012,9,33,1,1,2
"N633A","R&D","X8503X",5,1,6,6,7,3,,144281,2,42,2,3,2
"W845C","Ethics","W4935V",1,4,3,2,2,6,6,73310,10,26,1,1,2
"G295D","Finance","W7052V",4,3,6,6,6,6,5,72042,8,44,2,1,2
"V300Z","DSI","Y7924Z",1,1,3,2,2,2,3,58600,0,51,2,2,2
"L943Y","Finance","Z5440X",5,3,6,7,7,5,4,74654,9,33,1,2,2
"L625D","R&D","X8503X",5,3,7,6,6,5,6,52400,2,46,1,1,2
"O815Q","Ethics","V1748V",2,1,3,4,3,2,2,52929,1,28,1,1,2
"C503Z","Finance","Z4040W",1,2,2,3,3,4,4,76186,2,43,2,3,2
"U213X","Health","Y9874X",4,4,6,5,5,5,7,54295,0,29,2,2,2
"H201W","R&D","X2508W",1,3,2,3,2,4,5,143493,8,26,1,3,2
"Y185F","Health","Y9874X",4,2,6,5,5,4,4,53548,4,27,1,2,2
"Q316Q","Ethics","V5401Z",2,3,4,4,4,5,5,77986,10,47,2,1,2
"H699U","Finance","Z5440X",1,5,3,3,3,7,6,59911,5,27,2,2,2
"V528M","Ethics","V5401Z",4,5,6,6,6,6,7,99409,9,55,2,3,1
"P485U","R&D","V4859W",3,2,4,4,5,4,4,48445,6,51,1,1,2
"V454K","Finance","Z5440X",3,2,5,5,4,3,3,51938,5,54,1,1,2
"C315D","Ethics","V5401Z",5,1,7,7,7,2,3,125399,7,45,2,3,2
"W340M","Ethics","V5401Z",3,1,4,5,5,3,3,91882,0,36,2,3,2
"F537D","R&D","X8503X",5,3,6,6,6,5,5,82892,2,53,2,3,2
"G431I","Finance","V1626X",1,2,3,3,2,3,4,78375,9,45,2,2,2
"N970G","Ethics","W4935V",3,1,5,4,4,3,2,97856,3,34,2,3,2
"Z491G","Ethics","V5401Z",5,3,7,7,6,5,5,48190,6,26,1,1,1
"I954B","Finance","V1626X",4,5,5,5,6,6,6,73995,9,46,2,2,2
"V238R","R&D","X2508W",4,4,6,7,5,6,,139620,5,35,2,3,2
"A836E","Finance","Z5080X",3,1,4,5,4,3,3,50440,5,27,2,1,2
"P690F","R&D","X8503X",5,1,6,7,7,2,3,53335,6,46,1,2,2
"P909H","R&D","X2508W",4,3,5,6,4,5,5,144314,6,47,2,3,1
"P334F","DSI","Y7924Z",4,3,5,5,5,3,4,96077,10,55,2,3,1
"N739L","Health","V3988Z",5,3,7,7,6,4,5,46272,7,54,2,1,1
"R155E","DSI","Y7924Z",4,2,5,5,5,4,5,57939,5,43,1,2,1
"G134K","Health","V3988Z",1,5,3,3,1,7,7,105734,4,45,2,3,1
"P460L","Health","X3361V",4,3,6,6,6,5,,58231,6,42,1,2,2
"F976B","Health","Y9874X",4,2,5,5,5,4,5,47198,1,53,1,1,2
"D613E","Health","Y9874X",5,5,7,7,6,6,6,106950,8,54,2,3,2
"Q810G","Finance","W7052V",2,5,3,4,3,7,6,78430,10,50,1,2,2
"C230B","Finance","V1626X",5,2,6,6,6,3,,79605,8,53,1,2,2
"W745O","R&D","X2508W",1,3,3,3,2,5,5,52079,3,50,2,1,2
"Y122S","R&D","W6837Y",1,4,2,3,3,5,6,54711,6,29,2,2,2
"K301V","Ethics","V5401Z",4,3,5,5,6,4,5,48713,3,23,1,1,2
"W165X","DSI","I511L",4,1,6,5,6,2,0,46382,7,38,2,1,2
"O893U","Ethics","W4935V",1,3,2,3,3,4,5,48302,4,53,2,1,2
"D513V","Finance","Z4040W",3,2,5,4,4,3,4,50053,4,22,1,1,2
"T164M","DSI","Y7924Z",1,3,2,3,2,5,5,53720,3,42,2,2,2
"N622V","R&D","X8503X",2,5,4,3,4,7,6,58396,2,27,2,2,2
"E443D","Ethics","V5401Z",5,2,7,6,6,4,3,131267,9,32,2,3,2
"S513K","DSI","Y7924Z",2,5,4,3,3,6,6,46789,3,22,2,1,2
"W867Y","DSI","Y7924Z",3,4,4,5,4,6,5,113609,4,33,2,3,2
"U467Q","R&D","V4203Y",3,1,5,4,5,3,2,58689,7,46,2,2,1
"Z591J","Finance","Z4040W",5,2,6,5,6,3,,56224,0,50,2,2,2
"T543Q","Finance","Z5440X",5,2,7,7,6,4,4,51808,6,51,2,1,2
"E820M","Finance","Z4040W",4,1,6,5,5,2,2,72431,8,55,1,1,1
"F263W","Finance","Z4040W",2,1,4,4,4,3,2,53056,2,22,1,1,1
"G263J","Finance","W7052V",3,2,4,4,4,4,4,47999,0,40,1,1,2
"G187T","R&D","X2508W",3,5,4,5,5,6,6,58526,3,30,2,2,2
"U249W","Health","Y9874X",4,1,6,6,5,2,,67558,8,42,1,1,2
"S856G","Health","X3361V",5,4,7,6,7,6,6,80144,8,39,1,2,2
"U459X","Ethics","V1748V",4,1,5,5,6,3,3,104359,5,50,2,3,2
"V962K","R&D","X8503X",4,3,6,5,6,5,5,71264,10,26,2,1,2
"T319G","R&D","V4859W",5,5,7,7,7,6,,47527,5,25,2,1,1
"M237D","Ethics","V5401Z",2,3,4,3,3,5,5,57609,3,50,2,2,2
"K670W","Finance","Z5440X",3,2,5,4,4,3,4,48923,0,29,1,1,2
"T225O","R&D","V4203Y",5,4,7,6,6,5,,46930,6,32,2,1,1
"S497C","Finance","V1626X",1,2,2,2,4,4,4,54162,5,43,2,2,1
"P702T","R&D","V4203Y",1,3,2,3,3,4,4,77919,9,28,1,1,2
"C299A","Health","X3361V",2,3,3,3,4,5,5,163517,9,46,2,3,2
"N336O","Finance","Z5080X",4,1,5,5,5,2,,78641,9,47,1,2,2
"V606I","Finance","Z5080X",4,4,5,6,5,6,6,72632,10,28,2,1,2
"W520P","Finance","Z4040W",1,2,2,2,2,3,3,60960,5,36,2,3,2
"E616W","R&D","W6837Y",2,4,4,4,4,5,5,59616,6,43,1,2,2
"L251C","Ethics","W4935V",1,4,2,2,3,5,6,46998,7,35,1,1,2
"C537X","Finance","Z4040W",1,4,3,3,3,5,6,53353,5,47,1,1,2
"K237L","DSI","Y7924Z",3,3,4,5,4,5,4,79119,3,30,2,3,1
"B176J","Finance","Z4040W",3,5,4,5,5,6,7,48673,1,41,1,1,2
"L684C","Finance","Z4040W",1,3,2,3,3,4,5,59890,3,50,1,2,1
