,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
20,2/25/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator."
21,2/9/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment."
22,2/10/2016 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Others,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region."
23,2/15/2016 0:00,Country_02,Local_02,Mining,II,II,Male,Third Party (Remote),Others,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury."
24,2/14/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center."
25,2/15/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid."
26,2/13/2016 0:00,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention."
27,2/15/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury."
28,2/16/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand."
29,2/16/2016 0:00,Country_02,Local_07,Mining,II,III,Male,Employee,Others,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.
30,2/17/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture."
31,2/19/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes."
32,2/21/2016 0:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot."
33,2/20/2016 0:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Others,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor."
34,2/15/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.
35,2/18/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo."
36,2/22/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked."
37,2/24/2016 0:00,Country_02,Local_07,Mining,I,V,Male,Employee,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.
38,2/24/2016 0:00,Country_02,Local_07,Mining,I,V,Female,Third Party,Others,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.
39,2/24/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity."
40,2/29/2016 0:00,Country_02,Local_02,Mining,II,IV,Male,Employee,Others,"During maintenance of the Flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury."
41,2/26/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work."
54,2/27/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others,"While performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury."
55,3/2/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressed,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure)."
56,3/2/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot."
57,3/3/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"At a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton."
58,3/4/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning."
59,3/5/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others,"The locomotive No. 15 operated by MAPERU personnel, was directed with 10 wagons loaded with ore from the OP4 to the waste bin. Next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. The assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises."
60,3/6/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others,"On pit 831 of level 1910 when radial drilling was performed of negative holes with the simba M4C ITH No. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. At the time of the accident the team was Paid."
61,3/6/2016 0:00,Country_01,Local_03,Mining,III,IV,Male,Third Party (Remote),Others,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves."
62,3/9/2016 0:00,Country_01,Local_06,Metals,I,IV,Male,Third Party,Suspended Loads,"The operator was feeding a bag of big bag containing scraps of Zn sheets. During lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc."
63,3/11/2016 0:00,Country_01,Local_03,Mining,III,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries."
64,3/11/2016 0:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Others,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries."
65,3/13/2016 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others,"The mechanic assistant after throwing the wooden blocks of support of the stabilizer of the Hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of The wooden blocks cause an injury to the left ankle."
66,3/12/2016 0:00,Country_02,Local_07,Mining,III,IV,Male,Employee,Others,"By manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury."
67,3/14/2016 0:00,Country_01,Local_06,Metals,II,III,Male,Third Party (Remote),Chemical substances,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face."
68,3/13/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"In circumstances that the Operator 176 was going from level 620 to level 640, he noticed that the hydraulic pump's inspection cover (18 ""x32"" x3 / 8 "", 15 Kg approx.) Was about to fall, so he stopped the equipment, activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury."
69,3/16/2016 0:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others,"When installing the ripper pin of the tractor D6T-N1, the ripper support arm slides by pressing the second and third fingers of the right hand against the base of the ripper causing the injury described."
70,3/10/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Pressed,"The employee reports that when he lowered the cloths in the purification, he arranged the cart so that it would not grab the pipe, pressing his left hand between the cloths and the cart."
71,3/17/2016 0:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others,"At the end of the loading of explosives on the work front, the master loader enters to verify the mooring of the blasting accessories, when retiring from the top (1.5 m), he hears the sound of fragments of rock rolling through the support mesh, directs its gaze towards the crown in a vertical form, at which point a small fragment of rock (2x3x2cm; 36gr) passes through the openings of the mesh. sustaining impact on the forehead. At the time of the event the collaborator used his helmet and safety lens and the front was with support to the top and sacrifice mesh. The opening of the support mesh is 3 ""x 3""."
72,3/16/2016 0:00,Country_02,Local_08,Metals,II,II,Male,Employee,Manual Tools,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm."
73,3/18/2016 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,"Approximately at 11:50 a.m. in circumstances that the Messrs. of the truck crane) and William de la Cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 Kg. Mr. William de the Cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. At that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury."
74,3/19/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Others,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand."
75,3/14/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.
76,3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Fall prevention (same level),"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot."
77,3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns."
78,3/22/2016 0:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others,"When carrying out the activity of cutting electrowelded mesh on the work front, the assistant positions his feet on one end of the mesh leaving the other end free, at the moment that the assistant bends down to make the cut with the shear, the end free of the mesh returns by inertia hitting the partner above his safety lens."
79,3/22/2016 0:00,Country_01,Local_01,Mining,IV,IV,Male,Third Party,Others,"During the refurbishment work of the HDPE pipes (4 ""of diameter) with two workers, when the worker who secured the pipe with a chain, standing on the basket of the ampoloader - raised to a height of 3.0 m from the ground -, the pipe slipped and impacted his arm right, causing an injury to the radius of the right arm."
80,3/25/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"In circumstances that a dump truck laden with ore entered to unload backwards in a curve in the upper part of via La Laquia, the operator did not notice the unevenness in the road (approximately one meter) approaching the edge and overturning the truck on its right side. The operator traveled alone in the truck and made use of the safety belt, helmet and glasses at the time of the accident. During the unloading process, there were two squares that were 25 m from the accident site. The test of alcohotest to the operator was negative."
81,3/30/2016 0:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others,"Being approximately 5:45 pm. On the level. 1710 Cx 018 BP 745, in circumstances that the workers of the company Rock performed the anchorage of the central pin for the anchoring of the drilling machine Diamantina XRD -30 (bob Cat) the assistant Cristian (injured) made the adjustment of the nut of the central bolt with the stilson key No. 18 Simultaneously Jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin, at that moment the frame is slid by pressing the thumb of the assistant's left hand against the stilson key, causing the described injury, due to the lack of securing the frame fixing bolts."
82,3/30/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"After having carried out the mechanized support with the Scissor # 200, the heavy equipment operator picks up the water supply hose towards the drum of the equipment and, while He was heading towards the cabin of the Scissor on the way on a piece of rock - 10 cm high approx. - which displaces by sliding his right foot causing the injury described."
83,3/31/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Others,Being approximately 14:25 h when supervising the line clamping of the POM D071 Roy Canario returning to the thickener D1304 hits his nose with the metal chute out of operation.
84,3/31/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Third Party (Remote),Pressed,"The employee, performing the truck's unloading operation, an iron bundle pressed his right finger and injured his left arm."
85,4/1/2016 0:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"After loading two blown holes from the previous blasting with the use of a telescopic ladder, the master loader pulls the ladder detaching from the upper support point, about 3 mt. of height, a fragment of rock - 3cm x 3cm x 2 cm; 54 gr - which is projected by the right end of the ladder hitting the master loader on the cheekbone and upper lip producing the lesion described. The master shipper used his safety glasses."
86,4/3/2016 0:00,Country_01,Local_01,Mining,III,V,Male,Third Party,Others,"During the plant stop scheduled for maintenance, almost at the end of the change of the ""T"" fitting of the HDP pipe with a diameter of 14 "", the Resident enters the work zone from the bottom to supervise the work, in that At the moment four workers - anchored with harness - that were in the upper part manipulating the accessory ""T"" to tie the flanges of the HDP pipe and PVC of 14 ""diameter, suddenly the PVC pipe comes out of its support (pipe with fine material of tailings (Weight 700kg.)) and falls from a height of 2 meters to the floor, bounces and imprisons the resident engineer. Only the injured worker was in the lower part or line of fire."
87,4/2/2016 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Others,"Parking the equipment Dumper ° 18 in the maintenance workshop, the mechanic asks the operator to back off the equipment for washing, then the operator starts the reverse gear with the cab door fully open, upon reaching the washing area (8 meters behind), brakes and the cabin door closes untimely and hits your face, causing a minor injury. In the area was the mechanic at floor level in a safe place."
88,4/1/2016 0:00,Country_01,Local_01,Mining,I,V,Male,Third Party (Remote),Others,"In circumstances that two workers of the Abratech company were doing putty work inside the conditioning tank (5 meters deep and covered by platforms) of metal gratings - grating- in the upper part), two other employees of the HyT company carried out maneuvers transfer of a pump with the help of a manual tick - which worked hooked to a beam H, dragging the pump on the metal gratings (grating), suddenly the pump is hooked with a metal grate (grating) and when trying to release it, the metal grid (grating - 13.0 Kg. (60 cm x 92 cm)) falls inside the tank, hits a diagonal channel inside the tank and then impacts the right arm of one of the workers and rubs the helmet of the second worker that he was crouching. The area where the bomb was being moved was marked with tape and did not have a lookout."
89,4/1/2016 0:00,Country_01,Local_01,Mining,I,V,Male,Third Party (Remote),Others,"In circumstances that two workers of the Abratech company were doing putty work inside the conditioning tank (5 meters deep and covered by platforms) of metal gratings - grating- in the upper part), two other employees of the HyT company carried out maneuvers transfer of a pump with the help of a manual tick - which worked hooked to a beam H, dragging the pump on the metal gratings (grating), suddenly the pump is hooked with a metal grate (grating) and when trying to release it, the metal grid (grating - 13.0 Kg. (60 cm x 92 cm)) falls inside the tank, hits a diagonal channel inside the tank and then impacts the right arm of one of the workers and rubs the helmet of the second worker that he was crouching. The area where the bomb was being moved was marked with tape and did not have a lookout."
90,3/10/2016 0:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others,"When accessing the Santa do Novo area, in order to open the chop, General was moving ahead of the team in order to open access for Manetometer, when he came across an area with a steep slope and gravel presence. In a certain place of access the employee slipped, coming with this to become unbalanced. At that moment the machete that was in his left hand came to slip the right leg above the knee, causing a cut 3cm."
91,3/24/2016 0:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Poll,"When performing the sleeve removal maneuver, when the hole was 600 meters deep, General da Silva pressed only one side of the locking nut of the rods, which together with the jack, holds the entire weight of the rods in the maneuver. As the locking procedure was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. At the moment that driller Pedro released the brake of the winch, the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey, caused the sliding of the rods. Auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. As the stems slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts to the 4th and 5th Quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities."
92,3/22/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others,"During the trip to the vehicle, at the end of the work, the collaborator Rhainer stepped on an object that he could not identify, thus coming to pierce the sole of the boot and causing a small hole in the sole of the left foot of the collaborator. The perforation was possibly due to a stump of wood, since the area covered by the collaborator, was a pasture grazed recently and near a residence."
