"X","aspectsRecog","aspectsSubst","aspectsAdvance","aspectsComp","aspectsControlAmount","aspectsControlHow","aspectsRelations","aspectsSecurity","aspectsRespons","aspectsTasks","aspectsChallenge","aspectsSkill","aspectsTravel","aspectsEval","aspectsBalance","lifeSatIdeal","lifeSatExcellent","lifeSatHappy","lifeSatThings","lifeSatChange","lifeSatRespect","lifeSatFamily","lifeSatFaith","lifeSatHelp","age","gradNY","big4Frst","gender","salary","edu_under_3_TEXT","children","totalYrsWorked","totalYrsWorkedBig","gradNonLawNY","gradLaw","big4Now","empStatus","big4Ever","yearGroup","jobSatScore","lifeSatScore","yearsWorkedGroups","salaryContrasts","partTimeDummy"
13,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither disagree nor agree",49,"Yes","Yes","Male","$300,000-$499,999",1987,1,25,1,"1","0",0,"Employed full time","Yes","1980+",-0.353593704669709,0.240007996485741,"More than 20","$300,000-$499,999",0
14,"Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither disagree nor agree","Neither disagree nor agree","Strongly agree","Strongly agree","Neither disagree nor agree",25,"No","Yes","Male","$60,000-$69,000",2011,0,3,3,"0","0",1,"Employed full time","Yes","1980+",-0.141775603715387,-0.689721077498858,"Less than 15","$60,000-$69,000",0
15,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Neither disagree nor agree","Neither disagree nor agree","Agree","Agree","Neither disagree nor agree",56,"Yes","No","Male","$300,000-$499,999",1980,3,31,0,"0","1",0,"Employed full time","No","1980+",1.20100475561395,0.0445289879363989,"More than 20","$300,000-$499,999",0
16,"Highly satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Strongly agree","Disagree","Somewhat disagree",42,"No","No","Male","$70,000-$79,000",1994,2,2,0,"0","0",0,"Employed full time","No","1980+",-0.220025131452039,-0.555326385414442,"Less than 15","$70,000-$79,000",0
17,"Somewhat satisfied","Somewhat satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree",27,"Yes","Yes","Female","$70,000-$79,000",2009,0,4,4,"1","0",1,"Employed full time","Yes","1980+",-0.121006876081012,0.855357305460008,"Less than 15","$70,000-$79,000",0
18,"Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Disagree","Somewhat agree","Agree","Agree","Disagree",55,"Yes","No","Male","$90,000-$99,000",1981,1,27,0,"1","0",0,"Employed full time","No","1980+",-0.716254465270787,-0.410066653225901,"More than 20","$90,000-$99,000",0
19,"Highly satisfied","Satisfied","Highly satisfied","Satisfied","Dissatisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree",42,"No","No","Male","$300,000-$499,999",1994,1,20,0,"0","0",0,"Employed full time","No","1980+",0.369504183039074,-0.952627033087831,"15 to 20","$300,000-$499,999",0
20,"Satisfied","Somewhat satisfied","Satisfied","Dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",24,"Yes","Yes","Male","$50,000-$59,000",2012,0,1,1,"1","0",1,"Employed full time","Yes","1980+",-0.493906833924281,-0.666115295236668,"Less than 15","$50,000-$59,000",0
21,"Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Agree","Neither disagree nor agree",36,"Yes","Yes","Male","$200,000-$299,999",2000,2,12,5,"1","0",0,"Employed full time","Yes","1980+",-0.371754813402017,-0.484439206995407,"Less than 15","$200,000-$299,999",0
22,"Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree",28,"No","Yes","Female","$150,000-$199,999",2008,0,4,2,"0","0",0,"Employed full time","Yes","1980+",0.857477033399813,0.30937900829241,"Less than 15","$150,000-$199,999",0
23,"Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Somewhat disagree",23,"No","Yes","Female","$50,000-$59,000",2013,0,1,1,"0","0",1,"Employed full time","Yes","1980+",-2.09484607454189,0.715616822538822,"Less than 15","$50,000-$59,000",0
24,"Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",49,"Yes","No","Male","$1,000,000-$2,999,999",1987,2,14,0,"0","1",0,"Employed full time","No","1980+",0.810537596038373,0.985247701969079,"Less than 15","$1,000,000-$2,999,999",0
26,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree",28,"Yes","Yes","Female","$60,000-$69,000",2008,0,5,1,"1","0",0,"Employed full time","Yes","1980+",-0.669526831186844,0.689971107254945,"Less than 15","$60,000-$69,000",0
28,"Satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Strongly agree","Agree","Neither disagree nor agree",44,"No","Yes","Male","$300,000-$499,999",1992,0,22,10,"0","0",1,"Employed full time","Yes","1980+",0.589601422813644,0.225344344403696,"More than 20","$300,000-$499,999",0
29,"Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree",25,"Yes","No","Male","$70,000-$79,000",2011,1,3,0,"1","0",0,"Employed full time","No","1980+",0.166970721158987,1.18320023216186,"Less than 15","$70,000-$79,000",0
30,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree",31,"Yes","No","Male","$100,000-$119,999",2006,0,5,3,"1","0",0,"Employed full time","Yes","1980+",0.126549224009832,-0.666115295236668,"Less than 15","$100,000-$119,999",0
31,"Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Highly satisfied","Somewhat agree","Somewhat agree","Agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Strongly agree","Somewhat agree",29,"Yes","No","Female","$50,000-$59,000",2007,0,6,2,"1","0",0,"Employed full time","Yes","1980+",-0.67209847919029,-0.00551467011143598,"Less than 15","$50,000-$59,000",0
33,"Satisfied","Satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither disagree nor agree","Neither disagree nor agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree",41,"No","Yes","Male","$500,000-$799,999",1994,4,20,20,"0","0",1,"Employed full time","Yes","1980+",-0.137460541508249,-1.03167502388437,"15 to 20","$500,000-$799,999",0
34,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",45,"No","Yes","Male","$200,000-$299,999",1991,3,23,3,"0","0",0,"Employed full time","Yes","1980+",1.20100475561395,1.19555654681309,"More than 20","$200,000-$299,999",0
37,"Satisfied","Satisfied","Satisfied","Somewhat satisfied","Dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Disagree","Disagree","Disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Disagree",28,"No","Yes","Male","$90,000-$99,000",2008,0,6,6,"0","0",1,"Employed full time","Yes","1980+",-0.716716426363585,-3.19964990137069,"Less than 15","$90,000-$99,000",0
38,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Agree","Somewhat agree",25,"Yes","Yes","Male","$60,000-$69,000",2011,0,2,2,"1","0",0,"Employed full time","Yes","1980+",0.467868895756561,0.204201241085811,"Less than 15","$60,000-$69,000",0
39,"Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Agree","Neither disagree nor agree","Agree","Agree","Strongly disagree","Somewhat disagree",28,"No","Yes","Male","$100,000-$119,999",2008,0,6,3,"0","0",0,"Employed full time","Yes","1980+",0.799096532171582,0.544324031692158,"Less than 15","$100,000-$119,999",0
40,"Satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat disagree","Neither disagree nor agree","Somewhat agree","Somewhat agree","Disagree","Agree","Strongly agree","Agree","Neither disagree nor agree",36,"Yes","Yes","Male","$200,000-$299,999",2000,3,6,3,"0","1",0,"Employed full time","Yes","1980+",0.0848500139681496,-1.26536947103946,"Less than 15","$200,000-$299,999",0
41,"Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Somewhat disagree",28,"Yes","No","Male","$70,000-$79,000",2009,0,3,0,"1","0",0,"Employed full time","No","1980+",0.115555641187294,0.722877591577299,"Less than 15","$70,000-$79,000",0
42,"Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat disagree","Neither disagree nor agree","Agree","Somewhat agree","Somewhat disagree","Agree","Agree","Neither disagree nor agree","Somewhat disagree",35,"No","No","Male","$80,000-$89,000",2001,0,5,0,"0","0",0,"Employed full time","No","1980+",-2.42392483701802,-1.01836393299992,"Less than 15","$80,000-$89,000",0
43,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",66,"No","No","Male","$500,000-$799,999",1970,3,44,0,"0","0",0,"Employed full time","No",,1.20100475561395,0.615598553485439,"More than 20","$500,000-$799,999",0
44,"Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Neither disagree nor agree","Agree","Agree","Disagree","Neither disagree nor agree",39,"Yes","Yes","Male","$150,000-$199,999",2001,3,7,3,"1","0",0,"Employed full time","Yes","1980+",0.264417491125395,0.104699454932458,"Less than 15","$150,000-$199,999",0
45,"Somewhat dissatisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Highly satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Dissatisfied","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree",27,"No","Yes","Female","$70,000-$79,000",2010,0,4,4,"0","0",1,"Employed full time","Yes","1980+",-1.65866597608128,-3.08733724808985,"Less than 15","$70,000-$79,000",0
47,"Satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Neither disagree nor agree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Agree","Neither disagree nor agree","Neither disagree nor agree",56,"Yes","Yes","Male","$200,000-$299,999",1980,2,34,2,"1","0",0,"Employed full time","Yes","1980+",-0.00118704287273359,-1.10521581225009,"More than 20","$200,000-$299,999",0
48,"Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Neither disagree nor agree","Somewhat agree","Agree","Somewhat disagree","Neither disagree nor agree",27,"No","No","Female","$70,000-$79,000",2010,0,4,0,"0","0",0,"Employed full time","No","1980+",0.349719508042182,0.0648686210716903,"Less than 15","$70,000-$79,000",0
49,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Neither disagree nor agree","Strongly agree","Neither disagree nor agree","Somewhat agree","Strongly agree",58,"Yes","No","Male","$200,000-$299,999",1978,0,18,0,"1","0",0,"Employed full time","No",,1.20100475561395,-0.493739909055571,"15 to 20","$200,000-$299,999",0
50,"Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neither disagree nor agree",28,"Yes","No","Female","$60,000-$69,000",2008,0,1,0,"1","0",0,"Employed full time","No","1980+",1.024931298538,1.14874200249665,"Less than 15","$60,000-$69,000",0
51,"Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree",23,"No","Yes","Female","$50,000-$59,000",2013,0,1,1,"0","0",1,"Employed full time","Yes","1980+",0.0719004846217401,0.572155045454281,"Less than 15","$50,000-$59,000",0
52,"Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither disagree nor agree","Somewhat agree",43,"Yes","No","Female","$150,000-$199,999",1993,2,10,0,"0","1",0,"Employed full time","No","1980+",0.989269134873253,0.2328731104115,"Less than 15","$150,000-$199,999",0
54,"Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither disagree nor agree","Neither disagree nor agree",57,"No","Yes","Male","$150,000-$199,999",1979,3,35,4,"0","0",0,"Employed full time","Yes",,-0.24205808508414,0.0349205802187229,"More than 20","$150,000-$199,999",0
56,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither disagree nor agree","Somewhat agree",33,"No","No","Female","$90,000-$99,000",2003,1,4,0,"0","0",0,"Employed full time","No","1980+",0.587769704316239,1.09344404637124,"Less than 15","$90,000-$99,000",0
57,"Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Neither disagree nor agree","Agree","Strongly agree","Agree","Somewhat disagree",28,"No","Yes","Male","$90,000-$99,000",2008,0,6,6,"0","0",0,"Employed full time","Yes","1980+",-0.649276762913646,-0.218308346279709,"Less than 15","$90,000-$99,000",0
59,"Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Satisfied","Satisfied","Neither disagree nor agree","Neither disagree nor agree","Somewhat agree","Neither disagree nor agree","Somewhat disagree","Somewhat agree","Agree","Disagree","Disagree",36,"Yes","Yes","Male","$120,000-$149,999",2001,0,13,10,"1","0",0,"Employed full time","Yes","1980+",-0.563961923325567,-1.3085534448447,"Less than 15","$120,000-$149,999",0
