"EMP_Sat_OnPrem_1","EMP_Sat_OnPrem_2","EMP_Sat_OnPrem_3","EMP_Sat_OnPrem_4","EMP_Sat_OnPrem_5","EMP_Sat_Remote_1","EMP_Sat_Remote_2","EMP_Sat_Remote_3","EMP_Sat_Remote_4","EMP_Sat_Remote_5","EMP_Engagement_1","EMP_Engagement_2","EMP_Engagement_3","EMP_Engagement_4","EMP_Engagement_5","Emp_Work_Status2","Emp_Work_Status_3","Emp_Work_Status_4","Emp_Work_Status_5","Emp_Identity","Emp_Role","Emp_Position","Emp_Title","Emp_Competitive_1","Emp_Competitive_2","Emp_Competitive_3","Emp_Competitive_4","Emp_Competitive_5","Emp_Collaborative_1","Emp_Collaborative_2","Emp_Collaborative_3","Emp_Collaborative_4","Emp_Collaborative_5"
3,NA,4,3,5,2,3,2,3,NA,5,NA,4,4,3,2,2,4,4,2,1,2,2,2,NA,2,3,3,4,NA,4,2,5
3,3,4,3,5,2,3,NA,3,NA,5,5,4,4,NA,5,3,4,NA,2,1,2,2,1,3,1,NA,1,1,NA,2,2,2
3,3,4,NA,5,2,3,2,3,2,5,5,4,NA,3,5,1,1,3,1,NA,1,1,1,3,NA,2,1,2,1,3,3,1
3,3,4,3,5,2,3,2,3,2,5,5,NA,4,3,NA,1,3,2,2,NA,2,2,1,1,1,1,4,4,1,NA,1,3
3,3,4,3,NA,2,NA,2,3,2,5,5,4,4,3,3,5,5,1,2,2,1,2,2,1,2,NA,2,2,1,5,1,2
3,NA,4,3,5,2,3,2,3,2,5,5,4,4,3,5,NA,2,3,1,1,2,2,1,1,NA,NA,5,NA,1,4,NA,2
3,3,4,3,5,2,3,NA,3,NA,5,5,4,NA,NA,NA,1,1,2,NA,NA,2,NA,1,4,1,1,2,2,1,3,4,4
3,3,4,3,5,NA,NA,2,3,2,5,5,4,4,3,4,5,1,3,NA,2,1,1,2,5,2,NA,5,NA,1,2,2,3
3,3,NA,3,5,2,3,2,NA,2,5,5,NA,4,3,NA,5,2,1,2,1,2,2,NA,3,2,1,5,3,NA,4,4,NA
3,3,4,3,5,2,3,2,3,2,5,5,4,NA,3,4,NA,3,4,2,NA,2,2,2,2,1,3,1,3,NA,5,4,NA
NA,3,4,3,5,2,3,2,3,2,5,NA,4,4,3,2,3,4,2,1,2,2,2,NA,1,1,3,1,3,2,2,2,5
3,3,4,3,5,2,3,NA,NA,2,5,5,4,4,3,4,2,4,NA,NA,1,2,1,2,4,1,NA,3,3,2,4,3,3
3,3,4,3,5,2,3,2,3,2,5,5,NA,4,3,4,4,2,NA,1,2,2,1,2,2,1,5,4,1,2,2,3,NA
3,3,4,NA,NA,2,NA,2,NA,2,5,5,4,4,3,3,2,4,4,1,1,2,1,1,1,NA,NA,4,NA,2,5,4,NA
3,NA,4,3,NA,2,3,2,3,2,5,5,NA,NA,3,4,1,4,NA,1,1,1,1,1,5,2,1,3,1,2,NA,2,3
3,3,NA,NA,5,2,3,2,3,2,5,5,4,4,NA,NA,5,4,2,NA,NA,1,1,NA,NA,2,5,1,4,NA,3,2,2
3,3,4,NA,5,2,3,2,3,2,5,5,4,4,3,1,5,NA,2,5,5,2,2,1,2,2,2,3,4,1,4,3,5
3,3,4,NA,5,NA,3,2,NA,2,5,5,4,4,3,5,2,5,4,2,2,2,2,4,NA,NA,5,5,5,1,1,2,3
3,3,NA,3,5,2,3,2,3,2,5,5,4,4,3,3,5,NA,1,1,2,2,2,1,NA,2,2,4,3,2,1,3,3
3,3,4,3,5,NA,3,2,3,2,5,5,NA,4,3,3,2,4,NA,1,1,NA,1,1,3,2,2,1,1,2,1,NA,4
3,3,4,3,5,2,NA,2,3,2,5,NA,4,4,3,3,NA,4,1,1,1,2,2,2,2,NA,4,NA,2,1,3,1,1
3,3,NA,3,NA,2,3,2,3,2,5,5,4,4,3,5,2,2,NA,2,1,1,2,2,2,2,4,5,2,NA,3,2,1
3,3,4,3,5,2,3,NA,3,2,5,5,4,4,3,NA,2,5,1,2,2,1,1,1,4,2,3,4,4,1,4,1,3
3,3,4,NA,5,2,3,2,3,NA,NA,5,4,4,NA,4,NA,2,3,2,1,1,1,2,3,1,5,1,5,2,1,1,5
3,3,4,3,5,2,3,NA,NA,2,5,5,NA,4,3,2,NA,1,2,1,2,NA,NA,1,2,2,5,3,2,2,2,4,5
3,3,4,3,5,2,3,2,3,2,5,5,NA,4,NA,4,NA,NA,5,1,2,NA,2,2,3,1,2,2,2,2,5,NA,2
3,3,4,3,NA,2,3,2,3,2,NA,5,4,NA,3,5,1,NA,3,2,NA,2,2,2,3,1,3,1,NA,2,3,2,5
3,3,4,3,5,2,3,2,NA,2,5,5,4,4,3,2,5,1,5,1,2,2,2,2,NA,1,1,3,NA,1,5,2,2
3,3,NA,3,5,2,3,NA,NA,2,NA,NA,4,4,3,4,NA,4,3,1,1,2,1,1,2,1,1,1,5,1,5,2,3
3,3,4,3,5,2,3,2,3,2,5,5,NA,4,3,3,2,3,2,1,2,1,2,1,3,2,3,3,3,1,NA,3,3
3,NA,NA,NA,5,NA,3,2,3,2,5,5,4,4,3,2,4,5,5,NA,2,2,NA,2,1,1,NA,3,1,1,3,2,4
3,3,NA,3,5,2,3,NA,3,2,5,5,4,4,3,NA,3,2,3,2,NA,1,2,1,4,NA,5,NA,4,2,1,5,NA
3,3,4,3,5,2,3,2,3,NA,5,5,NA,4,3,1,1,1,1,NA,1,NA,2,2,1,2,4,2,4,2,NA,5,3
3,3,4,3,NA,NA,3,NA,3,2,5,5,4,4,3,5,5,5,5,2,2,NA,1,NA,2,2,NA,NA,2,1,5,1,4
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,3,2,3,4,2,2,2,NA,1,1,NA,4,1,NA,1,3,4,4
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,2,5,5,3,2,1,1,2,2,4,NA,2,1,2,2,5,5,4
3,3,4,3,5,2,3,2,3,2,5,NA,NA,4,3,3,5,NA,4,2,2,1,1,NA,5,2,2,1,4,NA,4,3,4
3,3,NA,3,5,2,3,2,3,2,5,5,NA,4,3,4,4,5,3,2,1,2,1,2,3,NA,3,4,NA,1,1,4,1
NA,3,4,3,5,NA,3,2,3,2,5,5,4,4,NA,4,5,NA,3,1,1,2,1,1,4,NA,1,5,4,4,NA,3,2
3,NA,4,3,5,NA,NA,NA,NA,2,5,5,4,4,NA,4,1,3,3,1,NA,1,NA,2,4,2,4,3,1,2,1,2,1
3,3,4,3,5,2,3,NA,3,NA,NA,5,4,4,3,4,4,5,5,2,2,2,NA,2,1,2,4,3,1,2,NA,NA,NA
3,3,NA,3,5,2,NA,2,NA,2,5,5,4,NA,3,3,1,4,3,1,2,1,1,2,4,NA,4,2,1,1,3,4,5
3,3,4,3,5,2,3,NA,NA,2,5,NA,4,4,3,NA,NA,3,2,NA,2,1,NA,NA,2,1,3,3,2,1,NA,5,4
3,3,4,3,5,2,3,2,3,2,5,5,4,4,NA,NA,5,1,5,2,1,1,1,2,3,2,NA,2,1,1,4,5,5
3,NA,4,3,5,2,3,2,3,2,5,5,4,NA,3,4,5,2,3,2,1,2,1,2,1,1,5,4,5,NA,2,1,4
3,3,4,3,5,NA,3,2,3,2,NA,5,NA,4,3,5,NA,3,2,NA,1,2,1,2,1,2,NA,3,NA,1,1,4,NA
3,3,NA,3,5,2,NA,NA,3,NA,NA,5,4,4,3,3,3,NA,5,2,2,2,2,1,5,1,3,1,1,1,2,4,NA
NA,3,4,3,NA,2,3,2,NA,2,5,5,4,NA,NA,1,2,1,3,1,1,2,NA,2,2,2,1,4,5,1,1,NA,1
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,1,NA,1,4,2,2,2,2,2,5,2,5,NA,5,1,4,NA,5
3,3,NA,3,5,2,3,NA,3,2,5,NA,4,4,3,1,4,3,4,5,1,1,2,NA,5,NA,1,1,3,1,NA,5,1
NA,3,4,3,5,2,3,NA,3,NA,5,5,4,4,3,4,4,4,1,1,1,1,NA,5,5,4,3,1,4,2,3,3,1
NA,3,4,3,5,2,3,2,3,2,5,5,4,4,3,2,3,3,2,2,1,NA,1,NA,5,2,3,3,2,2,2,2,3
NA,3,4,3,5,2,3,2,NA,2,5,5,4,4,3,5,3,3,2,NA,NA,2,2,1,5,2,5,5,3,NA,NA,5,2
3,NA,4,3,5,2,NA,2,3,2,5,5,4,4,NA,2,3,4,5,NA,NA,1,1,2,4,2,1,4,3,1,5,4,4
3,3,4,3,5,2,3,2,3,2,5,5,4,NA,NA,2,4,4,2,2,2,1,2,1,NA,2,5,5,NA,2,4,NA,4
3,3,4,3,5,2,3,2,3,2,5,5,4,NA,3,3,5,5,3,2,2,NA,2,NA,4,1,5,1,2,1,2,2,3
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,4,5,1,5,NA,1,2,2,2,4,1,1,2,1,5,4,2,1
3,3,NA,3,5,2,3,2,3,2,NA,NA,4,NA,3,2,5,5,5,2,2,NA,1,1,3,1,3,NA,3,2,2,3,5
3,3,NA,3,5,2,3,2,3,NA,5,5,NA,4,3,5,4,1,2,5,1,1,2,NA,4,NA,1,3,4,NA,4,3,3
3,3,4,3,5,2,3,NA,3,2,5,5,4,4,3,1,1,4,4,1,1,2,2,NA,1,5,3,NA,4,1,4,1,2
3,NA,4,3,5,2,3,NA,NA,2,5,5,4,4,3,5,5,NA,1,1,1,2,1,2,1,2,4,1,NA,2,4,NA,3
3,3,4,NA,5,2,3,2,NA,2,5,5,4,4,3,NA,NA,1,5,2,NA,1,1,1,3,2,3,2,4,1,2,4,4
NA,3,NA,3,5,2,NA,2,3,2,5,5,4,4,3,2,4,4,3,2,NA,2,1,2,NA,2,4,4,3,2,5,4,1
3,3,4,3,5,2,3,2,3,NA,5,5,NA,4,NA,5,1,1,1,2,1,2,2,1,2,NA,5,2,2,1,5,1,4
3,3,NA,3,5,2,3,2,3,2,5,5,4,4,3,NA,5,1,3,2,2,2,1,1,4,2,4,NA,5,NA,1,4,3
3,3,4,3,NA,2,3,2,3,2,5,5,4,4,3,NA,5,5,5,NA,NA,2,1,2,4,1,NA,5,NA,1,2,3,3
3,3,4,NA,5,2,3,2,3,NA,5,5,4,4,3,2,NA,5,2,2,NA,1,2,2,5,2,NA,5,4,1,2,5,2
3,3,NA,3,5,2,3,2,3,2,5,5,4,4,3,5,NA,5,1,1,NA,1,2,2,2,2,3,3,1,2,4,2,NA
3,NA,4,NA,NA,2,3,2,3,2,5,NA,4,4,3,NA,1,2,1,1,NA,2,2,2,4,2,2,5,4,1,5,1,5
NA,3,4,3,5,NA,3,2,3,NA,5,5,NA,4,3,4,NA,1,4,NA,NA,1,1,1,5,2,2,1,NA,2,1,3,NA
3,3,4,3,5,NA,3,2,3,2,5,5,4,4,3,3,3,NA,NA,4,1,5,5,1,NA,1,3,2,3,2,3,4,3
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,2,1,4,4,2,1,2,NA,4,2,4,1,4,4,1,1,2,4
3,3,4,3,5,2,3,2,3,NA,5,NA,4,NA,3,4,1,5,5,2,2,NA,2,2,4,2,4,1,2,1,4,4,NA
3,3,4,3,NA,2,NA,2,3,2,NA,5,4,4,3,3,NA,4,1,2,2,2,2,2,3,2,NA,NA,4,2,3,4,5
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,4,5,5,2,1,2,NA,1,1,3,2,4,5,NA,2,NA,3,4
3,3,NA,3,5,2,3,2,3,2,5,5,4,4,3,1,1,4,4,2,1,2,2,2,5,1,NA,3,2,2,2,4,4
3,3,NA,3,5,NA,3,NA,3,2,5,5,4,4,3,3,5,3,2,1,NA,1,1,1,4,2,2,1,2,1,1,2,2
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,1,3,5,5,1,2,1,NA,NA,NA,1,NA,NA,1,2,5,3,5
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,3,5,5,NA,1,1,1,1,1,5,2,NA,3,4,2,1,5,4
3,3,4,3,5,2,3,2,3,2,NA,5,NA,4,3,4,2,2,1,2,1,2,NA,2,2,1,2,1,1,2,4,NA,3
3,3,4,3,5,2,NA,2,3,2,NA,5,4,4,3,1,2,2,3,1,NA,1,1,2,1,1,5,5,NA,2,1,5,NA
3,3,4,3,5,2,NA,2,3,NA,5,NA,4,4,NA,4,NA,NA,1,2,1,NA,2,2,1,2,1,2,2,2,4,4,2
3,3,4,3,5,2,3,2,3,2,5,NA,4,4,3,1,NA,NA,2,2,2,1,1,2,4,NA,1,5,1,2,3,2,NA
3,3,4,3,5,2,3,2,3,2,NA,NA,4,4,3,5,4,NA,4,2,1,2,NA,2,4,1,5,4,5,1,5,3,4
NA,3,NA,3,NA,2,3,2,3,2,5,5,4,4,3,2,NA,3,5,2,1,1,2,2,NA,NA,1,3,4,1,3,5,NA
3,3,4,3,5,2,3,2,3,NA,5,5,NA,4,3,3,5,3,2,2,2,1,1,2,NA,1,1,NA,NA,1,2,1,3
3,3,4,3,NA,2,NA,2,3,2,5,5,NA,4,3,4,5,3,4,2,1,1,1,2,1,2,5,NA,NA,2,4,2,NA
3,3,4,3,5,NA,3,2,3,2,5,5,4,4,3,NA,5,1,5,NA,1,1,2,1,2,2,3,NA,1,1,3,1,5
3,3,4,3,5,2,NA,2,3,NA,5,5,4,4,3,1,4,5,1,NA,2,NA,1,2,NA,1,NA,2,3,2,5,NA,2
3,3,4,NA,5,2,3,2,3,2,5,5,4,4,3,2,5,3,3,2,1,1,NA,1,2,NA,1,4,1,2,4,4,2
NA,3,4,3,5,NA,3,2,3,NA,5,NA,4,4,3,3,5,5,4,2,NA,1,2,2,NA,2,3,4,3,NA,4,3,5
NA,3,4,NA,5,2,3,2,3,2,5,5,4,4,3,3,NA,4,4,2,1,NA,1,2,NA,1,3,2,5,1,NA,2,3
3,3,NA,3,5,2,3,NA,3,2,5,5,4,4,NA,5,1,1,4,NA,1,NA,1,1,2,NA,5,3,3,1,3,4,4
3,3,NA,3,5,NA,NA,2,3,2,5,5,4,4,3,5,4,1,1,1,1,1,1,2,3,NA,2,1,1,1,4,5,5
3,3,4,3,5,2,3,2,NA,2,5,5,4,4,3,1,3,5,3,1,2,2,2,1,2,2,3,1,5,1,5,5,1
3,3,4,3,NA,2,3,2,3,2,5,5,4,4,3,2,3,4,5,2,1,1,NA,1,3,1,1,NA,2,NA,5,2,5
3,3,4,NA,5,2,3,2,NA,2,5,5,4,4,3,NA,4,NA,5,1,2,1,2,2,3,1,3,3,4,1,NA,3,4
3,NA,4,3,5,2,3,2,3,2,5,5,4,4,3,4,2,4,4,2,2,2,1,2,1,2,NA,5,1,1,2,3,1
3,3,4,3,NA,2,3,2,3,2,5,5,4,4,3,5,5,5,2,NA,NA,1,2,2,5,2,2,5,4,1,5,2,5
NA,3,4,3,5,2,3,2,3,2,5,5,4,4,NA,5,1,2,4,2,2,1,1,2,2,2,1,1,NA,2,3,4,1
3,NA,NA,NA,5,2,3,2,3,2,5,5,4,4,3,5,3,1,4,2,1,NA,2,NA,NA,2,4,1,5,1,NA,NA,4
3,3,4,3,NA,2,3,2,NA,2,5,5,4,4,3,2,2,NA,4,1,2,1,1,2,4,2,2,1,1,2,1,2,NA
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,4,4,3,4,2,1,2,2,1,2,1,NA,3,4,NA,5,3,5
3,NA,4,3,NA,2,3,2,NA,NA,5,5,4,4,NA,1,4,5,5,1,1,2,1,2,4,NA,2,2,1,NA,3,5,2
3,NA,4,3,5,2,3,2,3,2,5,5,4,4,NA,3,4,1,2,2,2,2,2,1,1,NA,NA,2,2,1,4,3,2
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,3,5,3,4,2,2,2,1,2,3,1,2,1,NA,1,4,5,1
3,3,4,3,5,2,3,2,3,NA,5,NA,4,4,3,3,NA,4,NA,2,1,1,2,1,3,2,4,2,NA,1,2,4,4
3,3,4,3,5,2,NA,2,3,2,5,NA,4,4,3,5,5,2,5,2,2,2,2,1,NA,2,NA,5,5,1,NA,4,3
NA,NA,4,NA,5,2,3,2,3,NA,5,5,4,4,3,NA,3,3,3,1,2,1,1,2,NA,1,4,5,2,2,3,1,4
3,NA,4,3,5,2,3,2,3,2,5,5,4,4,3,2,3,5,5,2,2,NA,2,1,2,1,3,1,5,2,2,1,1
3,3,4,3,NA,2,3,NA,3,2,5,5,4,NA,3,4,2,NA,1,1,2,1,NA,1,3,1,NA,2,1,1,5,NA,NA
3,3,4,3,5,2,NA,2,3,2,5,5,NA,4,3,4,1,5,5,1,NA,1,2,2,2,1,3,NA,1,NA,2,2,1
3,3,4,3,5,2,3,2,NA,2,5,5,4,4,3,5,2,2,NA,1,1,1,2,2,1,2,3,NA,3,2,4,1,3
NA,3,4,NA,5,2,3,2,3,NA,NA,5,4,NA,NA,3,2,2,5,2,2,1,2,2,5,1,NA,3,NA,2,1,4,NA
3,3,4,3,NA,NA,3,2,3,2,NA,5,4,4,3,2,NA,4,3,1,1,1,1,1,5,1,1,5,1,2,1,4,4
3,3,NA,3,NA,2,NA,2,3,2,5,5,4,4,3,5,NA,2,NA,2,1,1,NA,NA,5,1,3,2,5,1,5,NA,2
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,2,NA,3,2,NA,2,1,2,1,NA,2,4,2,1,1,4,4,4
3,3,4,3,5,2,3,NA,3,2,5,5,4,4,3,1,1,4,2,2,1,1,2,2,4,2,NA,1,2,1,4,3,2
3,3,4,NA,NA,2,3,NA,3,2,5,5,4,4,3,4,1,5,5,1,1,1,2,2,2,NA,5,2,3,2,NA,1,4
3,3,4,3,5,2,3,NA,3,2,5,5,4,4,3,1,2,4,4,1,1,1,2,2,5,1,5,5,5,2,4,2,5
3,3,4,3,5,NA,3,2,3,NA,5,5,NA,4,NA,5,4,5,5,2,1,2,2,1,5,2,3,4,3,1,2,5,5
3,3,4,3,5,2,3,2,3,2,5,5,NA,4,3,2,3,NA,3,1,2,1,NA,2,3,1,3,2,1,1,3,4,5
3,3,NA,3,5,2,3,2,3,2,5,5,NA,4,3,3,NA,4,2,1,NA,1,NA,1,4,2,4,1,2,1,1,NA,5
3,3,4,3,5,2,3,2,3,2,5,5,4,NA,3,3,4,2,4,1,1,NA,2,2,5,2,NA,5,NA,1,1,NA,4
3,NA,NA,3,5,2,3,2,3,2,NA,5,4,4,3,5,2,4,3,2,1,2,2,1,3,1,4,5,5,2,1,2,2
3,3,4,3,5,2,3,2,3,2,5,NA,4,4,3,NA,2,5,3,2,2,1,1,2,2,2,1,NA,5,2,2,4,3
3,3,4,3,5,2,3,2,3,2,5,5,NA,4,3,2,NA,2,3,2,2,NA,1,2,2,1,3,1,NA,1,4,5,3
NA,3,4,NA,5,NA,3,2,3,2,NA,5,4,4,3,1,3,1,1,NA,1,NA,NA,2,5,1,2,5,4,1,2,5,5
3,3,NA,3,5,NA,3,2,3,NA,5,5,NA,4,NA,2,5,NA,3,NA,1,1,2,1,3,NA,1,1,5,1,5,2,3
3,3,4,3,5,2,NA,2,3,2,5,5,4,4,3,4,4,2,3,NA,1,2,NA,1,1,2,NA,NA,1,NA,1,5,NA
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,NA,3,4,4,2,2,NA,2,1,2,2,3,5,2,2,2,NA,4
3,NA,4,3,5,NA,3,2,NA,NA,5,5,4,4,3,4,2,5,1,1,1,2,2,1,5,2,1,2,4,1,3,5,4
3,3,4,3,NA,2,3,2,3,2,5,NA,4,4,3,4,5,2,3,2,1,2,NA,1,3,1,4,1,NA,2,2,5,2
3,3,4,3,NA,NA,3,2,3,2,5,5,4,NA,3,2,NA,NA,2,1,2,2,2,1,5,1,NA,NA,4,1,4,1,3
3,3,4,3,NA,2,3,2,NA,2,5,5,NA,4,3,3,4,1,2,2,2,2,1,2,2,1,5,4,3,1,5,4,1
NA,3,4,3,5,2,3,2,NA,2,5,5,4,4,3,2,5,3,3,2,2,NA,NA,2,1,2,1,2,NA,2,NA,1,2
3,3,4,3,5,2,3,NA,3,2,5,5,4,4,3,4,2,5,5,2,2,2,1,1,4,1,5,3,5,1,NA,4,1
3,3,4,3,NA,2,3,2,3,2,5,5,4,NA,3,NA,1,2,4,NA,2,1,1,2,5,NA,4,4,5,2,4,1,1
NA,3,4,3,5,2,3,NA,NA,2,5,5,4,4,NA,2,2,NA,3,2,1,NA,1,1,4,1,1,NA,4,1,4,NA,2
3,3,4,3,NA,2,3,2,3,2,NA,5,4,NA,3,2,1,2,1,2,2,1,2,1,3,1,1,1,3,2,3,4,1
3,NA,4,3,5,2,3,2,3,2,5,5,4,4,3,NA,2,3,5,1,2,1,1,2,2,NA,5,1,3,2,2,3,5
3,3,4,3,5,2,NA,2,3,NA,5,5,4,4,3,1,4,2,3,1,2,2,2,1,NA,1,NA,2,NA,1,3,3,NA
3,3,NA,3,5,2,NA,2,3,2,5,5,4,4,NA,1,3,2,2,2,1,1,NA,2,NA,2,5,2,5,NA,3,5,2
3,3,4,NA,5,2,3,2,3,NA,5,5,4,4,3,5,5,1,1,2,1,1,1,2,1,2,5,5,2,2,4,4,2
NA,3,4,NA,5,2,NA,2,3,2,5,NA,4,4,3,2,NA,2,4,1,2,1,2,1,4,NA,5,5,NA,4,5,NA,4
NA,3,4,3,5,2,3,2,3,2,5,5,NA,4,3,NA,NA,NA,2,NA,2,1,1,1,1,NA,1,4,4,2,2,4,5
3,3,4,3,5,2,3,NA,3,2,5,5,4,4,3,1,5,1,2,2,NA,2,1,1,NA,1,1,4,5,2,2,2,3
3,3,4,NA,5,NA,NA,2,NA,2,5,5,4,4,3,5,4,NA,1,1,1,1,NA,1,1,2,3,4,1,1,NA,5,2
3,3,4,3,NA,2,3,2,3,2,5,5,4,4,3,3,4,2,3,2,2,1,2,1,2,1,2,1,2,2,5,2,3
NA,3,NA,3,NA,NA,3,NA,3,2,5,5,4,4,3,4,2,3,4,NA,1,1,NA,2,3,1,2,2,3,1,4,4,4
3,3,NA,3,NA,2,3,NA,3,2,NA,5,4,4,3,2,5,NA,2,1,1,2,2,1,1,1,4,NA,3,NA,4,4,4
3,3,4,3,5,NA,3,2,3,2,5,NA,NA,4,NA,1,NA,4,3,5,5,2,1,2,3,2,4,4,2,NA,5,3,1
3,3,4,3,5,NA,3,2,3,2,5,5,NA,4,3,4,5,5,3,1,1,1,1,5,1,5,1,1,3,1,4,3,5
NA,NA,4,3,5,2,3,2,3,2,5,5,4,4,3,5,1,1,2,2,2,1,1,1,3,2,2,NA,1,2,5,NA,1
3,3,NA,3,5,2,3,NA,3,2,5,5,4,4,3,5,4,2,1,1,NA,1,2,NA,NA,1,NA,2,2,2,4,NA,3
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,2,NA,NA,4,2,NA,2,2,1,1,1,1,4,4,2,5,5,3
3,3,4,3,5,2,3,NA,NA,2,5,5,4,4,3,1,1,4,3,NA,2,2,2,1,5,NA,5,3,3,2,3,5,3
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,2,2,4,5,1,1,NA,1,2,NA,NA,4,4,3,1,3,5,NA
3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,1,4,4,2,4,NA,1,1,2,3,2,3,5,4,1,5,2,3
3,3,4,3,5,2,3,2,3,2,5,NA,4,4,3,2,2,3,4,2,2,1,2,4,5,5,4,2,1,1,5,3,2
3,3,NA,NA,5,2,NA,2,3,2,5,5,NA,4,NA,3,4,1,NA,1,NA,2,2,1,3,1,2,2,2,1,4,NA,5
3,3,4,3,5,2,3,2,3,2,5,5,4,4,NA,1,3,3,5,NA,1,NA,NA,1,4,1,2,3,5,1,3,5,3
3,3,4,NA,NA,NA,3,NA,3,NA,5,5,4,4,3,2,1,4,3,NA,1,1,2,NA,NA,1,1,3,4,1,1,NA,2
3,3,4,3,NA,2,NA,2,3,NA,NA,NA,4,NA,3,4,2,4,4,1,1,2,1,2,4,2,4,3,4,2,5,1,1
3,NA,4,3,5,2,NA,NA,3,2,5,NA,NA,4,3,NA,2,4,NA,1,NA,1,1,1,4,2,2,4,3,2,4,1,3
3,3,4,3,5,2,NA,2,3,2,5,NA,NA,NA,3,4,NA,2,1,1,1,2,2,1,NA,2,1,3,5,2,5,NA,4
3,NA,4,3,5,NA,3,2,3,2,5,5,4,NA,3,3,NA,NA,NA,1,2,2,2,1,4,2,2,5,3,1,2,5,3
3,3,4,3,5,2,3,2,NA,2,NA,5,4,4,NA,NA,5,NA,4,NA,1,2,1,2,2,NA,2,3,4,1,2,5,2
